regime,trend,volume,horizon,n,avg_ret,median_ret,win_rate,avg_winner,avg_loser,payoff_ratio,max_dd,sharpe,sortino,calmar,var_95,cvar_95,worst_trade,best_trade
Recovery,80-100,Spike,60,33,9.58,8.25,81.8,12.71,-4.48,2.84,32.19,1.74,5.47,0.3,-6.28,-8.67,-9.11,39.23
Recovery,80-100,Spike,90,33,11.12,8.16,78.8,17.9,-14.07,1.27,50.88,0.94,1.32,0.22,-24.3,-32.84,-33.34,58.92
Recovery,80-100,Flat,60,140,5.27,4.19,64.3,11.96,-6.77,1.77,43.88,0.87,1.52,0.12,-12.42,-20.25,-34.5,39.7
Recovery,80-100,Flat,90,140,2.01,2.32,57.9,15.38,-16.35,0.94,61.67,0.16,0.26,0.03,-33.79,-39.55,-51.89,59.08
Recovery,80-100,Big_Drop,60,74,4.52,2.49,60.8,11.9,-6.93,1.72,21.6,0.68,1.69,0.21,-13.46,-16.68,-19.92,56.6
Recovery,80-100,Big_Drop,90,74,5.43,1.32,54.1,20.91,-12.79,1.63,44.87,0.35,0.92,0.12,-28.0,-32.47,-38.59,142.97
Recovery,80-100,Drop,60,77,6.46,2.72,61.0,14.88,-6.72,2.21,32.19,0.74,2.1,0.2,-12.89,-19.68,-23.39,108.02
Recovery,80-100,Drop,90,77,5.18,1.75,59.7,19.07,-15.42,1.24,46.69,0.34,0.74,0.11,-32.31,-34.84,-38.98,135.16
Recovery,80-100,Jump,60,34,5.27,5.32,67.6,10.49,-5.65,1.86,20.35,1.1,2.12,0.26,-10.25,-13.96,-14.46,26.63
Recovery,80-100,Jump,90,34,0.7,2.06,52.9,10.62,-10.46,1.02,49.09,0.08,0.09,0.01,-26.61,-37.24,-43.34,31.6
Recovery,60-80,Flat,60,53,5.87,5.75,75.5,9.86,-6.4,1.54,28.6,1.25,2.2,0.21,-11.19,-14.7,-15.91,22.22
Recovery,60-80,Flat,90,53,2.89,3.01,62.3,11.99,-12.12,0.99,48.01,0.31,0.42,0.06,-23.35,-35.24,-40.69,38.81
Recovery,60-80,Big_Drop,60,21,6.3,7.38,66.7,13.69,-8.46,1.62,21.72,0.98,2.21,0.29,-15.78,-16.06,-16.35,29.08
Recovery,60-80,Big_Drop,90,21,9.6,6.33,76.2,15.99,-10.83,1.48,23.13,1.05,3.8,0.42,-11.67,-14.57,-17.47,39.17
Recovery,20-40,Flat,60,25,-0.33,-3.94,40.0,9.74,-7.05,1.38,20.9,-0.07,-0.18,-0.02,-12.02,-13.15,-14.0,24.81
Recovery,20-40,Flat,90,25,-8.05,-10.84,36.0,5.52,-15.68,0.35,48.46,-1.07,-1.54,-0.17,-25.8,-32.14,-37.85,10.47
