regime,signal,horizon,n,avg_ret,win_rate
Recovery,Baseline,10,683,-0.6021524950000064,43.48462664714495
Recovery,Bullish_Div,10,37,1.181130688406328,48.64864864864865
Recovery,Golden_Cross,10,71,-0.7117872604767671,39.436619718309856
Recovery,Baseline,20,683,-0.07277336178790815,50.219619326500734
Recovery,Bullish_Div,20,37,0.7132893226816198,51.35135135135135
Recovery,Golden_Cross,20,71,0.09053493831477202,52.112676056338024
Recovery,Baseline,40,683,2.022900249131533,55.92972181551976
Recovery,Bullish_Div,40,37,3.5425524831347928,59.45945945945946
Recovery,Golden_Cross,40,71,2.4966789009157284,54.929577464788736
Recovery,Baseline,60,683,4.6980082159668894,60.17569546120058
Recovery,Bullish_Div,60,37,9.31196544752407,70.27027027027027
Recovery,Golden_Cross,60,71,6.978214262270478,66.19718309859155
Recovery,Baseline,90,683,2.259889955573285,55.4904831625183
Recovery,Bullish_Div,90,37,11.165552411826408,75.67567567567568
Recovery,Golden_Cross,90,71,7.8678459381529375,61.97183098591549
Strong_Bull,Baseline,10,12047,0.9179628488053454,54.694114717357024
Strong_Bull,Bullish_Div,10,1187,0.90941281034205,55.01263689974726
Strong_Bull,Golden_Cross,10,303,1.0900621887731377,54.45544554455446
Strong_Bull,Baseline,20,12047,1.7099180048920675,55.63210757865029
Strong_Bull,Bullish_Div,20,1187,1.7759221426108076,56.61331086773378
Strong_Bull,Golden_Cross,20,303,1.9205650185401208,56.10561056105611
Strong_Bull,Baseline,40,12047,3.2432130838166717,58.29667137046568
Strong_Bull,Bullish_Div,40,1187,3.778378944309678,61.246840775063184
Strong_Bull,Golden_Cross,40,303,4.142841043376875,59.73597359735974
Strong_Bull,Baseline,60,12047,4.523082805832859,59.608201211919976
Strong_Bull,Bullish_Div,60,1187,4.848753061130109,61.92080876158382
Strong_Bull,Golden_Cross,60,303,4.108827148034619,58.415841584158414
Strong_Bull,Baseline,90,12047,6.977851415814534,62.065244459201466
Strong_Bull,Bullish_Div,90,1187,6.640516811235669,63.85846672283066
Strong_Bull,Golden_Cross,90,303,4.809676268569451,56.76567656765676
Mild_Bull,Baseline,10,4818,0.15282574130569396,52.96803652968036
Mild_Bull,Bullish_Div,10,689,0.38351086623187575,56.45863570391872
Mild_Bull,Golden_Cross,10,36,1.2892445175688765,58.333333333333336
Mild_Bull,Baseline,20,4818,0.6895696927523255,56.39269406392694
Mild_Bull,Bullish_Div,20,689,1.5078452349214744,61.53846153846154
Mild_Bull,Golden_Cross,20,36,0.9086880317236553,58.333333333333336
Mild_Bull,Baseline,40,4818,1.9872476374486097,56.66251556662516
Mild_Bull,Bullish_Div,40,689,3.0052717727603455,61.24818577648766
Mild_Bull,Golden_Cross,40,36,-2.2511239260748783,44.44444444444444
Mild_Bull,Baseline,60,4818,3.5144788514272562,57.40971357409713
Mild_Bull,Bullish_Div,60,689,3.7806224697798525,58.63570391872278
Mild_Bull,Golden_Cross,60,36,-0.8573900631562399,44.44444444444444
Mild_Bull,Baseline,90,4818,7.071576722212679,60.58530510585305
Mild_Bull,Bullish_Div,90,689,7.719702188025574,62.264150943396224
Mild_Bull,Golden_Cross,90,36,2.4618794098808134,55.55555555555556
Strong_Bear,Baseline,10,2493,1.6258794622326846,58.88487765744084
Strong_Bear,Bullish_Div,10,360,1.1006154238401553,54.44444444444444
Strong_Bear,Golden_Cross,10,34,3.0213696179688614,70.58823529411765
Strong_Bear,Baseline,20,2493,3.341728165394987,62.49498596068993
Strong_Bear,Bullish_Div,20,360,1.1416428087726962,50.55555555555556
Strong_Bear,Golden_Cross,20,34,3.979578875195271,70.58823529411765
Strong_Bear,Baseline,40,2493,7.168574052398875,69.83553951062976
Strong_Bear,Bullish_Div,40,360,5.849558768845693,66.11111111111111
Strong_Bear,Golden_Cross,40,34,7.030417477955835,64.70588235294117
Strong_Bear,Baseline,60,2493,11.289535216746584,76.61452065784195
Strong_Bear,Bullish_Div,60,360,11.084736068978772,77.77777777777779
Strong_Bear,Golden_Cross,60,34,10.814771681709612,64.70588235294117
Strong_Bear,Baseline,90,2493,14.710238438552217,78.4997994384276
Strong_Bear,Bullish_Div,90,360,15.184499485792447,76.94444444444444
Strong_Bear,Golden_Cross,90,34,12.025974661864616,79.41176470588235
Mild_Bear,Baseline,10,2263,1.568756587486213,59.2576226248343
Mild_Bear,Bullish_Div,10,187,2.7812198987051873,70.58823529411765
Mild_Bear,Golden_Cross,10,81,0.8510804612250537,51.85185185185185
Mild_Bear,Baseline,20,2263,2.6149877319274983,59.61113566062749
Mild_Bear,Bullish_Div,20,187,3.159575305229476,65.24064171122996
Mild_Bear,Golden_Cross,20,81,1.765073070276117,55.55555555555556
Mild_Bear,Baseline,40,2263,4.134958356770286,64.38356164383562
Mild_Bear,Bullish_Div,40,187,4.721347320537197,67.37967914438502
Mild_Bear,Golden_Cross,40,81,2.6401109655723114,62.96296296296296
Mild_Bear,Baseline,60,2263,5.898853678288726,66.90234202386213
Mild_Bear,Bullish_Div,60,187,6.033679546680719,70.58823529411765
Mild_Bear,Golden_Cross,60,81,5.105760385817689,66.66666666666666
Mild_Bear,Baseline,90,2263,8.732381357510926,66.59301811754308
Mild_Bear,Bullish_Div,90,187,8.515674624103548,67.9144385026738
Mild_Bear,Golden_Cross,90,81,8.584641035665262,66.66666666666666
