Regime,Trend,Volume,Avg_Return,Count,Avg_Pain
Mild_Bear,0-20,Big_Drop,7.18,77,-7.14
Mild_Bear,0-20,Drop,2.96,72,-9.72
Mild_Bear,0-20,Flat,6.58,130,-7.35
Mild_Bear,0-20,Jump,6.82,41,-5.94
Mild_Bear,0-20,Spike,9.96,37,-4.67
Mild_Bear,20-40,Big_Drop,4.6,77,-8.13
Mild_Bear,20-40,Drop,7.8,87,-7.66
Mild_Bear,20-40,Flat,6.37,160,-8.18
Mild_Bear,20-40,Jump,3.02,40,-8.48
Mild_Bear,20-40,Spike,2.46,25,-8.53
Mild_Bear,40-60,Big_Drop,3.84,80,-7.57
Mild_Bear,40-60,Drop,1.9,69,-8.84
Mild_Bear,40-60,Flat,9.59,134,-5.93
Mild_Bear,40-60,Jump,5.16,29,-8.15
Mild_Bear,40-60,Spike,3.77,23,-8.9
Mild_Bear,60-80,Big_Drop,7.54,76,-6.2
Mild_Bear,60-80,Drop,5.82,66,-6.98
Mild_Bear,60-80,Flat,5.26,129,-7.61
Mild_Bear,60-80,Jump,5.79,40,-6.31
Mild_Bear,60-80,Spike,5.08,27,-6.17
Mild_Bear,80-100,Big_Drop,5.23,178,-7.13
Mild_Bear,80-100,Drop,5.37,178,-6.61
Mild_Bear,80-100,Flat,5.62,341,-7.58
Mild_Bear,80-100,Jump,7.91,88,-6.5
Mild_Bear,80-100,Spike,6.53,59,-7.08
Mild_Bull,0-20,Big_Drop,-0.65,168,-12.89
Mild_Bull,0-20,Drop,0.65,157,-11.06
Mild_Bull,0-20,Flat,2.18,418,-11.4
Mild_Bull,0-20,Jump,2.96,92,-13.86
Mild_Bull,0-20,Spike,2.28,67,-12.38
Mild_Bull,20-40,Big_Drop,1.05,140,-11.5
Mild_Bull,20-40,Drop,1.73,110,-11.2
Mild_Bull,20-40,Flat,1.86,363,-11.68
Mild_Bull,20-40,Jump,1.06,77,-14.39
Mild_Bull,20-40,Spike,2.67,81,-14.04
Mild_Bull,40-60,Big_Drop,0.25,40,-11.03
Mild_Bull,40-60,Drop,-6.33,33,-15.36
Mild_Bull,40-60,Flat,-0.81,99,-12.99
Mild_Bull,40-60,Jump,1.09,4,-9.84
Mild_Bull,40-60,Spike,2.49,13,-11.86
Mild_Bull,60-80,Big_Drop,4.44,220,-10.09
Mild_Bull,60-80,Drop,5.39,249,-9.38
Mild_Bull,60-80,Flat,5.62,587,-8.92
Mild_Bull,60-80,Jump,4.38,118,-9.13
Mild_Bull,60-80,Spike,1.96,84,-10.8
Mild_Bull,80-100,Big_Drop,3.9,330,-10.44
Mild_Bull,80-100,Drop,2.38,313,-10.5
Mild_Bull,80-100,Flat,5.45,690,-9.49
Mild_Bull,80-100,Jump,5.87,198,-9.34
Mild_Bull,80-100,Spike,7.65,167,-8.27
Recovery,0-20,Big_Drop,-2.28,11,-10.21
Recovery,0-20,Drop,-1.22,11,-9.9
Recovery,0-20,Flat,-0.01,24,-8.95
Recovery,0-20,Jump,6.92,7,-8.06
Recovery,0-20,Spike,0.95,6,-9.01
Recovery,20-40,Big_Drop,4.32,11,-7.59
Recovery,20-40,Drop,1.07,15,-11.2
Recovery,20-40,Flat,-0.33,25,-10.03
Recovery,20-40,Jump,3.98,6,-10.89
Recovery,20-40,Spike,1.43,6,-8.48
Recovery,40-60,Big_Drop,3.58,17,-10.73
Recovery,40-60,Drop,5.04,15,-11.72
Recovery,40-60,Flat,4.38,35,-10.29
Recovery,40-60,Jump,-4.41,4,-15.02
Recovery,40-60,Spike,10.19,9,-10.81
Recovery,60-80,Big_Drop,6.3,21,-7.55
Recovery,60-80,Drop,2.49,16,-8.78
Recovery,60-80,Flat,5.87,53,-6.06
Recovery,60-80,Jump,14.47,15,-8.38
Recovery,60-80,Spike,-1.35,18,-10.98
Recovery,80-100,Big_Drop,4.52,74,-7.84
Recovery,80-100,Drop,6.46,77,-7.73
Recovery,80-100,Flat,5.27,140,-7.57
Recovery,80-100,Jump,5.27,34,-6.23
Recovery,80-100,Spike,9.58,33,-5.4
Strong_Bear,0-20,Big_Drop,12.18,169,-8.42
Strong_Bear,0-20,Drop,14.61,187,-8.03
Strong_Bear,0-20,Flat,15.75,490,-9.04
Strong_Bear,0-20,Jump,13.62,87,-8.37
Strong_Bear,0-20,Spike,10.28,78,-9.28
Strong_Bear,20-40,Big_Drop,4.59,65,-10.78
Strong_Bear,20-40,Drop,8.44,72,-8.79
Strong_Bear,20-40,Flat,14.37,231,-8.95
Strong_Bear,20-40,Jump,4.84,47,-11.02
Strong_Bear,20-40,Spike,6.69,39,-11.02
Strong_Bear,40-60,Big_Drop,7.08,27,-8.58
Strong_Bear,40-60,Drop,8.66,40,-7.14
Strong_Bear,40-60,Flat,9.77,107,-8.19
Strong_Bear,40-60,Jump,14.4,20,-7.57
Strong_Bear,40-60,Spike,8.11,12,-8.21
Strong_Bear,60-80,Big_Drop,3.79,62,-11.65
Strong_Bear,60-80,Drop,6.75,55,-8.61
Strong_Bear,60-80,Flat,8.85,121,-8.77
Strong_Bear,60-80,Jump,5.79,27,-9.41
Strong_Bear,60-80,Spike,7.17,29,-10.38
Strong_Bear,80-100,Big_Drop,8.29,104,-7.88
Strong_Bear,80-100,Drop,6.39,89,-7.56
Strong_Bear,80-100,Flat,11.33,238,-6.73
Strong_Bear,80-100,Jump,9.0,60,-5.89
Strong_Bear,80-100,Spike,7.0,37,-8.72
Strong_Bull,0-20,Big_Drop,1.78,228,-11.7
Strong_Bull,0-20,Drop,3.21,243,-11.08
Strong_Bull,0-20,Flat,-0.21,511,-12.73
Strong_Bull,0-20,Jump,2.74,145,-11.09
Strong_Bull,0-20,Spike,3.2,99,-11.8
Strong_Bull,20-40,Big_Drop,2.28,164,-11.08
Strong_Bull,20-40,Drop,-0.59,165,-12.67
Strong_Bull,20-40,Flat,1.55,368,-10.78
Strong_Bull,20-40,Jump,-0.16,94,-11.11
Strong_Bull,20-40,Spike,2.25,84,-12.23
Strong_Bull,40-60,Big_Drop,1.43,81,-12.17
Strong_Bull,40-60,Drop,1.16,76,-11.71
Strong_Bull,40-60,Flat,2.09,158,-11.38
Strong_Bull,40-60,Jump,-0.61,49,-12.99
Strong_Bull,40-60,Spike,0.57,24,-10.13
Strong_Bull,60-80,Big_Drop,5.03,565,-8.49
Strong_Bull,60-80,Drop,5.32,562,-8.67
Strong_Bull,60-80,Flat,4.96,1131,-9.3
Strong_Bull,60-80,Jump,6.46,264,-8.81
Strong_Bull,60-80,Spike,6.71,208,-7.48
Strong_Bull,80-100,Big_Drop,5.21,1413,-9.14
Strong_Bull,80-100,Drop,5.66,1368,-8.43
Strong_Bull,80-100,Flat,5.55,2669,-9.1
Strong_Bull,80-100,Jump,4.61,786,-9.24
Strong_Bull,80-100,Spike,5.2,592,-9.36
