overlay,mean_IC,IC_nonoverlap,n_indep,t_indep,pct_IC_pos,fwd_ret_pct,avg_names,n_days,IC_vs_baseline
none (CompRS + >MA50),0.0484,0.1081,5,2.72,78.0,0.59,410,86,0.0
TIER growth > 0%,0.0698,0.1128,5,1.55,78.0,0.91,217,86,0.0214
TIER growth > 20%,0.061,0.094,5,0.97,67.0,1.15,143,86,0.0126
TIER growth > 40%,0.0711,0.0861,5,0.91,74.0,1.19,90,85,0.0227
TIER growth > 60%,0.0986,-0.0107,3,-0.15,78.0,0.94,85,51,0.0502
TIER growth > 80%,0.1273,-0.0404,2,-7.91,77.0,1.21,73,39,0.0789
TIER growth > 100%,0.1201,0.1208,2,0.96,75.0,0.88,65,36,0.0717
SUSTAINED > 0% (40d),0.0278,0.003,3,0.15,59.0,0.87,115,46,-0.0206
SUSTAINED > 20% (40d),0.0003,0.0739,2,0.36,48.0,1.16,68,42,-0.0481
SUSTAINED > 40% (40d),0.1829,0.1571,1,,100.0,-0.53,67,11,0.1345
TURNAROUND (neg -> pos),0.3168,0.2118,1,,100.0,-1.1,42,4,0.2684
ACCEL (+20pp vs 40d ago),0.0982,0.2449,2,8.12,76.0,0.11,53,25,0.0498
ACCEL (+50pp vs 40d ago),0.3028,0.3065,1,,100.0,1.12,48,5,0.2544
CONTROL growth <= 0,-0.0104,0.0409,4,3.18,47.0,0.07,104,81,-0.0588
