variant,final_equity,total_return_pct,cagr_pct,max_drawdown_pct,sharpe,trades,win_rate_pct,avg_win_pct,avg_loss_pct,med_hold_days,open_at_end,vs_baseline
baseline,1187859,18.9,56.7,-5.5,2.65,31,45.2,32.12,-11.58,17.0,11,0
B1_caution_trail15,1096606,9.8,27.39,-19.1,0.91,24,45.8,25.94,-13.2,27.0,12,-91253
B1b_trail_flat15,1096606,9.8,27.39,-19.1,0.91,24,45.8,25.94,-13.2,27.0,12,-91253
B2_ma50_confirm2,1190195,19.2,57.5,-5.5,2.68,30,43.3,34.37,-11.46,17.0,12,2336
B3_combined,1098369,10.0,27.92,-19.1,0.92,23,43.5,28.24,-13.23,27.0,13,-89490
B3b_flat15_confirm2,1098369,10.0,27.92,-19.1,0.92,23,43.5,28.24,-13.23,27.0,13,-89490
B4_caution_trail18,1168958,17.0,50.32,-17.2,1.4,18,44.4,25.6,-12.47,58.0,12,-18901
B4b_trail_flat18,1167928,16.9,49.98,-17.2,1.39,18,44.4,25.6,-12.72,58.0,12,-19931
B5_rs_decel30,1090661,9.2,25.61,-6.1,1.61,42,35.7,23.5,-9.93,16.0,9,-97198
B6_trail18_decel30,1181255,18.3,54.45,-5.6,2.72,36,36.1,35.03,-9.12,18.0,10,-6604
