variant,ticker,entry_date,exit_date,entry_price,exit_price,pnl,pnl_pct,reason,regime,held,why
baseline,SHARDACROP.NS,2026-02-24,2026-03-04,1162.800048828125,1038.5,-5813.344246093751,-10.689718232588241,Trailing Stop (12% [CAUTION]),CAUTION,8,Trailing Stop
baseline,FORCEMOT.NS,2026-02-24,2026-03-04,25038.0,21450.0,-3630.9000000000015,-14.330218068535828,Trailing Stop (12% [CAUTION]),CAUTION,8,Trailing Stop
baseline,HINDCOPPER.NS,2026-02-24,2026-03-04,563.4500122070312,546.7999877929688,-1153.3355853271496,-2.9550135865370586,Trend Break (MA50 x1),CAUTION,8,Trend Break
baseline,AVANTIFEED.NS,2026-02-24,2026-03-06,1334.5,1165.0999755859375,-7899.59032080078,-12.693894673215622,Trailing Stop (12% [CAUTION]),CAUTION,10,Trailing Stop
baseline,APARINDS.NS,2026-02-24,2026-03-11,10825.0,9260.0,-6334.080000000002,-14.457274826789835,Trailing Stop (15% [BULL]),BULL,15,Trailing Stop
baseline,SANSERA.NS,2026-02-24,2026-03-13,2345.5,1953.4000244140625,-8316.142288330077,-16.71711684442283,Trend Break (MA50 x1),CAUTION,17,Trend Break
baseline,KRN.NS,2026-02-24,2026-03-13,946.25,856.0,-4598.0999999999985,-9.537648612945837,Trailing Stop (12% [CAUTION]),CAUTION,17,Trailing Stop
baseline,BHARATFORG.NS,2026-02-24,2026-03-13,1858.300048828125,1675.0999755859375,-2984.804371093749,-9.858476480034351,Trailing Stop (12% [CAUTION]),CAUTION,17,Trailing Stop
baseline,TDPOWERSYS.NS,2026-02-24,2026-03-13,888.2000122070312,780.5,-3277.8303662109392,-12.125648584423498,Trailing Stop (12% [CAUTION]),CAUTION,17,Trailing Stop
baseline,STLTECH.NS,2026-02-24,2026-03-17,165.11000061035156,176.16000366210938,4311.166266906745,6.6925098485312695,Trailing Stop (12% [CAUTION]),CAUTION,21,Trailing Stop
