component,IC_5d,p_5d,n_5d,IC_21d,p_21d,n_21d,IC_63d,p_63d,n_63d
ias,-0.005,0.936,324,-0.065,0.268,293,-0.07,0.39,154
ias_vel,-0.096,0.086,324,-0.244,0.0,293,-0.145,0.072,154
ias_lfl,-0.033,0.553,324,0.028,0.636,293,0.013,0.872,154
ias_price,-0.057,0.306,324,-0.125,0.032,293,0.098,0.227,154
ias_rs63,-0.059,0.286,324,-0.073,0.213,293,-0.039,0.629,154
comp_rs,-0.141,0.011,324,-0.229,0.0,293,-0.145,0.072,154
off_ma50,-0.161,0.004,324,-0.229,0.0,293,-0.14,0.084,154
liq_from_low,-0.069,0.216,324,0.039,0.503,293,0.067,0.406,154
vol_quality,-0.142,0.011,324,-0.203,0.0,293,-0.097,0.229,154
rs21_delta5,-0.121,0.03,324,-0.249,0.0,293,-0.135,0.095,154
off_52w_low,-0.134,0.016,324,-0.154,0.008,293,-0.02,0.81,154
shock_ratio,-0.113,0.041,324,-0.256,0.0,293,-0.163,0.044,154
