Strategy,Return,Max DD,Win Rate,Trades
RS_LEADER_2022,-6.913807443218348,-20.684223245909298,28.333333333333332,60
FORTRESS_2022,-11.514448821670854,-16.173621932256136,23.404255319148938,47
DIP_BUY_REV_2022,-18.32327074464738,-26.780914955526043,35.714285714285715,98
VCP_BO_2022,-7.700859028501316,-13.578675496969655,17.857142857142858,28
ATH_BEAR_2022,-17.33773652823676,-22.45448265731508,0.0,0
VOLUME_SURPRISE_2022,-3.717916201026457,-16.613563503522183,0.0,0
RS_LEADER_2025,-26.29254935947916,-29.611887130231125,32.53012048192771,83
FORTRESS_2025,-7.17478097818667,-13.010814928643391,32.72727272727273,55
DIP_BUY_REV_2025,-18.494407390074542,-29.31961014323968,39.0625,128
VCP_BO_2025,-0.5999643988162481,-8.948486729050908,32.35294117647059,34
ATH_BEAR_2025,7.822874081016343,-16.358059513100518,0.0,0
VOLUME_SURPRISE_2025,11.197122936092995,-15.621517872391427,0.0,0
