Horizon,Years,Variant,Nifty_CAGR%,CAGR%,MaxDD%,Sharpe,Sortino,Calmar,Trades,WinRate%,AvgPnL%,AvgWin%,AvgLoss%,AvgHold,MA50_Exits,Trail_Exits,MA50_AvgPnL%,Trail_AvgPnL%
1Y,1.0,Fixed-15%,11.6,11.7,-17.0,0.63,0.87,0.69,57,35.1,2.4,20.4,-7.3,50,44,13,-1.1,14.4
1Y,1.0,ATR-2x,11.6,9.2,-19.2,0.54,0.73,0.48,99,36.4,1.3,14.9,-6.4,26,8,91,-6.8,2.0
1Y,1.0,ATR-3x,11.6,7.4,-18.2,0.45,0.61,0.41,63,34.9,1.5,16.6,-6.6,43,28,35,-3.5,5.5
1Y,1.0,ATR-4x,11.6,4.7,-18.7,0.34,0.45,0.25,54,33.3,1.4,19.5,-7.6,54,42,12,-0.4,7.8
1Y,1.0,ATR2x+Size,11.6,7.2,-20.9,0.45,0.6,0.35,92,35.9,1.2,14.9,-6.5,26,8,84,-6.8,1.9
1Y,1.0,ATR3x+Size,11.6,5.4,-18.4,0.37,0.5,0.29,60,35.0,1.5,16.8,-6.7,43,26,34,-3.4,5.3
1Y,1.0,NoTrail,11.6,7.9,-17.6,0.47,0.61,0.45,50,30.0,0.1,19.1,-8.1,54,50,0,0.1,0.0
1Y,1.0,Keltner,11.6,12.7,-14.9,0.69,0.95,0.86,50,34.0,1.4,18.4,-7.4,55,43,7,2.2,-3.7
3Y,3.0,Fixed-15%,12.7,8.8,-37.7,0.51,0.62,0.23,184,35.3,2.7,24.7,-9.3,47,119,65,2.0,4.0
3Y,3.0,ATR-2x,12.7,10.9,-38.2,0.6,0.74,0.29,276,34.8,2.0,19.8,-7.6,29,33,243,-4.0,2.8
3Y,3.0,ATR-3x,12.7,7.8,-42.2,0.46,0.55,0.19,190,35.8,2.1,22.3,-9.2,46,95,95,0.9,3.3
3Y,3.0,ATR-4x,12.7,20.5,-32.3,0.95,1.16,0.63,156,39.1,5.2,28.5,-9.8,58,123,33,3.1,12.8
3Y,3.0,ATR2x+Size,12.7,9.6,-38.4,0.55,0.69,0.25,260,35.8,1.9,19.1,-7.7,29,32,228,-3.7,2.7
3Y,3.0,ATR3x+Size,12.7,7.8,-41.1,0.46,0.55,0.19,178,36.5,2.3,22.5,-9.3,45,87,91,0.0,4.5
3Y,3.0,NoTrail,12.7,22.5,-35.3,1.02,1.29,0.64,145,40.0,5.6,29.7,-10.4,61,145,0,5.6,0.0
3Y,3.0,Keltner,12.7,20.9,-37.5,0.97,1.19,0.56,150,40.0,5.2,27.6,-9.7,58,124,26,7.0,-3.5
5Y,5.0,Fixed-15%,11.8,38.6,-30.8,1.57,2.04,1.25,285,47.4,7.0,25.1,-9.4,50,173,112,4.1,11.3
5Y,5.0,ATR-2x,11.8,41.2,-36.7,1.68,2.26,1.12,441,42.4,4.9,21.7,-7.4,29,57,384,-2.7,6.0
5Y,5.0,ATR-3x,11.8,30.2,-36.2,1.26,1.66,0.83,304,45.7,5.3,22.8,-9.4,47,153,151,1.8,8.9
5Y,5.0,ATR-4x,11.8,32.7,-33.8,1.32,1.71,0.97,254,46.5,7.1,26.9,-10.1,57,196,58,4.0,17.7
5Y,5.0,ATR2x+Size,11.8,40.9,-36.4,1.65,2.22,1.12,428,42.1,4.9,21.9,-7.5,29,54,374,-2.1,5.9
5Y,5.0,ATR3x+Size,11.8,28.1,-35.9,1.18,1.52,0.78,286,45.8,5.1,22.6,-9.7,47,144,142,2.1,8.1
5Y,5.0,NoTrail,11.8,37.8,-33.1,1.44,1.89,1.14,230,47.4,8.2,29.0,-10.4,64,230,0,8.2,0.0
5Y,5.0,Keltner,11.8,34.1,-34.9,1.36,1.8,0.98,248,44.4,7.2,28.2,-9.6,58,203,45,7.6,5.2
10Y,10.0,Fixed-15%,13.5,29.2,-44.8,1.32,1.8,0.65,559,42.2,6.6,27.7,-8.8,50,365,194,2.4,14.7
10Y,10.0,ATR-2x,13.5,28.7,-44.6,1.35,1.87,0.64,831,41.9,4.3,20.8,-7.5,31,111,720,-5.8,5.9
10Y,10.0,ATR-3x,13.5,30.6,-40.8,1.34,1.79,0.75,578,40.3,6.9,30.3,-8.9,49,302,276,0.1,14.3
10Y,10.0,ATR-4x,13.5,31.1,-43.1,1.37,1.86,0.72,502,41.2,7.9,32.2,-9.1,57,389,113,5.1,17.6
10Y,10.0,ATR2x+Size,13.5,29.2,-49.1,1.33,1.86,0.59,813,40.7,4.3,21.6,-7.5,30,106,707,-5.8,5.8
10Y,10.0,ATR3x+Size,13.5,37.8,-44.0,1.53,2.11,0.86,545,41.7,8.1,32.1,-9.0,49,290,255,0.5,16.8
10Y,10.0,NoTrail,13.5,28.6,-46.7,1.26,1.68,0.61,463,43.0,8.0,31.1,-9.5,63,463,0,8.0,0.0
10Y,10.0,Keltner,13.5,32.6,-45.8,1.4,1.9,0.71,489,41.3,8.5,33.6,-9.2,59,407,82,7.0,15.8
15Y,15.0,Fixed-15%,10.8,36.4,-30.6,1.62,2.26,1.19,825,42.9,7.8,29.9,-8.8,52,575,250,4.6,15.2
15Y,15.0,ATR-2x,10.8,36.9,-35.6,1.67,2.34,1.03,1218,41.9,5.2,22.5,-7.2,32,202,1016,-3.8,7.0
15Y,15.0,ATR-3x,10.8,35.6,-37.6,1.57,2.17,0.95,847,44.6,7.6,27.8,-8.7,50,478,369,4.0,12.3
15Y,15.0,ATR-4x,10.8,37.6,-38.1,1.61,2.19,0.99,735,44.5,9.3,32.3,-9.1,59,611,124,7.3,19.3
15Y,15.0,ATR2x+Size,10.8,37.1,-36.5,1.65,2.32,1.02,1187,41.9,5.2,22.3,-7.2,32,198,989,-3.7,7.0
15Y,15.0,ATR3x+Size,10.8,37.2,-36.3,1.57,2.19,1.02,820,44.4,7.7,28.2,-8.7,50,469,351,4.0,12.6
15Y,15.0,NoTrail,10.8,38.3,-39.9,1.61,2.21,0.96,686,44.3,9.9,34.0,-9.3,64,686,0,9.9,0.0
15Y,15.0,Keltner,10.8,38.2,-35.5,1.63,2.24,1.07,724,43.6,9.6,33.5,-8.9,60,613,111,8.6,14.9
