date,value,positions,regime,nifty
2025-10-24,999059.6330007935,2,Strong_Bull,25795.150390625
2025-10-31,1002539.1113662721,4,Strong_Bull,25722.099609375
2025-11-07,1004076.2248477174,5,Strong_Bull,25492.30078125
2025-11-14,1007568.802333069,7,Strong_Bull,25910.05078125
2025-11-21,1012829.9855374147,10,Strong_Bull,26068.150390625
2025-11-28,1019561.6902645875,10,Strong_Bull,26202.94921875
2025-12-05,1021235.1300534059,10,Strong_Bull,26186.44921875
2025-12-12,1017732.6385678102,10,Strong_Bull,26046.94921875
2025-12-19,1008529.5366238405,10,Strong_Bull,25966.400390625
2025-12-26,1012290.5840481569,10,Strong_Bull,26042.30078125
2026-01-02,1043919.4841946412,10,Strong_Bull,26328.55078125
2026-01-09,1028128.9856289674,10,Mild_Bull,25683.30078125
2026-01-16,1026243.6381405641,10,Mild_Bull,25694.349609375
2026-01-23,1016008.9266232301,10,Mild_Bull,25048.650390625
2026-01-30,1031925.6901374818,10,Mild_Bull,25320.650390625
2026-02-06,1050651.4006959535,10,Mild_Bull,25693.69921875
