date,value,positions,regime,sectors
2025-10-24,1000640.5883316041,6,Strong_Bull,"{'Energy': 3, 'Metals': 2, 'Industrials': 1}"
2025-10-31,1004589.5415289309,9,Strong_Bull,"{'Energy': 3, 'Metals': 3, 'Industrials': 1, 'Auto': 2}"
2025-11-07,997243.3636883547,13,Strong_Bull,"{'Energy': 4, 'Metals': 3, 'Industrials': 1, 'Auto': 5}"
2025-11-14,1002884.7856407168,14,Strong_Bull,"{'Energy': 5, 'Metals': 3, 'Industrials': 1, 'Auto': 5}"
2025-11-21,1002614.7994384768,15,Strong_Bull,"{'Energy': 5, 'Metals': 4, 'Industrials': 1, 'Auto': 5}"
2025-11-28,1001183.9742736819,15,Strong_Bull,"{'Energy': 5, 'Metals': 4, 'Industrials': 1, 'Auto': 5}"
2025-12-05,1000670.1513977053,15,Strong_Bull,"{'Energy': 5, 'Metals': 4, 'Industrials': 1, 'Auto': 5}"
2025-12-12,999122.9816284182,15,Strong_Bull,"{'Energy': 5, 'Metals': 4, 'Industrials': 1, 'Auto': 5}"
2025-12-19,992064.9034118655,15,Strong_Bull,"{'Energy': 5, 'Metals': 4, 'Industrials': 1, 'Auto': 5}"
2025-12-26,1000330.0083923342,15,Strong_Bull,"{'Energy': 5, 'Metals': 4, 'Industrials': 1, 'Auto': 5}"
2026-01-02,1024960.8390765383,14,Strong_Bull,"{'Energy': 4, 'Metals': 4, 'Industrials': 1, 'Auto': 5}"
2026-01-09,1003551.0426104739,15,Mild_Bull,"{'Energy': 4, 'Metals': 4, 'Industrials': 2, 'Auto': 5}"
2026-01-16,1008293.6748419192,17,Mild_Bull,"{'Energy': 4, 'Metals': 4, 'Industrials': 2, 'Auto': 4, 'Consumer': 2, 'IT_Services': 1}"
2026-01-23,996823.8124176027,15,Mild_Bull,"{'Energy': 4, 'Metals': 3, 'Industrials': 2, 'Auto': 3, 'Consumer': 2, 'IT_Services': 1}"
2026-01-30,1017381.7614613344,17,Mild_Bull,"{'Energy': 3, 'Metals': 3, 'Industrials': 2, 'Auto': 3, 'Consumer': 5, 'IT_Services': 1}"
2026-02-06,1025247.8124266055,15,Mild_Bull,"{'Metals': 2, 'Industrials': 2, 'Auto': 3, 'Energy': 2, 'Consumer': 5, 'IT_Services': 1}"
