date,ticker,action,price,shares,value,regime,trend,volume,sector,pe,earnings_growth,revenue_growth,reason,pnl,pnl_pct,days_held,mae,mfe
2025-10-21,ONGC,BUY,242.19,268,64905.66,Strong_Bull,79,Flat,Energy,9.2,5.0%,-0.3%,Entry Signal,,,,,
2025-10-21,POWERGRID,BUY,283.83,214,60738.63,Strong_Bull,76,Flat,Energy,18.8,8.4%,10.3%,Entry Signal,,,,,
2025-10-21,GAIL,BUY,173.0,328,56743.23,Strong_Bull,76,Flat,Energy,12.5,-57.0%,-4.5%,Entry Signal,,,,,
2025-10-21,JINDALSTEL,BUY,1009.8,52,52509.6,Strong_Bull,73,Flat,Metals,61.0,-80.1%,10.9%,Entry Signal,,,,,
2025-10-22,NMDC,BUY,75.61,656,49600.16,Strong_Bull,73,Flat,Metals,10.7,-6.5%,15.9%,Entry Signal,,,,,
2025-10-22,SIEMENS,BUY,3102.9,14,43440.6,Strong_Bull,61,Flat,Industrials,67.1,-41.6%,-20.0%,Entry Signal,,,,,
2025-10-29,COALINDIA,BUY,371.92,117,43514.97,Strong_Bull,70,Flat,Metals,8.5,-30.8%,18.5%,Entry Signal,,,,,
2025-10-30,BAJAJ-AUTO,BUY,8923.0,4,35692.0,Strong_Bull,73,Flat,Auto,29.9,25.0%,23.1%,Entry Signal,,,,,
2025-10-31,M&M,BUY,3487.2,11,38359.2,Strong_Bull,74,Flat,Auto,28.2,14.8%,21.2%,Entry Signal,,,,,
2025-11-03,MARUTI,BUY,15651.0,2,31302.0,Strong_Bull,75,Flat,Auto,31.5,4.1%,28.7%,Entry Signal,,,,,
2025-11-03,NTPC,BUY,329.89,102,33648.52,Strong_Bull,68,Flat,Energy,20.2,1.6%,1.8%,Entry Signal,,,,,
2025-11-04,TVSMOTOR,BUY,3473.1,9,31257.9,Strong_Bull,76,Flat,Auto,82.0,48.7%,31.7%,Entry Signal,,,,,
2025-11-05,EICHERMOT,BUY,6930.0,4,27720.0,Strong_Bull,76,Flat,Auto,38.6,24.4%,44.8%,Entry Signal,,,,,
2025-11-12,TATAPOWER,BUY,388.65,71,27594.15,Strong_Bull,70,Flat,Energy,30.9,-25.2%,-9.4%,Entry Signal,,,,,
2025-11-17,TATASTEEL,BUY,173.17,150,25975.5,Strong_Bull,74,Flat,Metals,36.2,271.6%,8.9%,Entry Signal,,,,,
2026-01-01,POWERGRID,SELL,266.8,214,56809.72,Strong_Bull,76,Flat,Energy,18.8,,,Time Stop,-3928.91,-6.47,72.0,-9.12,2.34
