Date,Strategy,Equity,Regime,Holdings,Cash,Peak,DD
2021-02-22,RS_LEADER,996936.9918368721,BULL,10,384335.35921129223,996936.9918368721,0.0
2021-02-23,RS_LEADER,1023705.6200297737,BULL,10,384335.35921129223,1023705.6200297737,0.0
2021-02-24,RS_LEADER,1044575.2947619819,BULL,10,384335.35921129223,1044575.2947619819,0.0
2021-02-25,RS_LEADER,1076793.4373362921,BULL,10,384335.35921129223,1076793.4373362921,0.0
2021-02-26,RS_LEADER,1094748.8925517462,BULL,10,384335.35921129223,1094748.8925517462,0.0
2021-03-01,RS_LEADER,1136204.060459461,BULL,10,384335.35921129223,1136204.060459461,0.0
2021-03-02,RS_LEADER,1145070.1745036505,BULL,10,384335.35921129223,1145070.1745036505,0.0
2021-03-03,RS_LEADER,1140266.5785258673,BULL,10,384335.35921129223,1145070.1745036505,-0.4195023226297376
2021-03-04,RS_LEADER,1129850.4811499976,BULL,9,497578.57087167737,1145070.1745036505,-1.3291493999701967
2021-03-05,RS_LEADER,1124398.4179966354,BULL,8,601064.5423557663,1145070.1745036505,-1.805282939622072
2021-03-08,RS_LEADER,1125291.8194578933,BULL,10,266011.9532393265,1145070.1745036505,-1.727261392895026
2021-03-09,RS_LEADER,1122829.5774782563,BULL,9,328133.1387651825,1145070.1745036505,-1.9422911818513446
2021-03-10,RS_LEADER,1137988.01808342,BULL,9,328133.1387651825,1145070.1745036505,-0.6184910390579782
2021-03-12,RS_LEADER,1133180.2414263154,BULL,9,328133.1387651825,1145070.1745036505,-1.0383584641429517
2021-03-15,RS_LEADER,1121304.8017290498,BULL,9,328133.1387651825,1145070.1745036505,-2.075451208473074
2021-03-16,RS_LEADER,1127959.9788492585,BULL,9,328133.1387651825,1145070.1745036505,-1.4942486526477476
2021-03-17,RS_LEADER,1105105.356930771,SIDEWAYS,8,376205.54760078434,1145070.1745036505,-3.490163176261491
2021-03-18,RS_LEADER,1084772.717102356,SIDEWAYS,6,476732.3505099488,1145070.1745036505,-5.2658307537729225
2021-03-19,RS_LEADER,1078665.1971414185,SIDEWAYS,5,663056.5617349243,1145070.1745036505,-5.799205921245515
2021-03-22,RS_LEADER,1091852.4996469116,SIDEWAYS,5,663056.5617349243,1145070.1745036505,-4.647547027395675
2021-03-23,RS_LEADER,1098336.932498169,BULL,10,265822.83232421876,1145070.1745036505,-4.0812557209202405
2021-03-24,RS_LEADER,1089129.976031494,SIDEWAYS,10,265822.83232421876,1145070.1745036505,-4.885307443834577
2021-03-25,RS_LEADER,1059983.152243042,SIDEWAYS,9,392584.2041534424,1145070.1745036505,-7.430725570814118
2021-03-26,RS_LEADER,1067595.2880996703,SIDEWAYS,9,392584.2041534424,1145070.1745036505,-6.765950954714453
2021-03-30,RS_LEADER,1076561.9455850602,BULL,8,473301.38843326573,1145070.1745036505,-5.982884756236566
2021-03-31,RS_LEADER,1084573.8257501603,SIDEWAYS,8,473301.38843326573,1145070.1745036505,-5.283200113016076
2021-04-01,RS_LEADER,1116348.0739496232,BULL,8,473301.38843326573,1145070.1745036505,-2.5083266679684
2021-04-05,RS_LEADER,1126978.6506708146,SIDEWAYS,8,473301.38843326573,1145070.1745036505,-1.5799489180370996
2021-04-06,RS_LEADER,1156652.5503519059,SIDEWAYS,8,473301.38843326573,1156652.5503519059,0.0
2021-04-07,RS_LEADER,1140151.3982980729,MILD_BULL,8,473301.38843326573,1156652.5503519059,-1.4266299805254925
