Date,PctAbove50,PctAbove200,PctPosRS,ADRatio,Nifty
2024-01-01,87.2,94.8,57.2,59.0,21741.900390625
2024-01-08,87.5,93.8,60.1,26.7,21513.0
2024-01-15,86.3,92.7,60.1,49.9,22097.44921875
2024-01-23,67.4,86.6,61.7,17.5,21238.80078125
2024-01-31,75.4,87.5,65.8,81.1,21725.69921875
2024-02-07,73.1,86.8,64.9,53.3,21930.5
2024-02-14,61.5,83.4,57.2,68.8,21840.05078125
2024-02-21,64.5,84.7,56.7,29.2,22055.05078125
2024-02-28,55.2,82.3,57.3,15.9,21951.150390625
2024-03-06,52.5,79.8,53.9,28.4,22474.05078125
2024-03-14,31.8,74.3,47.0,82.5,22146.650390625
2024-03-21,33.9,75.2,56.6,88.2,22011.94921875
2024-04-01,58.2,80.7,59.3,82.7,22462.0
2024-04-08,70.1,83.4,56.9,49.9,22666.30078125
2024-04-16,58.1,80.5,55.7,53.2,22147.900390625
2024-04-24,66.3,82.4,55.4,63.3,22402.400390625
2024-05-02,74.9,83.0,57.5,56.6,22648.19921875
2024-05-09,49.5,77.1,50.0,10.0,21957.5
2024-05-16,65.9,81.3,57.6,67.7,22403.849609375
2024-05-24,72.1,81.1,51.1,36.9,22957.099609375
2024-05-31,59.0,75.9,52.7,54.5,22530.69921875
2024-06-07,73.6,84.5,56.1,88.7,23290.150390625
2024-06-14,86.1,89.0,72.7,61.5,23465.599609375
2024-06-24,83.0,87.7,74.6,48.2,23537.849609375
2024-07-01,85.3,90.4,69.9,73.4,24141.94921875
2024-07-08,84.4,89.7,62.9,37.3,24320.55078125
2024-07-15,84.8,90.4,63.4,62.3,24586.69921875
2024-07-23,69.0,88.0,57.5,38.5,24479.05078125
2024-07-30,80.7,92.2,63.2,58.3,24857.30078125
2024-08-06,49.1,85.8,60.0,39.2,23992.55078125
2024-08-13,49.1,84.3,56.2,23.5,24139.0
2024-08-21,58.7,89.2,53.9,67.3,24770.19921875
2024-08-28,62.2,89.0,55.6,42.2,25052.349609375
2024-09-04,61.6,87.5,57.2,48.5,25198.69921875
2024-09-11,55.7,85.1,51.5,30.0,24918.44921875
2024-09-18,61.4,85.7,46.1,29.6,25377.55078125
2024-09-25,64.6,86.2,49.0,39.6,26004.150390625
2024-10-03,54.6,82.5,47.6,10.9,25250.099609375
2024-10-10,48.9,78.8,47.6,44.8,24998.44921875
2024-10-17,44.3,76.1,57.2,13.9,24749.849609375
2024-10-24,22.0,63.3,46.3,39.3,24399.400390625
2024-10-31,25.4,63.0,46.1,60.4,24205.349609375
2024-11-07,33.0,64.8,51.1,29.3,24199.349609375
2024-11-14,17.4,48.4,43.6,60.1,23532.69921875
2024-11-25,29.5,53.6,39.5,81.6,24221.900390625
2024-12-02,41.9,57.7,46.4,61.6,24276.05078125
2024-12-09,61.0,64.6,48.6,52.5,24619.0
2024-12-16,60.5,63.3,45.8,55.7,24668.25
2024-12-23,36.4,51.4,50.1,48.4,23753.44921875
2024-12-31,40.6,48.8,50.5,61.4,23644.80078125
2025-01-07,42.1,47.9,49.7,75.7,23707.900390625
2025-01-14,16.5,33.4,37.1,79.6,23176.05078125
2025-01-21,20.4,33.8,53.6,15.8,23024.650390625
2025-01-28,11.1,20.6,34.9,34.7,22957.25
2025-02-03,18.2,29.4,31.2,26.2,23361.05078125
2025-02-10,18.4,27.0,31.7,11.9,23381.599609375
2025-02-17,10.2,15.8,25.1,49.9,22959.5
2025-02-24,11.2,16.4,25.3,21.8,22553.349609375
2025-03-04,8.2,11.8,22.7,62.2,22082.650390625
2025-03-11,17.6,14.1,23.1,42.4,22497.900390625
2025-03-19,38.8,19.3,25.1,92.1,22907.599609375
2025-03-26,50.1,22.2,25.6,23.7,23486.849609375
2025-04-03,62.7,26.2,28.4,60.1,23250.099609375
2025-04-11,49.9,22.2,36.7,89.1,22828.55078125
2025-04-22,82.5,36.9,33.9,61.6,24167.25
2025-04-29,80.2,34.5,36.5,45.2,24335.94921875
2025-05-07,71.7,32.3,34.0,73.6,24414.400390625
2025-05-14,86.6,40.6,40.9,76.2,24666.900390625
2025-05-21,87.9,47.7,57.4,71.1,24813.44921875
2025-05-28,82.8,50.9,60.0,46.4,24752.44921875
2025-06-04,79.5,52.2,71.2,63.2,24620.19921875
2025-06-11,85.8,63.6,65.1,43.3,25141.400390625
2025-06-18,72.5,55.4,66.0,34.2,24812.05078125
2025-06-25,76.4,59.9,58.0,77.4,25244.75
2025-07-02,77.6,61.2,60.3,41.6,25453.400390625
2025-07-09,77.7,65.5,62.3,51.8,25476.099609375
2025-07-16,77.1,67.8,66.3,52.4,25212.05078125
2025-07-23,62.3,66.5,68.0,57.5,25219.900390625
2025-07-30,44.2,60.4,69.3,50.1,24855.05078125
2025-08-06,31.4,53.3,68.2,23.4,24574.19921875
2025-08-13,33.0,54.6,52.1,63.0,24619.349609375
2025-08-21,43.8,61.0,51.8,46.1,25083.75
2025-08-29,27.4,49.0,41.2,36.6,24426.849609375
2025-09-05,37.1,57.3,42.5,48.3,24741.0
2025-09-12,48.3,63.5,45.0,51.7,25114.0
2025-09-19,65.4,70.8,53.4,49.7,25327.05078125
2025-09-26,32.9,54.0,44.3,8.3,24654.69921875
2025-10-06,50.8,61.2,46.1,50.8,25077.650390625
2025-10-13,52.0,61.1,39.3,34.2,25227.349609375
2025-10-20,52.8,63.6,32.3,56.6,25843.150390625
2025-10-28,56.4,64.8,35.0,44.6,25936.19921875
2025-11-04,54.0,64.2,41.1,29.2,25597.650390625
2025-11-12,51.1,60.7,43.4,66.3,25875.80078125
2025-11-19,45.5,59.6,37.3,44.1,26052.650390625
2025-11-26,42.2,55.6,34.2,83.5,26205.30078125
2025-12-03,34.6,52.6,28.3,28.9,25986.0
2025-12-10,28.3,47.6,28.9,34.8,25758.0
2025-12-17,29.2,46.9,28.4,29.6,25818.55078125
2025-12-24,41.0,49.9,29.6,37.1,26142.099609375
2026-01-01,43.0,50.9,31.0,50.5,26146.55078125
2026-01-08,39.4,44.6,33.1,9.9,25876.849609375
2026-01-16,34.1,39.6,32.3,37.1,25694.349609375
2026-01-23,16.6,29.6,28.8,14.6,25048.650390625
2026-02-02,23.1,32.5,29.6,29.4,25088.400390625
2026-02-09,51.5,42.8,33.3,86.2,25867.30078125
2026-02-16,44.4,39.1,37.3,59.0,25682.75
