Strategy,Regime,Days,Total%,Ann%
V2.1-63d,BULL,913,1743.81,123.54
V2.1-63d,MILD_BULL,560,1686.24,265.91
V2.1-63d,SIDEWAYS,685,1720.11,190.78
V2.1-63d,BEAR,305,1596.52,937.28
V2.1-Composite,BULL,913,2994.65,157.89
V2.1-Composite,MILD_BULL,560,2940.52,364.86
V2.1-Composite,SIDEWAYS,685,3014.72,254.33
V2.1-Composite,BEAR,305,2847.01,1536.99
V3.1-63d,BULL,913,976.06,92.66
V3.1-63d,MILD_BULL,560,913.21,183.51
V3.1-63d,SIDEWAYS,685,943.11,136.93
V3.1-63d,BEAR,305,784.49,505.6
V3.1-Composite,BULL,913,999.54,93.82
V3.1-Composite,MILD_BULL,560,963.31,189.73
V3.1-Composite,SIDEWAYS,685,996.61,141.33
V3.1-Composite,BEAR,305,845.49,539.9
