date,ret,Strategy,Window
2016-08-31,27.152495505764442,V2.1-63d,6-Month
2016-09-30,20.725671590224138,V2.1-63d,6-Month
2016-10-28,25.096117907358728,V2.1-63d,6-Month
2016-11-30,17.163930530039686,V2.1-63d,6-Month
2016-12-30,5.795723908983996,V2.1-63d,6-Month
2017-01-31,8.024745119074783,V2.1-63d,6-Month
2017-02-28,1.2021970832116757,V2.1-63d,6-Month
2017-03-31,2.9158437491612066,V2.1-63d,6-Month
2017-04-28,-3.447383131055992,V2.1-63d,6-Month
2017-05-31,-3.4863878947182014,V2.1-63d,6-Month
2017-06-30,-1.1093864628378247,V2.1-63d,6-Month
2017-07-31,0.06354640652346255,V2.1-63d,6-Month
2017-08-31,7.9890314461471545,V2.1-63d,6-Month
2017-09-29,12.059230888991257,V2.1-63d,6-Month
2017-10-31,27.993177300126316,V2.1-63d,6-Month
2017-11-30,48.845888864195345,V2.1-63d,6-Month
2017-12-29,60.8961717279285,V2.1-63d,6-Month
2018-01-31,47.8879369054837,V2.1-63d,6-Month
2018-02-28,41.73775751860936,V2.1-63d,6-Month
2018-03-28,21.020842467394264,V2.1-63d,6-Month
2018-04-30,19.311510637818664,V2.1-63d,6-Month
2018-05-31,11.119542296249584,V2.1-63d,6-Month
2018-06-29,-1.582726722896799,V2.1-63d,6-Month
2018-07-31,0.2947296136765365,V2.1-63d,6-Month
2018-08-31,8.700865367244015,V2.1-63d,6-Month
2018-09-28,5.8683201069049895,V2.1-63d,6-Month
2018-10-31,-4.608082419316473,V2.1-63d,6-Month
2018-11-30,-0.7389615062900368,V2.1-63d,6-Month
2018-12-31,5.305249089191566,V2.1-63d,6-Month
2019-01-31,-2.52706854932796,V2.1-63d,6-Month
2019-02-28,-9.181492744910402,V2.1-63d,6-Month
2019-03-28,11.41565418013013,V2.1-63d,6-Month
2019-04-30,10.725733889061463,V2.1-63d,6-Month
2019-05-31,7.867100399751936,V2.1-63d,6-Month
2019-06-28,3.7810844065521154,V2.1-63d,6-Month
2019-07-31,-1.114015998279816,V2.1-63d,6-Month
