Ticker,PnL%,Reason,Hold,EntryDate,ExitDate
NEULANDLAB.NS,-6.54,Trail -12%,16,2019-02-25,2019-03-13
TIINDIA.NS,1.31,Trail -12%,25,2019-02-25,2019-03-22
GVT&D.NS,-7.33,Trail -12%,25,2019-02-25,2019-03-22
PRAJIND.NS,-4.23,Trail -12%,42,2019-02-25,2019-04-08
YESBANK.NS,4.04,Trail -12%,56,2019-02-25,2019-04-22
CREDITACC.NS,-2.61,Trail -12%,27,2019-03-28,2019-04-24
J&KBANK.NS,1.59,Trail -12%,41,2019-03-28,2019-05-08
RECLTD.NS,-8.74,Trail -12%,43,2019-03-28,2019-05-10
BALRAMCHIN.NS,4.69,Trail -12%,77,2019-02-25,2019-05-13
ABFRL.NS,-14.61,Trail -12%,79,2019-02-25,2019-05-15
JPPOWER.NS,-1.72,Trail -12%,12,2019-05-03,2019-05-15
ASTRAZEN.NS,7.51,Trail -12%,91,2019-02-25,2019-05-27
DCMSHRIRAM.NS,14.12,Trail -12%,31,2019-05-03,2019-06-03
J&KBANK.NS,-11.55,Trail -12%,7,2019-06-03,2019-06-10
CGCL.NS,-2.84,Trail -12%,76,2019-03-28,2019-06-12
KEI.NS,-12.92,Trail -12%,14,2019-06-03,2019-06-17
TRIVENI.NS,-1.28,Trail -12%,47,2019-05-03,2019-06-19
ATGL.NS,-11.36,Trail -12%,17,2019-06-03,2019-06-20
GUJGASLTD.NS,-11.69,Trail -12%,30,2019-06-03,2019-07-03
FACT.NS,-14.97,Trail -12%,2,2019-07-03,2019-07-05
ADANIGREEN.NS,-13.75,Trail -12%,5,2019-07-03,2019-07-08
INDIGO.NS,-17.34,Trail -12%,37,2019-06-03,2019-07-10
DCMSHRIRAM.NS,-10.74,Trail -12%,15,2019-07-03,2019-07-18
MANAPPURAM.NS,8.84,Trail -12%,144,2019-02-25,2019-07-19
INTELLECT.NS,-4.67,Trail -12%,51,2019-06-03,2019-07-24
ADANIPOWER.NS,-11.33,Trail -12%,33,2019-07-03,2019-08-05
NAM-INDIA.NS,25.2,Trail -12%,203,2019-02-25,2019-09-16
AAVAS.NS,34.37,Trail -12%,222,2019-03-28,2019-11-05
GRSE.NS,20.72,Trail -12%,50,2019-10-07,2019-11-26
SCI.NS,3.39,Trail -12%,20,2019-11-08,2019-11-28
HDFCAMC.NS,49.84,Trail -12%,126,2019-08-01,2019-12-05
GODFRYPHLP.NS,6.68,Trail -12%,38,2019-11-08,2019-12-16
ADANIGREEN.NS,192.58,Trail -12%,99,2019-10-07,2020-01-14
JBMA.NS,6.77,Trail -12%,49,2019-12-10,2020-01-28
GPIL.NS,-13.39,Trail -12%,19,2020-01-09,2020-01-28
POLYCAB.NS,2.16,Trail -12%,50,2019-12-10,2020-01-29
SCI.NS,-1.59,Trail -12%,55,2019-12-10,2020-02-03
GRSE.NS,-13.63,Trail -12%,55,2019-12-10,2020-02-03
TATACOMM.NS,1.77,Trail -12%,64,2019-12-10,2020-02-12
ADANIGREEN.NS,-12.72,Trail -12%,17,2020-02-07,2020-02-24
ALOKINDS.NS,339.39,Trail -12%,18,2020-02-07,2020-02-25
HDFCLIFE.NS,4.0,Trail -12%,175,2019-09-04,2020-02-26
TATACONSUM.NS,33.78,Trail -12%,211,2019-08-01,2020-02-28
ADANIENT.NS,5.09,Trail -12%,112,2019-11-08,2020-02-28
JKCEMENT.NS,24.46,Trail -12%,282,2019-06-03,2020-03-11
BERGEPAINT.NS,15.79,Trail -12%,156,2019-10-07,2020-03-11
ALKYLAMINE.NS,-12.79,Trail -12%,1,2020-03-11,2020-03-12
POLYMED.NS,-12.36,Trail -12%,5,2020-03-11,2020-03-16
AMBER.NS,-14.06,Trail -12%,5,2020-03-11,2020-03-16
DEEPAKNTR.NS,-12.69,Trail -12%,6,2020-03-11,2020-03-17
NAVINFLUOR.NS,-19.24,Trail -12%,7,2020-03-11,2020-03-18
AJANTPHARM.NS,-14.8,Trail -12%,8,2020-03-11,2020-03-19
HINDUNILVR.NS,-16.28,Trail -12%,19,2020-04-15,2020-05-04
NAVINFLUOR.NS,2.22,Trail -12%,26,2020-04-15,2020-05-11
ABBOTINDIA.NS,-6.26,Trail -12%,57,2020-04-15,2020-06-11
ADANIGREEN.NS,9.38,Trail -12%,10,2020-06-16,2020-06-26
PATANJALI.NS,26.66,Trail -12%,15,2020-06-16,2020-07-01
ALOKINDS.NS,314.29,Trail -12%,53,2020-05-15,2020-07-07
IDEA.NS,-2.05,Trail -12%,21,2020-06-16,2020-07-07
INDIACEM.NS,9.6,Trail -12%,90,2020-04-15,2020-07-14
ALOKINDS.NS,-14.04,Trail -12%,5,2020-07-15,2020-07-20
PATANJALI.NS,-13.88,Trail -12%,5,2020-07-15,2020-07-20
IDEA.NS,-7.51,Trail -12%,15,2020-07-15,2020-07-30
RPOWER.NS,-4.35,Trail -12%,16,2020-07-15,2020-07-31
ALOKINDS.NS,-12.75,Trail -12%,8,2020-08-13,2020-08-21
JPPOWER.NS,52.78,Trail -12%,44,2020-07-15,2020-08-28
BLS.NS,-5.0,Trail -12%,15,2020-08-13,2020-08-28
AJANTPHARM.NS,5.34,Trail -12%,138,2020-04-15,2020-08-31
AUROPHARMA.NS,5.42,Trail -12%,76,2020-06-16,2020-08-31
ZENTEC.NS,-6.17,Trail -12%,18,2020-08-13,2020-08-31
BLS.NS,-14.03,Trail -12%,11,2020-09-11,2020-09-22
TATACOMM.NS,39.74,Trail -12%,99,2020-06-16,2020-09-23
NEULANDLAB.NS,3.97,Trail -12%,12,2020-09-11,2020-09-23
CGPOWER.NS,-6.26,Trail -12%,13,2020-09-11,2020-09-24
LAURUSLABS.NS,2.71,Trail -12%,13,2020-09-11,2020-09-24
AFFLE.NS,-8.18,Trail -12%,26,2020-09-11,2020-10-07
BSOFT.NS,5.08,Trail -12%,48,2020-09-11,2020-10-29
WELSPUNLIV.NS,-1.26,Trail -12%,20,2020-10-13,2020-11-02
LAURUSLABS.NS,-11.01,Trail -12%,21,2020-10-13,2020-11-03
CGPOWER.NS,87.66,Trail -12%,58,2020-10-13,2020-12-10
ADANIGREEN.NS,15.5,Trail -12%,29,2020-11-11,2020-12-10
TTML.NS,18.85,Trail -12%,40,2020-11-11,2020-12-21
PGEL.NS,68.22,Trail -12%,70,2020-10-13,2020-12-22
TARIL.NS,-15.35,Trail -12%,8,2020-12-14,2020-12-22
DBREALTY.NS,-12.68,Trail -12%,8,2020-12-14,2020-12-22
SUZLON.NS,-9.02,Trail -12%,12,2021-01-13,2021-01-25
NAVINFLUOR.NS,64.82,Trail -12%,257,2020-05-15,2021-01-27
RKFORGE.NS,50.51,Trail -12%,106,2020-10-13,2021-01-27
TTML.NS,82.93,Trail -12%,28,2021-01-13,2021-02-10
INDIAMART.NS,79.49,Trail -12%,159,2020-09-11,2021-02-17
IIFL.NS,-8.83,Trail -12%,7,2021-02-12,2021-02-19
ZYDUSLIFE.NS,28.12,Trail -12%,313,2020-04-15,2021-02-22
TTML.NS,-7.65,Trail -12%,11,2021-02-12,2021-02-23
DBREALTY.NS,55.1,Trail -12%,51,2021-01-13,2021-03-05
ANANTRAJ.NS,170.75,Trail -12%,156,2020-10-13,2021-03-18
PGEL.NS,-14.24,Trail -12%,3,2021-03-16,2021-03-19
NCC.NS,-3.97,Trail -12%,39,2021-02-12,2021-03-23
BLUEDART.NS,24.49,Trail -12%,134,2020-11-11,2021-03-25
IIFL.NS,-14.9,Trail -12%,9,2021-03-16,2021-03-25
SAREGAMA.NS,-12.42,Trail -12%,9,2021-03-16,2021-03-25
POONAWALLA.NS,-13.11,Trail -12%,10,2021-03-16,2021-03-26
ADANIENT.NS,262.97,Trail -12%,213,2020-09-11,2021-04-12
GRAPHITE.NS,40.04,Trail -12%,59,2021-02-12,2021-04-12
OLECTRA.NS,39.56,Trail -12%,90,2021-01-13,2021-04-13
INTELLECT.NS,276.05,Trail -12%,272,2020-08-13,2021-05-12
NEULANDLAB.NS,-8.98,Trail -12%,23,2021-04-19,2021-05-12
PRAJIND.NS,-13.31,Trail -12%,4,2021-05-20,2021-05-24
HEG.NS,4.75,Trail -12%,42,2021-04-19,2021-05-31
HINDCOPPER.NS,23.46,Trail -12%,77,2021-03-16,2021-06-01
ATGL.NS,21.91,Trail -12%,58,2021-04-19,2021-06-16
ADANIENT.NS,27.45,Trail -12%,58,2021-04-19,2021-06-16
