Ticker,PnL%,Reason,Hold,EntryDate,ExitDate
GODREJPROP.NS,22.88,Target +20%,36,2019-02-25,2019-04-02
OBEROIRLTY.NS,20.23,Target +20%,46,2019-02-25,2019-04-12
LEMONTREE.NS,-5.51,Tight Trail -8%,25,2019-03-28,2019-04-22
GODFRYPHLP.NS,-2.73,Tight Trail -8%,33,2019-03-28,2019-04-30
ICICIGI.NS,20.63,Target +20%,66,2019-02-25,2019-05-02
LALPATHLAB.NS,-4.32,Tight Trail -8%,73,2019-02-25,2019-05-09
PRESTIGE.NS,-2.51,Tight Trail -8%,46,2019-03-28,2019-05-13
ATGL.NS,-7.19,Tight Trail -8%,10,2019-05-03,2019-05-13
ICICIPRULI.NS,-9.37,Tight Trail -8%,10,2019-05-03,2019-05-13
JPPOWER.NS,3.45,Tight Trail -8%,11,2019-05-03,2019-05-14
GODFRYPHLP.NS,-10.96,Tight Trail -8%,27,2019-05-03,2019-05-30
MOTILALOFS.NS,4.17,Tight Trail -8%,35,2019-05-03,2019-06-07
JPPOWER.NS,-10.0,Tight Trail -8%,4,2019-06-03,2019-06-07
ATGL.NS,-6.91,Tight Trail -8%,8,2019-06-03,2019-06-11
PRESTIGE.NS,-8.99,Tight Trail -8%,9,2019-06-03,2019-06-12
ICICIPRULI.NS,-9.3,Tight Trail -8%,10,2019-06-03,2019-06-13
OBEROIRLTY.NS,-1.49,Tight Trail -8%,42,2019-05-03,2019-06-14
ABREL.NS,-9.34,Tight Trail -8%,11,2019-06-03,2019-06-14
AARTIIND.NS,-8.61,Tight Trail -8%,14,2019-06-03,2019-06-17
LINDEINDIA.NS,-8.61,Tight Trail -8%,14,2019-06-03,2019-06-17
JMFINANCIL.NS,-8.48,Tight Trail -8%,15,2019-06-03,2019-06-18
GUJGASLTD.NS,6.88,Tight Trail -8%,52,2019-05-03,2019-06-24
GODREJPROP.NS,21.7,Target +20%,28,2019-06-03,2019-07-01
PRESTIGE.NS,-9.84,Tight Trail -8%,5,2019-07-03,2019-07-08
OBEROIRLTY.NS,-9.05,Tight Trail -8%,5,2019-07-03,2019-07-08
ABREL.NS,-9.0,Tight Trail -8%,5,2019-07-03,2019-07-08
ADANIPOWER.NS,-7.3,Tight Trail -8%,16,2019-07-03,2019-07-19
ATGL.NS,-7.43,Tight Trail -8%,21,2019-07-03,2019-07-24
TIMKEN.NS,-8.24,Tight Trail -8%,26,2019-07-03,2019-07-29
SYNGENE.NS,-8.03,Tight Trail -8%,28,2019-07-03,2019-07-31
TORNTPOWER.NS,-7.96,Tight Trail -8%,33,2019-07-03,2019-08-05
GODREJPROP.NS,-4.31,Tight Trail -8%,36,2019-07-03,2019-08-08
ICICIGI.NS,-0.52,Tight Trail -8%,34,2019-08-01,2019-09-04
ICICIPRULI.NS,20.64,Target +20%,90,2019-07-03,2019-10-01
ADANIPOWER.NS,3.96,Tight Trail -8%,61,2019-08-01,2019-10-01
GSPL.NS,-1.97,Tight Trail -8%,63,2019-08-01,2019-10-03
LALPATHLAB.NS,20.96,Target +20%,51,2019-09-04,2019-10-25
SBILIFE.NS,22.74,Target +20%,55,2019-09-04,2019-10-29
BERGEPAINT.NS,21.04,Target +20%,24,2019-10-07,2019-10-31
HDFCLIFE.NS,8.31,Tight Trail -8%,64,2019-09-04,2019-11-07
GODFRYPHLP.NS,21.3,Target +20%,31,2019-10-07,2019-11-07
GICRE.NS,-5.63,Tight Trail -8%,7,2019-11-08,2019-11-15
