Ticker,PnL%,Reason,Hold,EntryDate,ExitDate
SWANCORP.NS,-12.84,Wide Trail -20%,18,2019-02-25,2019-03-15
GVT&D.NS,-16.46,Wide Trail -20%,70,2019-02-25,2019-05-06
ACE.NS,-17.12,Wide Trail -20%,41,2019-03-28,2019-05-08
ESCORTS.NS,-20.78,Wide Trail -20%,41,2019-03-28,2019-05-08
SUZLON.NS,-13.08,Wide Trail -20%,42,2019-03-28,2019-05-09
DCMSHRIRAM.NS,22.43,Wide Trail -20%,112,2019-02-25,2019-06-17
FACT.NS,-18.37,Wide Trail -20%,15,2019-06-03,2019-06-18
ACE.NS,-20.79,Wide Trail -20%,44,2019-06-03,2019-07-17
CHAMBLFERT.NS,-4.8,Wide Trail -20%,154,2019-02-25,2019-07-29
INTELLECT.NS,-13.64,Wide Trail -20%,58,2019-06-03,2019-07-31
KIRLOSBROS.NS,-9.86,Wide Trail -20%,146,2019-03-28,2019-08-21
TIINDIA.NS,-6.84,Wide Trail -20%,190,2019-02-25,2019-09-03
3MINDIA.NS,-15.01,Wide Trail -20%,190,2019-02-25,2019-09-03
NTPC.NS,-17.3,Wide Trail -20%,257,2019-03-28,2019-12-10
ELGIEQUIP.NS,-3.41,Wide Trail -20%,350,2019-02-25,2020-02-10
EICHERMOT.NS,-15.57,Wide Trail -20%,76,2019-12-10,2020-02-24
SIEMENS.NS,2.67,Wide Trail -20%,270,2019-06-03,2020-02-28
EIDPARRY.NS,-5.35,Wide Trail -20%,80,2019-12-10,2020-02-28
SWANCORP.NS,6.55,Wide Trail -20%,181,2019-09-04,2020-03-03
ADANIENT.NS,-4.01,Wide Trail -20%,122,2019-11-08,2020-03-09
ESCORTS.NS,13.34,Wide Trail -20%,157,2019-10-07,2020-03-12
NH.NS,25.68,Wide Trail -20%,191,2019-09-04,2020-03-13
TATAELXSI.NS,4.43,Wide Trail -20%,126,2019-11-08,2020-03-13
SRF.NS,41.27,Wide Trail -20%,385,2019-02-25,2020-03-16
PIIND.NS,-0.38,Wide Trail -20%,162,2019-10-07,2020-03-17
TIINDIA.NS,-6.12,Wide Trail -20%,98,2019-12-10,2020-03-17
SUZLON.NS,-9.62,Wide Trail -20%,21,2020-04-15,2020-05-06
SUZLON.NS,73.08,Wide Trail -20%,61,2020-05-15,2020-07-15
SWANCORP.NS,-12.26,Wide Trail -20%,86,2020-06-16,2020-09-10
BHEL.NS,-11.41,Wide Trail -20%,69,2020-07-15,2020-09-22
RCF.NS,9.52,Wide Trail -20%,162,2020-04-15,2020-09-24
BAYERCROP.NS,13.72,Wide Trail -20%,187,2020-05-15,2020-11-18
HEROMOTOCO.NS,19.72,Wide Trail -20%,300,2020-06-16,2021-04-12
ESCORTS.NS,19.06,Wide Trail -20%,311,2020-06-16,2021-04-23
KIRLOSBROS.NS,-14.31,Wide Trail -20%,48,2021-06-18,2021-08-05
INTELLECT.NS,238.61,Wide Trail -20%,332,2020-09-11,2021-08-09
ACE.NS,59.56,Wide Trail -20%,249,2020-12-14,2021-08-20
FACT.NS,149.49,Wide Trail -20%,495,2020-04-15,2021-08-23
ELECON.NS,3.55,Wide Trail -20%,129,2021-06-18,2021-10-25
PIIND.NS,87.66,Wide Trail -20%,536,2020-05-15,2021-11-02
RKFORGE.NS,189.55,Wide Trail -20%,401,2020-10-13,2021-11-18
COROMANDEL.NS,21.41,Wide Trail -20%,563,2020-05-15,2021-11-29
CYIENT.NS,161.79,Wide Trail -20%,465,2020-09-11,2021-12-20
MAXHEALTH.NS,-6.36,Wide Trail -20%,140,2021-09-20,2022-02-07
EIDPARRY.NS,87.25,Wide Trail -20%,612,2020-06-16,2022-02-18
OLECTRA.NS,134.49,Wide Trail -20%,187,2021-08-18,2022-02-21
ELGIEQUIP.NS,17.04,Wide Trail -20%,63,2021-12-21,2022-02-22
TATAELXSI.NS,321.91,Wide Trail -20%,499,2020-10-13,2022-02-24
GRAVITA.NS,53.53,Wide Trail -20%,244,2021-08-18,2022-04-19
HINDALCO.NS,-18.56,Wide Trail -20%,33,2022-03-23,2022-04-25
GMDCLTD.NS,27.17,Wide Trail -20%,73,2022-02-18,2022-05-02
INTELLECT.NS,-8.85,Wide Trail -20%,42,2022-03-23,2022-05-04
TATAELXSI.NS,-6.04,Wide Trail -20%,47,2022-03-23,2022-05-09
SRF.NS,-0.2,Wide Trail -20%,232,2021-09-20,2022-05-10
NAVA.NS,-3.28,Wide Trail -20%,49,2022-03-23,2022-05-11
RHIM.NS,-5.32,Wide Trail -20%,97,2022-02-18,2022-05-26
SWANCORP.NS,-22.71,Wide Trail -20%,19,2022-05-25,2022-06-13
NAVA.NS,-12.6,Wide Trail -20%,26,2022-05-25,2022-06-20
NAVA.NS,21.64,Wide Trail -20%,85,2022-06-23,2022-09-16
ELGIEQUIP.NS,9.71,Wide Trail -20%,95,2022-06-23,2022-09-26
INOXWIND.NS,-20.97,Wide Trail -20%,22,2022-10-25,2022-11-16
ELECON.NS,25.51,Wide Trail -20%,183,2022-06-23,2022-12-23
ABB.NS,-0.58,Wide Trail -20%,154,2022-07-22,2022-12-23
ELGIEQUIP.NS,-20.55,Wide Trail -20%,59,2022-10-25,2022-12-23
ADANIENT.NS,833.91,Wide Trail -20%,868,2020-09-11,2023-01-27
BHEL.NS,-12.69,Wide Trail -20%,80,2022-11-25,2023-02-13
BEML.NS,-14.36,Wide Trail -20%,187,2022-08-24,2023-02-27
GVT&D.NS,7.08,Wide Trail -20%,23,2023-05-02,2023-05-25
OLECTRA.NS,62.53,Wide Trail -20%,84,2023-05-02,2023-07-25
KIRLOSBROS.NS,90.44,Wide Trail -20%,190,2023-05-02,2023-11-08
ADANIENT.NS,-13.73,Wide Trail -20%,173,2023-05-31,2023-11-20
GMDCLTD.NS,-12.87,Wide Trail -20%,70,2023-12-04,2024-02-12
