date,value
2021-02-09,1000000.0
2021-02-10,1000000.0
2021-02-11,1000000.0
2021-02-12,1000000.0
2021-02-15,1000000.0
2021-02-16,1000000.0
2021-02-17,1000000.0
2021-02-18,1000000.0
2021-02-19,1000000.0
2021-02-22,1000000.0
2021-02-23,1000000.0
2021-02-24,1000000.0
2021-02-25,1000000.0
2021-02-26,1000000.0
2021-03-01,1000000.0
2021-03-02,1000000.0
2021-03-03,1000000.0
2021-03-04,1000000.0
2021-03-05,1000000.0
2021-03-08,1000000.0
2021-03-09,1000000.0
2021-03-10,1000000.0
2021-03-12,1000000.0
2021-03-15,1000000.0
2021-03-16,1000000.0
2021-03-17,1000000.0
2021-03-18,1000000.0
2021-03-19,1000000.0
2021-03-22,1000000.0
2021-03-23,1000000.0
2021-03-24,1000000.0
2021-03-25,1000000.0
2021-03-26,1000000.0
2021-03-30,1000000.0
2021-03-31,1000000.0
2021-04-01,1000000.0
2021-04-05,1000000.0
2021-04-06,1000000.0
2021-04-07,1000000.0
2021-04-08,1000000.0
2021-04-09,1000000.0
2021-04-12,1000000.0
2021-04-13,1000000.0
2021-04-15,1000000.0
2021-04-16,997921.7224926758
2021-04-19,985742.842928772
2021-04-20,984072.3507714844
2021-04-22,991717.5054187012
2021-04-23,992091.3776644898
2021-04-26,1005736.0317095948
2021-04-27,1018958.6137026978
2021-04-28,1035300.2401675415
2021-04-29,1030713.4830035401
2021-04-30,1028753.8364810181
2021-05-03,1033581.5304507447
2021-05-04,1033773.9715441895
2021-05-05,1044825.5201586914
2021-05-06,1058843.7510623168
2021-05-07,1057652.3673190307
2021-05-10,1062975.5241870116
2021-05-11,1077308.7913760375
2021-05-12,1063894.9878482055
2021-05-14,1054221.1013812255
2021-05-17,1079258.6727160644
2021-05-18,1095624.2174472045
2021-05-19,1090948.4536532592
2021-05-20,1083114.4228152465
2021-05-21,1091986.836404724
2021-05-24,1095336.2567385864
2021-05-25,1100629.782739563
2021-05-26,1106266.3829364013
2021-05-27,1107997.3939303588
2021-05-28,1101682.9307116698
2021-05-31,1112157.8940219115
2021-06-01,1110895.6186160278
2021-06-02,1118639.257562561
2021-06-03,1128748.1520785522
2021-06-04,1129976.9671496581
2021-06-07,1139353.9589785766
2021-06-08,1145673.6808566283
2021-06-09,1144544.5663623046
2021-06-10,1158218.6747454833
