ticker,sector,entry_date,entry_price,current_price,return,days_held,rs_3m,volatility,trend_score
HINDCOPPER,Copper,2025-09-12,278.61,579.85,108.12,149,70.8,77.4,95
NATIONALUM,Aluminium,2025-11-11,258.47,354.65,37.21,89,40.8,44.5,95
VEDL,Diversified Metals,2026-02-02,660.65,671.05,1.57,6,28.4,38.5,95
KARURVYSYA,Private Sector Bank,2026-01-28,293.8,318.1,8.27,11,27.7,34.3,95
HINDZINC,Zinc,2025-12-15,568.05,608.95,7.2,55,24.9,48.0,95
MCX,Exchange and Data Platform,2025-08-12,1630.3,2380.4,46.01,180,24.1,44.9,95
M&MFIN,Non Banking Financial Company (NBFC),2025-12-08,351.4,380.45,8.27,62,20.6,40.6,95
INDIACEM,Cement & Cement Products,2025-08-06,368.3,452.65,22.9,186,18.7,39.3,95
FORCEMOT,Passenger Cars & Utility Vehicles,2025-08-06,18123.99,21390.0,18.02,186,16.9,42.2,95
ZFCVINDIA,Auto Components & Equipments,2025-12-05,14793.0,14884.0,0.62,65,16.8,37.2,95
BSOFT,Computers - Software & Consulting,2025-12-03,422.75,435.7,3.06,67,16.3,37.9,95
IDEA,Telecom - Cellular & Fixed line services,2025-08-25,7.4,11.12,50.27,167,16.3,51.8,95
BALKRISIND,Tyres & Rubber Products,2026-02-04,2663.5,2704.8,1.55,4,16.1,33.4,85
ABB,Heavy Electrical Equipment,2026-01-30,5578.5,5816.0,4.26,9,15.7,31.8,85
OIL,Oil Exploration & Production,2026-01-29,514.75,497.25,-3.4,10,15.3,34.2,95
CRAFTSMAN,Auto Components & Equipments,2025-08-05,6457.5,7834.0,21.32,187,14.9,38.9,95
UNIONBANK,Public Sector Bank,2026-02-03,174.41,178.13,2.13,5,14.7,30.1,95
CUB,Private Sector Bank,2025-08-11,209.09,292.45,39.87,181,14.4,39.0,95
GRAPHITE,Electrodes & Refractories,2025-08-18,548.35,618.7,12.83,174,14.1,42.4,95
GVT&D,Heavy Electrical Equipment,2025-08-06,2794.38,3552.2,27.12,186,13.9,47.2,95
