ticker,sector,entry_date,entry_price,current_price,return_pct,days_held,entry_trend,entry_pe,entry_rsi,entry_vol_ratio,entry_volatility,entry_rs
ATHERENERG,2/3 Wheelers,2025-09-25,557.2,706.1,26.7,136,70,,62.9,1.6,53.7,70.4
FORCEMOT,Passenger Cars & Uti,2025-08-06,18123.99,21390.0,18.0,186,70,20.6,58.2,1.2,62.3,70.3
GVT&D,Heavy Electrical Equ,2025-08-06,2794.38,3552.2,27.1,186,70,85.5,70.0,1.11,42.4,67.8
APARINDS,Other Electrical Equ,2025-08-06,8887.5,9490.0,6.8,186,70,39.2,51.2,1.35,54.6,43.3
VEDL,Diversified Metals,2026-01-30,681.55,671.05,-1.5,9,95,18.6,63.6,1.26,36.1,40.2
EMCURE,Pharmaceuticals,2025-08-04,1407.99,1515.7,7.7,188,70,33.0,60.0,0.65,40.7,36.0
NATIONALUM,Aluminium,2025-11-10,250.39,354.65,41.6,90,95,10.6,77.5,1.11,33.2,33.3
NAVA,Power Generation,2025-08-06,598.13,562.45,-6.0,186,70,17.9,46.4,0.39,35.6,32.3
M&MFIN,Non Banking Financia,2025-12-05,367.55,380.45,3.5,65,95,21.5,70.2,1.36,31.6,30.6
ABSLAMC,Asset Management Com,2025-08-06,854.75,813.0,-4.9,186,70,23.1,53.9,1.14,30.4,30.3
CRAFTSMAN,Auto Components & Eq,2025-08-05,6457.5,7834.0,21.3,187,70,55.9,55.8,1.1,32.6,30.1
SYRMA,Industrial Products,2025-08-12,672.06,868.6,29.2,180,70,56.8,43.2,0.94,32.1,29.2
MCX,Exchange and Data Pl,2025-08-12,1630.3,2380.4,46.0,180,70,95.3,48.2,0.6,35.7,29.0
NAM-INDIA,Asset Management Com,2025-08-06,804.6,919.8,14.3,186,70,41.2,38.7,0.96,30.7,23.8
OIL,Oil Exploration & Pr,2026-01-29,514.75,497.25,-3.4,10,95,13.5,81.9,1.71,31.3,21.8
KARURVYSYA,Private Sector Bank,2026-01-27,292.55,318.1,8.7,12,95,13.4,61.8,1.63,33.4,20.5
HINDZINC,Zinc,2025-12-12,561.65,608.95,8.4,58,95,21.8,86.7,1.16,33.2,17.6
MANAPPURAM,Non Banking Financia,2025-08-14,265.06,300.9,13.5,178,70,64.2,50.7,0.67,32.7,17.1
INDIACEM,Cement & Cement Prod,2025-08-06,368.3,452.65,22.9,186,70,,59.6,0.97,38.5,17.0
NMDC,Industrial Minerals,2026-02-04,85.88,84.08,-2.1,4,95,10.7,54.3,1.25,31.3,16.8
