ticker,entry_date,exit_date,pnl,days_held,entry_rs,entry_vol,entry_trend,entry_regime,exit_reason,rs_bucket,vol_bucket,hold_bucket
HINDALCO,2016-04-26,2016-05-19,-15.608334946567783,23,43.65012194728045,54.74453611289891,90,Recovery,Stop,20-50%,45-60%,<30d
BANKBARODA,2016-04-26,2016-05-19,-15.1515114152348,23,24.532291676959765,64.11854744339058,90,Recovery,Stop,20-50%,60%+,<30d
ASHOKLEY,2016-04-26,2016-08-02,-16.616234122523814,98,19.042222734328824,38.06277349352434,100,Recovery,Stop,10-20%,35-45%,60-120d
PERSISTENT,2016-05-19,2016-08-29,-15.788404984900883,102,9.34592045604892,37.86078133849276,100,Recovery,Stop,5-10%,35-45%,60-120d
DLF,2016-04-26,2016-09-01,19.766484297335264,128,28.06794711783961,57.80443199732049,90,Recovery,Trail,20-50%,45-60%,120-365d
VEDL,2016-04-26,2016-09-12,51.52658114037531,139,57.64977317922171,74.86064175211945,90,Recovery,Trail,50%+,60%+,120-365d
HINDALCO,2016-08-02,2016-09-12,4.613588556802679,41,38.33473444361479,38.33970155697369,100,Strong_Bull,Trail,20-50%,35-45%,30-60d
NMDC,2016-04-26,2016-09-15,4.951502650261818,142,33.6350718387218,43.72217351945929,100,Recovery,Trail,20-50%,35-45%,120-365d
TATASTEEL,2016-04-26,2016-09-16,2.3245210133355627,143,45.63031045838055,50.081466189395385,100,Recovery,Trail,20-50%,45-60%,120-365d
NATIONALUM,2016-04-26,2016-09-16,-2.7322408408868117,143,28.196766370185514,41.440423755994225,100,Recovery,Stop,20-50%,35-45%,120-365d
ABB,2016-04-26,2016-10-24,-15.27541167329874,181,21.18082541436361,46.971587040031736,90,Recovery,Stop,20-50%,45-60%,120-365d
JINDALSTEL,2016-08-29,2016-11-04,-19.284876033072845,67,29.616817848356295,55.84842323647954,100,Strong_Bull,Stop,20-50%,45-60%,60-120d
EICHERMOT,2016-04-26,2016-11-09,15.797047506587033,197,21.436319499023384,30.72276926697995,100,Recovery,Trail,20-50%,30-35%,120-365d
OBEROIRLTY,2016-05-19,2016-11-09,8.752950880934803,174,10.344393096386616,43.85353465092814,100,Recovery,Trail,10-20%,35-45%,120-365d
NMDC,2016-10-24,2016-11-09,1.3480252268706125,16,25.763057533421133,35.9458621810567,100,Mild_Bull,Trail,20-50%,35-45%,<30d
VEDL,2016-09-15,2016-11-16,25.854035863163748,62,30.530983105354764,45.666457663485374,100,Strong_Bull,Trail,20-50%,45-60%,60-120d
FEDERALBNK,2016-09-20,2016-11-16,0.6258659289640048,57,20.104316065015485,30.11052623062473,100,Strong_Bull,Trail,20-50%,30-35%,30-60d
HINDALCO,2016-09-20,2016-11-21,8.070072837176422,62,13.637128866586814,38.596941975277,100,Strong_Bull,Trail,10-20%,35-45%,60-120d
NATIONALUM,2016-11-09,2016-12-15,18.79260550482596,36,7.279277933519029,35.283096400694056,100,Mild_Bull,Trail,5-10%,35-45%,30-60d
VEDL,2016-11-16,2016-12-22,4.813732099488474,36,34.53647053514856,43.54615602877284,100,Mild_Bull,Trail,20-50%,35-45%,30-60d
HINDALCO,2016-11-21,2016-12-22,2.478537296405315,31,9.601749440953682,44.775830919831925,100,Mild_Bull,Trail,5-10%,35-45%,30-60d
NATIONALUM,2016-12-15,2017-02-09,11.557386467324083,56,40.791594856229665,54.34427049021079,100,Mild_Bull,Trail,20-50%,45-60%,30-60d
BANKBARODA,2016-09-12,2017-02-13,4.358593203791194,154,4.034391787677353,38.825206537391,100,Strong_Bull,Trail,2-5%,35-45%,120-365d
NMDC,2016-11-09,2017-04-13,8.686463387904706,155,22.417201859131854,41.1613052649529,100,Mild_Bull,Trail,20-50%,35-45%,120-365d
TATASTEEL,2016-11-04,2017-04-18,11.61002691578342,165,13.747880010276456,31.465115767740425,100,Mild_Bull,Trail,10-20%,30-35%,120-365d
NATIONALUM,2017-02-09,2017-04-19,3.4826553232573603,69,28.145676654914034,61.4382647102111,100,Recovery,Trail,20-50%,60%+,60-120d
TECHM,2016-11-25,2017-05-05,-15.238583367572994,161,10.608966507128335,30.99471506269972,90,Mild_Bull,Stop,10-20%,30-35%,120-365d
TRENT,2016-12-27,2017-05-19,21.980514960969444,143,2.161704768301602,36.063636512986136,100,Mild_Bull,Trail,2-5%,35-45%,120-365d
DLF,2017-02-13,2017-05-24,28.83249916333945,100,27.563521989476936,42.07219722642315,90,Recovery,Trail,20-50%,35-45%,60-120d
GODREJPROP,2017-04-19,2017-05-24,8.057504600083679,35,25.6153906166623,39.42288878963396,100,Strong_Bull,Trail,20-50%,35-45%,30-60d
SBIN,2016-11-09,2017-06-29,5.7361298137429655,232,13.100623204721318,30.615433726373524,100,Mild_Bull,Trail,10-20%,30-35%,120-365d
PRESTIGE,2017-04-18,2017-07-18,1.831874232122526,91,33.97439459969906,42.21341263651671,100,Strong_Bull,Trail,20-50%,35-45%,60-120d
