date,value
2023-02-13,995852.3582532121
2023-02-14,993204.4579922868
2023-02-15,993564.911971779
2023-02-16,1001077.0335614396
2023-02-17,1004108.0775754167
2023-02-20,995186.7437970353
2023-02-21,996109.4579846574
2023-02-22,980065.3060376359
2023-02-23,990136.9305798722
2023-02-24,995532.6593392564
2023-02-27,971947.4293358994
2023-02-28,984569.833121605
2023-03-01,993798.2796471787
2023-03-02,989771.2731754686
2023-03-03,999881.0715458299
2023-03-06,1019684.899304619
2023-03-08,1032351.6005985643
2023-03-09,1048058.1020100022
2023-03-10,1039688.8241321946
2023-03-13,1016249.900639763
2023-03-14,1016959.5194541551
2023-03-15,1013960.7115203096
2023-03-16,1009488.6797972871
2023-03-17,1019859.2009764863
2023-03-20,1009872.6944609834
2023-03-21,1015176.3588896943
2023-03-22,1020672.9029265596
2023-03-23,1018613.4890776826
2023-03-24,1004772.6938661959
2023-03-27,999564.798236313
2023-03-28,1002730.5412737275
2023-03-29,1023047.2866350557
2023-03-31,1045516.8684679414
2023-04-03,1063200.1803881074
2023-04-05,1063863.863005295
2023-04-06,1076436.1929155733
2023-04-10,1066260.7700945283
2023-04-11,1068092.6136156465
2023-04-12,1064136.9655138399
2023-04-13,1069553.4764086152
2023-04-17,1063642.801475754
2023-04-18,1066646.2773058321
2023-04-19,1072255.2194750216
2023-04-20,1078795.6686937716
2023-04-21,1075893.5444414522
2023-04-24,1078665.9177782442
2023-04-25,1072287.4594805147
2023-04-26,1065480.2573015597
2023-04-27,1070079.5340044405
2023-04-28,1080601.4758684542
2023-05-02,1082915.7945482638
2023-05-03,1086067.9029772189
2023-05-04,1093860.9065477755
2023-05-05,1099452.9659502413
2023-05-08,1118672.5982286837
2023-05-09,1098776.8708188632
2023-05-10,1084613.4439237216
2023-05-11,1096885.0748136141
2023-05-12,1087582.6730344393
2023-05-15,1091639.6125028231
2023-05-16,1097680.203796158
2023-05-17,1106906.7453763583
2023-05-18,1128083.4528958895
2023-05-19,1123724.4810330966
2023-05-22,1119552.7185056307
2023-05-23,1105224.3734761812
2023-05-24,1109463.4664632417
2023-05-25,1113126.3365651704
2023-05-26,1118084.583986435
2023-05-29,1118530.140752907
2023-05-30,1116069.9428540422
2023-05-31,1145900.2552396012
2023-06-01,1146410.9375668718
2023-06-02,1158788.9456464006
2023-06-05,1162401.0013180925
2023-06-06,1172806.611166115
2023-06-07,1195746.3007107927
2023-06-08,1203461.8199902726
2023-06-09,1201550.0351620866
2023-06-12,1203831.4858075334
2023-06-13,1219296.9523373796
2023-06-14,1216036.715612526
2023-06-15,1224688.348539467
2023-06-16,1219739.7235242082
2023-06-19,1227747.4749661637
2023-06-20,1222734.2662411882
2023-06-21,1228110.1354504777
2023-06-22,1212433.2830945207
2023-06-23,1186993.453461342
2023-06-26,1221587.2993094255
2023-06-27,1256398.2669302751
2023-06-28,1269534.200562172
2023-06-30,1281754.6453253557
2023-07-03,1298185.5732504656
2023-07-04,1301843.0382315447
2023-07-05,1313998.3736273577
2023-07-06,1316328.0834592152
2023-07-07,1322036.9026616383
2023-07-10,1331700.6884434987
2023-07-11,1353640.2799599934
2023-07-12,1374881.7789414693
2023-07-13,1367937.3917687703
2023-07-14,1375733.0332101155
2023-07-17,1405926.2662576009
2023-07-18,1400159.980286913
2023-07-19,1412356.008626299
2023-07-20,1425982.703025179
2023-07-21,1447652.9787572194
2023-07-24,1450484.7627213765
2023-07-25,1451017.5340684224
2023-07-26,1458364.4764016438
2023-07-27,1445779.391253853
2023-07-28,1419516.290323391
2023-07-31,1437112.780534878
2023-08-01,1442377.0402013208
2023-08-02,1411431.9480306818
2023-08-03,1413153.7178175165
2023-08-04,1429216.3245737269
2023-08-07,1448709.7469675257
2023-08-08,1467392.2311556055
2023-08-09,1498710.6207143976
2023-08-10,1503054.793592663
2023-08-11,1485344.1535017206
2023-08-14,1495337.73654768
2023-08-16,1513737.771303387
2023-08-17,1513037.532177868
2023-08-18,1507918.45062727
2023-08-21,1521053.8239163782
2023-08-22,1541453.9634694483
2023-08-23,1535267.411297665
2023-08-24,1543789.796095715
2023-08-25,1537654.536789761
2023-08-28,1555809.2937153438
2023-08-29,1555417.189926968
2023-08-30,1564389.9392517665
2023-08-31,1574118.404864178
2023-09-01,1594119.1870258907
2023-09-04,1583214.1379822353
2023-09-05,1586657.5039185146
2023-09-06,1578498.4846116449
2023-09-07,1596564.6628308299
2023-09-08,1629448.7129464152
2023-09-11,1661923.9895081522
2023-09-12,1590224.0396271518
2023-09-13,1567991.7907791904
2023-09-14,1584997.7425919345
2023-09-15,1596668.9609680942
2023-09-18,1574044.2261353305
2023-09-20,1549820.6038892367
2023-09-21,1522485.4760652927
2023-09-22,1517544.5655733494
2023-09-25,1505719.053067055
2023-09-26,1540076.568150368
2023-09-27,1542752.2466247943
2023-09-28,1531816.7155350116
2023-09-29,1539271.4587829974
2023-10-03,1538755.4320724872
2023-10-04,1525893.5196655658
2023-10-05,1548195.92775425
2023-10-06,1583463.6762741474
2023-10-09,1536519.3211186603
2023-10-10,1578815.3519108966
2023-10-11,1584809.1327489093
2023-10-12,1590456.0912373737
2023-10-13,1586200.1999715045
2023-10-16,1589666.320805855
2023-10-17,1597687.0972264484
2023-10-18,1595505.9234517291
2023-10-19,1598032.654614754
2023-10-20,1582709.3575490192
2023-10-23,1536543.9037791446
2023-10-25,1532184.0985270694
2023-10-26,1525843.9372073368
2023-10-27,1549792.0312358097
2023-10-30,1556439.226468201
2023-10-31,1554365.7916423038
2023-11-01,1548647.7286311344
2023-11-02,1538277.5021157078
2023-11-03,1546695.9962944798
2023-11-06,1574037.3254647069
2023-11-07,1610928.2189698033
2023-11-08,1637779.9576020055
2023-11-09,1605558.7580971532
2023-11-10,1627038.7300286107
2023-11-13,1676991.5218796544
2023-11-15,1684027.9550919347
2023-11-16,1674078.9097351842
2023-11-17,1701259.1947693639
2023-11-20,1701841.6513237767
2023-11-21,1699985.331698685
2023-11-22,1709260.5584404757
2023-11-23,1711735.0053818515
2023-11-24,1704845.0844795993
2023-11-28,1720740.991018391
2023-11-29,1721764.0169278148
2023-11-30,1741481.4782849315
2023-12-01,1740249.5786114696
2023-12-04,1765674.119924641
2023-12-05,1757840.6733609203
2023-12-06,1772971.3040905956
2023-12-07,1778369.3652554515
2023-12-08,1757772.8561612132
2023-12-11,1776606.01333437
2023-12-12,1770806.273565388
2023-12-13,1788166.2459469798
2023-12-14,1805171.4480572704
2023-12-15,1797489.017530537
2023-12-18,1800355.6728192333
2023-12-19,1813589.011243916
2023-12-20,1741059.7998666195
2023-12-21,1783040.160508099
2023-12-22,1798218.7187966732
2023-12-26,1814666.6064843563
2023-12-27,1819416.8354424862
2023-12-28,1812255.5412792782
2023-12-29,1839277.6247830014
2024-01-01,1851893.268841229
2024-01-02,1847783.9321560482
2024-01-03,1844627.937313519
2024-01-04,1874717.2166332821
2024-01-05,1870303.5418057065
2024-01-08,1857699.6892361264
2024-01-09,1859623.3691475107
2024-01-10,1900314.7398750498
2024-01-11,1917023.0107185557
2024-01-12,1918733.953002186
2024-01-15,1925637.23609087
2024-01-16,1974595.87004015
2024-01-17,1993371.6221153452
2024-01-18,1993348.0169594004
2024-01-19,2035270.9952308848
2024-01-23,1983101.1893634228
2024-01-24,2045904.252061787
2024-01-25,2077782.30079073
2024-01-29,2092550.0692691235
2024-01-30,2093125.0595263867
2024-01-31,2131328.7691605
2024-02-01,2168932.2083656695
2024-02-02,2196314.29272007
2024-02-05,2204495.6795456316
2024-02-06,2213305.7994911578
2024-02-07,2210345.3465950396
2024-02-08,2213830.4456779864
2024-02-09,2172098.227305603
2024-02-12,2054037.136352311
2024-02-13,2050381.3303292855
2024-02-14,2082319.303923951
2024-02-15,2118338.2877496346
2024-02-16,2122794.854731904
2024-02-19,2129791.8860276802
2024-02-20,2133006.2155603035
2024-02-21,2108583.369571839
2024-02-22,2109092.665348206
2024-02-23,2129070.8115884406
2024-02-26,2169025.566684876
2024-02-27,2164187.2692147833
2024-02-28,2115387.963550721
2024-02-29,2126635.7859078986
2024-03-01,2154958.817554627
2024-03-04,2139636.018095246
2024-03-05,2163720.307523957
2024-03-06,2123248.906614533
2024-03-07,2154125.6427595527
2024-03-11,2113222.5094857793
2024-03-12,2066800.1747180945
2024-03-13,1955325.896591378
2024-03-14,1999363.2616554648
2024-03-15,1977303.6657692343
2024-03-18,1949781.0388618857
2024-03-19,1921977.5753398521
2024-03-20,1918738.6008678062
2024-03-21,1962422.7512126549
2024-03-22,1980141.393561898
2024-03-26,2011620.0686412437
2024-03-27,2010617.2081981285
2024-03-28,2040113.768271981
2024-04-01,2089988.2578807457
2024-04-02,2101966.8088884363
2024-04-03,2113886.1296129236
2024-04-04,2131946.2878923425
2024-04-05,2146354.5026750574
2024-04-08,2166382.785099984
2024-04-09,2162148.7604112634
2024-04-10,2157881.593342782
2024-04-12,2144026.606434823
2024-04-15,2125831.343556405
2024-04-16,2142494.7986601647
2024-04-18,2123656.4132536706
2024-04-19,2157792.8513304526
2024-04-22,2217358.3160216147
2024-04-23,2239789.295757943
2024-04-24,2237404.848187142
2024-04-25,2236931.5582091147
2024-04-26,2241193.5813254174
2024-04-29,2268027.560603982
2024-04-30,2256812.1661642846
2024-05-02,2265259.5301779564
2024-05-03,2253708.205562478
2024-05-06,2234758.35082615
2024-05-07,2189325.972713357
2024-05-08,2223497.857326394
2024-05-09,2159613.0273099146
2024-05-10,2167963.297536355
2024-05-13,2193850.5221017846
2024-05-14,2233858.4194711694
2024-05-15,2237345.3074716576
2024-05-16,2258390.310126687
2024-05-17,2275032.8303293237
2024-05-21,2359401.576026345
2024-05-22,2364050.846137429
2024-05-23,2356945.1224435815
2024-05-24,2345815.9360116967
2024-05-27,2328789.1654733666
2024-05-28,2294600.5348831564
2024-05-29,2319581.7205521017
2024-05-30,2280932.5362527855
2024-05-31,2325467.229062844
2024-06-03,2397186.098935891
2024-06-04,2163953.370728341
2024-06-05,2191087.721985665
2024-06-06,2243806.9288338097
2024-06-07,2294363.1300056847
2024-06-10,2270549.2692879112
2024-06-11,2309190.32537922
2024-06-12,2348608.1991585167
2024-06-13,2373851.1534431847
2024-06-14,2410955.200867501
2024-06-18,2434142.6209114464
2024-06-19,2404934.66925129
2024-06-20,2412373.8717049034
2024-06-21,2402329.481385079
2024-06-24,2420023.796448556
2024-06-25,2415455.9622810753
2024-06-26,2432110.13800129
2024-06-27,2417072.662377511
2024-06-28,2423092.781396066
