ticker,ticker_ns,sector,price,rs,volatility
HINDCOPPER,HINDCOPPER.NS,Copper,579.8499755859375,70.78858614125596,77.44746904914788
NATIONALUM,NATIONALUM.NS,Aluminium,354.6499938964844,40.84741649309376,44.4639059190169
VEDL,VEDL.NS,Diversified Metals,671.0499877929688,28.357388482087412,38.543111997964566
KARURVYSYA,KARURVYSYA.NS,Private Sector Bank,318.1000061035156,27.662558924308055,34.32877087026636
HINDZINC,HINDZINC.NS,Zinc,608.9500122070312,24.87030302984384,48.00883501660652
MCX,MCX.NS,Exchange and Data Platform,2380.39990234375,24.093229649470075,44.89791641707521
M&MFIN,M&MFIN.NS,Non Banking Financial Company (NBFC),380.45001220703125,20.565629445864626,40.64145003955128
INDIACEM,INDIACEM.NS,Cement & Cement Products,452.6499938964844,18.737288546185404,39.34551852392595
FORCEMOT,FORCEMOT.NS,Passenger Cars & Utility Vehicles,21390.0,16.87967430933132,42.15471541645485
ZFCVINDIA,ZFCVINDIA.NS,Auto Components & Equipments,14884.0,16.777104270413037,37.176227247985615
