date,ret,Strategy,Window
2017-02-28,43.55537177381803,DNA3-V2.1,12-Month
2017-03-31,38.872609941771444,DNA3-V2.1,12-Month
2017-04-28,38.84192012862364,DNA3-V2.1,12-Month
2017-05-31,37.6931708571131,DNA3-V2.1,12-Month
2017-06-30,30.593025030914855,DNA3-V2.1,12-Month
2017-07-31,30.851946842828614,DNA3-V2.1,12-Month
2017-08-31,33.78585949013695,DNA3-V2.1,12-Month
2017-09-29,45.78968509498493,DNA3-V2.1,12-Month
2017-10-31,48.186123465893125,DNA3-V2.1,12-Month
2017-11-30,64.26087066908228,DNA3-V2.1,12-Month
2017-12-29,81.44726083153834,DNA3-V2.1,12-Month
2018-01-31,70.84645954108302,DNA3-V2.1,12-Month
2018-02-28,72.69404658070297,DNA3-V2.1,12-Month
2018-03-28,47.85414255976341,DNA3-V2.1,12-Month
2018-04-30,62.76780634452812,DNA3-V2.1,12-Month
2018-05-31,57.85293685232642,DNA3-V2.1,12-Month
2018-06-29,49.01814723253217,DNA3-V2.1,12-Month
2018-07-31,46.888383644379,DNA3-V2.1,12-Month
2018-08-31,49.35098750788842,DNA3-V2.1,12-Month
2018-09-28,18.414361903495635,DNA3-V2.1,12-Month
2018-10-31,16.75692746663191,DNA3-V2.1,12-Month
2018-11-30,18.427578278160127,DNA3-V2.1,12-Month
2018-12-31,5.481624548895625,DNA3-V2.1,12-Month
2019-01-31,-5.86565799232276,DNA3-V2.1,12-Month
2019-02-28,-6.524624993964023,DNA3-V2.1,12-Month
2019-03-28,12.782071374536287,DNA3-V2.1,12-Month
2019-04-30,-4.459427917886993,DNA3-V2.1,12-Month
2019-05-31,-4.284830327426315,DNA3-V2.1,12-Month
2019-06-28,-3.6401701371811424,DNA3-V2.1,12-Month
2019-07-31,-14.077343978837165,DNA3-V2.1,12-Month
2019-08-30,-18.131695784530898,DNA3-V2.1,12-Month
2019-09-30,-2.1173702478858636,DNA3-V2.1,12-Month
2019-10-31,-0.8213821482092709,DNA3-V2.1,12-Month
2019-11-29,0.06382288075341691,DNA3-V2.1,12-Month
2019-12-31,9.122054836611348,DNA3-V2.1,12-Month
2020-01-31,28.640287708906076,DNA3-V2.1,12-Month
2020-02-28,55.968984227658055,DNA3-V2.1,12-Month
2020-03-31,27.9140372065511,DNA3-V2.1,12-Month
2020-04-30,36.03668423504338,DNA3-V2.1,12-Month
2020-05-29,73.73107502506097,DNA3-V2.1,12-Month
2020-06-30,195.17946060619994,DNA3-V2.1,12-Month
2020-07-31,209.08935884892293,DNA3-V2.1,12-Month
2020-08-31,209.4004136879949,DNA3-V2.1,12-Month
2020-09-30,192.09037172501002,DNA3-V2.1,12-Month
2020-10-30,185.51453409692797,DNA3-V2.1,12-Month
2020-11-27,218.60520803240027,DNA3-V2.1,12-Month
2020-12-31,210.586004899292,DNA3-V2.1,12-Month
2021-01-29,238.3746440728926,DNA3-V2.1,12-Month
2021-02-26,235.17510871297418,DNA3-V2.1,12-Month
2021-03-31,264.95548818332037,DNA3-V2.1,12-Month
2021-04-30,267.2209587528336,DNA3-V2.1,12-Month
2021-05-31,207.85712189159065,DNA3-V2.1,12-Month
2021-06-30,105.7120450377723,DNA3-V2.1,12-Month
2021-07-30,120.43444760478543,DNA3-V2.1,12-Month
2021-08-31,101.05519903692812,DNA3-V2.1,12-Month
2021-09-30,131.62655285360873,DNA3-V2.1,12-Month
2021-10-29,112.10477841908184,DNA3-V2.1,12-Month
2021-11-30,88.09310206414023,DNA3-V2.1,12-Month
2021-12-31,90.82565965668734,DNA3-V2.1,12-Month
2022-01-31,76.46660529500392,DNA3-V2.1,12-Month
2022-02-28,40.52185633866407,DNA3-V2.1,12-Month
2022-03-31,68.09632136594877,DNA3-V2.1,12-Month
2022-04-29,87.11369473825374,DNA3-V2.1,12-Month
2022-05-31,81.15249876432806,DNA3-V2.1,12-Month
2022-06-30,62.25707824090385,DNA3-V2.1,12-Month
2022-07-29,69.53535703162368,DNA3-V2.1,12-Month
2022-08-30,90.67498263057449,DNA3-V2.1,12-Month
2022-09-30,58.176523979172124,DNA3-V2.1,12-Month
2022-10-31,73.33023815028685,DNA3-V2.1,12-Month
2022-11-30,67.29763600216691,DNA3-V2.1,12-Month
2022-12-30,46.4252448429505,DNA3-V2.1,12-Month
2023-01-31,30.286673961297982,DNA3-V2.1,12-Month
2023-02-28,22.803663781190163,DNA3-V2.1,12-Month
2023-03-31,9.852733154743909,DNA3-V2.1,12-Month
2023-04-28,0.5689850374120287,DNA3-V2.1,12-Month
2023-05-31,3.5931049381521696,DNA3-V2.1,12-Month
2023-06-30,14.529970875377174,DNA3-V2.1,12-Month
2023-07-31,15.52450774028884,DNA3-V2.1,12-Month
2023-08-31,20.30854137062763,DNA3-V2.1,12-Month
2023-09-29,27.777909472717166,DNA3-V2.1,12-Month
2023-10-31,20.128755071444715,DNA3-V2.1,12-Month
2023-11-30,33.1808834165014,DNA3-V2.1,12-Month
2023-12-29,51.91860509725974,DNA3-V2.1,12-Month
2024-01-31,80.86704906290258,DNA3-V2.1,12-Month
2024-02-29,108.40413882985072,DNA3-V2.1,12-Month
2024-03-28,83.98189300185163,DNA3-V2.1,12-Month
2024-04-30,91.03575543934497,DNA3-V2.1,12-Month
2024-05-31,81.76369095311419,DNA3-V2.1,12-Month
2024-06-28,68.12407387390051,DNA3-V2.1,12-Month
2024-07-31,56.60387159418339,DNA3-V2.1,12-Month
2024-08-30,37.98410738009772,DNA3-V2.1,12-Month
2024-09-30,43.03210471821184,DNA3-V2.1,12-Month
2024-10-31,27.224841076479866,DNA3-V2.1,12-Month
2024-11-29,14.227424875247529,DNA3-V2.1,12-Month
2024-12-31,14.57685793663812,DNA3-V2.1,12-Month
2025-01-31,-10.741499028315593,DNA3-V2.1,12-Month
2025-02-28,-25.079647810478,DNA3-V2.1,12-Month
2025-03-28,-11.317665138469879,DNA3-V2.1,12-Month
2025-04-30,-16.712801785974772,DNA3-V2.1,12-Month
2025-05-30,-14.053449214884427,DNA3-V2.1,12-Month
2025-06-30,-4.91614846341728,DNA3-V2.1,12-Month
2025-07-31,-13.535578683130966,DNA3-V2.1,12-Month
2025-08-29,-12.686236392126249,DNA3-V2.1,12-Month
2025-09-30,-17.31007404054963,DNA3-V2.1,12-Month
2025-10-31,-6.862253802466977,DNA3-V2.1,12-Month
2025-11-28,-14.628724100123625,DNA3-V2.1,12-Month
2025-12-31,-14.835681600944927,DNA3-V2.1,12-Month
2026-01-30,-3.427808993816628,DNA3-V2.1,12-Month
2026-02-20,9.031070212325055,DNA3-V2.1,12-Month
2017-02-28,20.559114688943648,DNA3-V3,12-Month
2017-03-31,22.303615312983194,DNA3-V3,12-Month
2017-04-28,27.143003129876252,DNA3-V3,12-Month
2017-05-31,28.68770561451861,DNA3-V3,12-Month
2017-06-30,26.65786791815883,DNA3-V3,12-Month
2017-07-31,25.694950232653625,DNA3-V3,12-Month
2017-08-31,25.269080334609907,DNA3-V3,12-Month
2017-09-29,36.82031945104058,DNA3-V3,12-Month
2017-10-31,38.04338718829954,DNA3-V3,12-Month
2017-11-30,51.12395101152305,DNA3-V3,12-Month
2017-12-29,62.583379218371334,DNA3-V3,12-Month
2018-01-31,72.73886923593116,DNA3-V3,12-Month
2018-02-28,65.58548493345546,DNA3-V3,12-Month
2018-03-28,48.622564084480956,DNA3-V3,12-Month
2018-04-30,49.05126149373429,DNA3-V3,12-Month
2018-05-31,53.72507845519641,DNA3-V3,12-Month
2018-06-29,45.717139592955355,DNA3-V3,12-Month
2018-07-31,45.532391506457095,DNA3-V3,12-Month
2018-08-31,60.13401478194022,DNA3-V3,12-Month
2018-09-28,28.267248966541224,DNA3-V3,12-Month
2018-10-31,22.808774124726572,DNA3-V3,12-Month
2018-11-30,21.09546988024742,DNA3-V3,12-Month
2018-12-31,9.53359957557276,DNA3-V3,12-Month
2019-01-31,-1.9883537772664162,DNA3-V3,12-Month
2019-02-28,0.1823563089805358,DNA3-V3,12-Month
2019-03-28,8.96099525352061,DNA3-V3,12-Month
2019-04-30,3.501281746753304,DNA3-V3,12-Month
2019-05-31,2.922753299048164,DNA3-V3,12-Month
2019-06-28,0.21799386036724933,DNA3-V3,12-Month
2019-07-31,-8.762093873712928,DNA3-V3,12-Month
2019-08-30,-19.0220810894712,DNA3-V3,12-Month
2019-09-30,-2.4099298427496474,DNA3-V3,12-Month
2019-10-31,2.1933758555491734,DNA3-V3,12-Month
2019-11-29,5.519159739476276,DNA3-V3,12-Month
2019-12-31,16.182540489903662,DNA3-V3,12-Month
2020-01-31,22.392830109511674,DNA3-V3,12-Month
2020-02-28,62.692285620105004,DNA3-V3,12-Month
2020-03-31,49.04426919249985,DNA3-V3,12-Month
2020-04-30,50.28275295341178,DNA3-V3,12-Month
2020-05-29,61.14477894094799,DNA3-V3,12-Month
2020-06-30,158.38410577683567,DNA3-V3,12-Month
2020-07-31,153.1650371842768,DNA3-V3,12-Month
2020-08-31,171.38236806724598,DNA3-V3,12-Month
2020-09-30,162.07238334317077,DNA3-V3,12-Month
2020-10-30,150.34682762300181,DNA3-V3,12-Month
2020-11-27,166.4478066042425,DNA3-V3,12-Month
2020-12-31,168.97417696808185,DNA3-V3,12-Month
2021-01-29,188.57686344594478,DNA3-V3,12-Month
2021-02-26,160.67554192281688,DNA3-V3,12-Month
2021-03-31,196.89249942664878,DNA3-V3,12-Month
2021-04-30,183.60160029964158,DNA3-V3,12-Month
2021-05-31,168.64006071885848,DNA3-V3,12-Month
2021-06-30,89.98252240460545,DNA3-V3,12-Month
2021-07-30,111.39764127500263,DNA3-V3,12-Month
2021-08-31,84.18925209299842,DNA3-V3,12-Month
2021-09-30,101.7961139196982,DNA3-V3,12-Month
2021-10-29,96.53223070690524,DNA3-V3,12-Month
2021-11-30,99.71216904142489,DNA3-V3,12-Month
2021-12-31,104.3411054831728,DNA3-V3,12-Month
2022-01-31,92.04104440818067,DNA3-V3,12-Month
2022-02-28,58.67194727040677,DNA3-V3,12-Month
2022-03-31,47.74193933329467,DNA3-V3,12-Month
2022-04-29,68.55355620629777,DNA3-V3,12-Month
2022-05-31,53.82642445557262,DNA3-V3,12-Month
2022-06-30,36.43305161283259,DNA3-V3,12-Month
2022-07-29,41.73875814822772,DNA3-V3,12-Month
2022-08-30,61.95562117058315,DNA3-V3,12-Month
2022-09-30,39.66701310366321,DNA3-V3,12-Month
2022-10-31,45.603901398115184,DNA3-V3,12-Month
2022-11-30,39.21618878193114,DNA3-V3,12-Month
2022-12-30,19.510128844500297,DNA3-V3,12-Month
2023-01-31,15.863874076078964,DNA3-V3,12-Month
2023-02-28,14.90336020316072,DNA3-V3,12-Month
2023-03-31,13.926756019744179,DNA3-V3,12-Month
2023-04-28,3.0015925636814877,DNA3-V3,12-Month
2023-05-31,11.292766575264611,DNA3-V3,12-Month
2023-06-30,30.745973521006277,DNA3-V3,12-Month
2023-07-31,33.25426258520754,DNA3-V3,12-Month
