variant,years,total_ret,nifty_ret,alpha,cagr,win_rate,mom_trades,rev_trades,final_val,cash_days
A,1,2.7049301168008593,9.88854333322836,-7.183613216427501,2.7049301168008633,57.534246575342465,34,39,1027049.3011680086,0
B,1,-0.24763443267772672,9.88854333322836,-10.136177765906087,-0.24763443267772356,43.24324324324324,37,0,997523.6556732227,103
C,1,3.1641764083724704,9.88854333322836,-6.72436692485589,3.1641764083724766,59.45945945945946,32,42,1031641.7640837247,0
D,1,-4.831842774409719,9.88854333322836,-14.720386107638081,-4.831842774409722,50.0,50,0,951681.5722559028,0
A,3,124.06919942733869,44.58299047303566,79.48620895430304,30.856124586732548,64.85507246376811,129,147,2240691.994273387,0
B,3,66.64201790234289,44.58299047303566,22.05902742930723,18.557264993188372,54.81481481481482,135,0,1666420.1790234288,303
C,3,127.25305578095336,44.58299047303566,82.6700653079177,31.473001301477787,66.17100371747212,123,146,2272530.5578095336,0
D,3,58.53098365444013,44.58299047303566,13.94799318140447,16.601655922600635,52.0618556701031,194,0,1585309.8365444012,0
A,5,215.81466151101506,69.33494723944243,146.47971427157262,25.859632005354726,64.53488372093024,229,287,3158146.6151101505,0
B,5,167.85169353956493,69.33494723944243,98.5167463001225,21.780815881811733,58.63453815261044,249,0,2678516.935395649,541
C,5,230.08126321265846,69.33494723944243,160.74631597321604,26.97674050449388,64.77495107632095,220,291,3300812.6321265846,0
D,5,210.28507356554783,69.33494723944243,140.95012632610542,25.415778068595785,54.269972451790636,363,0,3102850.735655478,0
