date,value
2023-02-13,995848.2681250002
2023-02-14,991246.4078268434
2023-02-15,992198.6966604616
2023-02-16,996733.5383963014
2023-02-17,986183.9369635012
2023-02-20,983170.6834234621
2023-02-21,981476.7750167848
2023-02-22,977549.1097564698
2023-02-23,965316.0698859408
2023-02-24,965021.017311783
2023-02-27,955067.6561133577
2023-02-28,963402.5575263216
2023-03-01,989661.9369513704
2023-03-02,993859.4751059725
2023-03-03,1010014.9196402743
2023-03-06,1020438.9666220858
2023-03-08,1034977.1018149569
2023-03-09,1031684.8986289217
2023-03-10,1021024.3155066683
2023-03-13,994082.1513983919
2023-03-14,988067.4668357088
2023-03-15,994435.7021949007
2023-03-16,989345.4298865511
2023-03-17,994674.8334916688
2023-03-20,981981.1760326386
2023-03-21,987212.9410930634
2023-03-22,991794.4809337617
2023-03-23,990480.7939525605
2023-03-24,965321.7285533906
2023-03-27,969396.7923198701
2023-03-28,969517.43244133
2023-03-29,993971.2192760468
2023-03-31,1003452.2942272187
2023-04-03,1012363.5028453828
2023-04-05,1015666.6507183076
2023-04-06,1024734.2947612763
2023-04-10,1031168.416526413
2023-04-11,1033059.00615654
2023-04-12,1030813.3151470185
2023-04-13,1023253.4634166718
2023-04-17,1031445.1804729463
2023-04-18,1037122.7762218476
2023-04-19,1037675.8193126679
2023-04-20,1047730.8428112031
2023-04-21,1042953.2340770722
2023-04-24,1052148.7466655732
2023-04-25,1055357.0987926484
2023-04-26,1057933.047172165
2023-04-27,1062947.0519634248
2023-04-28,1075936.128699875
2023-05-02,1077734.9696727754
2023-05-03,1095199.6639171601
2023-05-04,1105435.7340007783
2023-05-05,1088537.8271404267
2023-05-08,1092540.9454113008
2023-05-09,1088358.197196579
2023-05-10,1089315.901054001
2023-05-11,1085774.9592662812
2023-05-12,1082507.9846416474
2023-05-15,1084684.8107982636
2023-05-16,1078560.4581676484
2023-05-17,1083922.151984787
2023-05-18,1079107.6110912324
2023-05-19,1080502.391074753
2023-05-22,1081417.3339000703
2023-05-23,1079048.2300334931
2023-05-24,1070841.4190898896
2023-05-25,1086234.2685771943
2023-05-26,1095718.108298874
2023-05-29,1103804.6863933564
2023-05-30,1109572.2736431123
2023-05-31,1118408.138099289
2023-06-01,1116987.0945049287
2023-06-02,1141673.6336742402
2023-06-05,1139438.4248271943
2023-06-06,1134597.4489208222
2023-06-07,1142066.036170578
2023-06-08,1137705.5207897187
2023-06-09,1151421.982001877
2023-06-12,1161001.4492717744
2023-06-13,1173096.455802536
2023-06-14,1174656.9136119843
2023-06-15,1171417.4973522187
2023-06-16,1185199.3391033174
2023-06-19,1217891.5245433808
2023-06-20,1229641.2261272431
2023-06-21,1225582.9556194306
2023-06-22,1209997.7553020478
2023-06-23,1194754.0015605546
2023-06-26,1211767.2988246537
2023-06-27,1234771.2253383256
2023-06-28,1242607.6050151445
2023-06-30,1251295.7051051713
2023-07-03,1257400.239963875
2023-07-04,1266926.0794108964
2023-07-05,1271979.597408638
2023-07-06,1272505.300823555
2023-07-07,1264396.437656746
2023-07-10,1269166.0913280107
2023-07-11,1272760.9249538041
2023-07-12,1284863.3761333085
2023-07-13,1284055.0029567338
2023-07-14,1303383.0116542436
2023-07-17,1315209.6128047563
2023-07-18,1309026.3910487748
2023-07-19,1341092.7566646195
2023-07-20,1351100.9874385453
2023-07-21,1341653.7568400956
2023-07-24,1354688.4631541825
