Industry,Shock_Events,Lead_Ret_T20,Shock_Ret_T0,Drift_Ret_Tpos20,Drift_Ret_Tpos60,Volume_Spike,Classification
Computer Hardware,18,9.11447569208186,10.062844192670017,17.345062925437137,45.784547997399535,7.611111111111111,DRIFTERS (Slow digesters. Buy the shock.)
Aerospace & Defense,214,8.86430168831735,10.970700545936129,8.73854033155454,24.55204969315715,6.835981308411215,DRIFTERS (Slow digesters. Buy the shock.)
Consumer Electronics,11,6.385920051633793,7.72218077962034,14.654044383670673,21.994560288333002,4.972727272727273,DRIFTERS (Slow digesters. Buy the shock.)
Financial Data & Stock Exchanges,71,8.701858758790536,9.05297633484742,5.854171130192972,21.710349561836647,6.066197183098591,DRIFTERS (Slow digesters. Buy the shock.)
Luxury Goods,34,3.904989571311095,8.188074085003867,7.6680656030805565,20.36771411592893,5.770588235294118,DRIFTERS (Slow digesters. Buy the shock.)
Thermal Coal,64,6.059200925872884,9.661058500721467,5.073155019473695,18.56850487093498,7.8,DRIFTERS (Slow digesters. Buy the shock.)
Travel Services,18,7.119978730837112,8.678525772176052,6.161903186345714,17.84932003455937,11.177777777777777,DRIFTERS (Slow digesters. Buy the shock.)
Real Estate - Diversified,26,1.7390489183555158,7.663554724928608,1.4766390112514858,17.33942706405974,6.096153846153846,DRIFTERS (Slow digesters. Buy the shock.)
Metal Fabrication,102,7.237483244643867,9.54978833173426,6.231718136223274,16.63020508326131,11.83529411764706,DRIFTERS (Slow digesters. Buy the shock.)
Specialty Business Services,35,4.699816187023643,9.839803578320979,5.525829334502073,16.045757928906102,6.894285714285715,DRIFTERS (Slow digesters. Buy the shock.)
Electronic Components,56,3.172474037138174,10.85198721913932,3.953023033572191,15.993675068984817,7.2749999999999995,DRIFTERS (Slow digesters. Buy the shock.)
Railroads,62,4.4196480547407715,8.21078970558916,4.754097859064411,15.578821827435583,6.856451612903226,DRIFTERS (Slow digesters. Buy the shock.)
Utilities - Independent Power Producers,153,7.747686357168857,10.28957443336793,6.211432945181126,14.803923006755337,6.3810457516339865,DRIFTERS (Slow digesters. Buy the shock.)
