Horizon,Industry,Events,Lead_20,Shock,Drift_20
10y,Advertising Agencies,30,9.494946779318362,10.55337424452358,2.9672989012252153
10y,Aerospace & Defense,348,7.21175927891313,10.293188590685642,5.566722711917124
10y,Agricultural Inputs,331,5.1342771045801685,9.007765188605358,3.290046741952943
10y,Airlines,17,0.09433078193613408,9.23414283124662,-3.1727455287803616
10y,Airports & Air Services,42,6.713616233557003,8.152594828463236,0.244049190911041
10y,Aluminum,39,6.1475319892171685,8.487384330332366,1.6078169089390884
10y,Apparel Manufacturing,37,3.6483894274032975,7.782588756283497,1.9547971133983075
10y,Apparel Retail,29,5.073076701856537,8.841606501374745,1.2416595913643258
10y,Asset Management,174,5.834705130321535,7.880613549725853,1.4833309492041626
10y,Auto Manufacturers,126,5.77265648851374,8.878900586089202,1.990162769320782
10y,Auto Parts,587,3.91944130179164,8.673446039644425,2.9681984227808162
10y,Banks - Regional,687,6.567955001074663,9.459434347889196,0.7448105139594164
10y,Beverages - Brewers,17,4.08009049951135,6.462037797709406,0.8174148435803535
10y,Beverages - Non-Alcoholic,20,8.088518333176337,7.233386950155162,0.3329379713114172
10y,Beverages - Wineries & Distilleries,38,5.955305067897437,8.654098540291846,2.604591439616335
10y,Biotechnology,47,0.9448014899616137,8.11016800860765,1.067678358783853
10y,Broadcasting,51,-0.8025695962136143,9.332261265978893,0.8719401833164134
10y,Building Materials,119,3.2574219989736237,8.551829859933182,2.35212047733491
10y,Building Products & Equipment,130,4.159538942185066,7.336216283109791,1.4841837644312557
10y,Business Equipment & Supplies,6,0.955609699030887,6.907008330985707,-1.3441357803878276
10y,Capital Markets,250,6.383632538079192,9.548506103117678,3.2338521931797013
10y,Chemicals,157,6.674403779796054,8.44410366182029,1.4373672031260696
10y,Communication Equipment,213,5.9452438064461886,10.768864656609063,3.6655387255569503
10y,Computer Hardware,19,8.53656045818933,10.097111923141618,16.211143852149956
10y,Confectioners,102,4.491569474330221,7.578987273890766,2.8422085070992424
10y,Conglomerates,492,5.77276315134474,8.911200380981912,1.777098899923444
10y,Consulting Services,22,1.1458599220759695,7.698947779149353,-2.281182913377822
10y,Consumer Electronics,26,4.147489203665515,8.110503043916687,7.593410820635033
10y,Copper,63,13.442293189038539,10.662727637513433,5.190279311461456
10y,Credit Services,556,6.163069974728461,9.587885944998241,3.152988506272673
10y,Department Stores,2,3.1340586073481695,8.053410487275267,-3.8035748102954017
10y,Diagnostics & Research,103,1.6106767431667928,6.75428321652038,0.08969142119444493
10y,Discount Stores,13,1.8195211548699324,8.371330739837727,-0.7495165756881416
10y,Drug Manufacturers - General,34,2.4298608516265254,8.323001677951796,1.5469393645526448
10y,Drug Manufacturers - Specialty & Generic,688,4.326714605502651,9.063071176223396,1.3426995698545754
10y,Electrical Equipment & Parts,542,5.195062027517354,9.539702407054945,2.8290835108203756
10y,Electronic Components,107,1.1779438453066307,12.100578677824243,0.3843433211500472
10y,Engineering & Construction,423,5.410651413686808,8.669755836983558,1.615758241998827
10y,Entertainment,63,4.791213892091496,10.16958536374112,3.88197472999054
10y,Farm & Heavy Construction Machinery,176,6.553467827578314,10.332904410076123,5.874858408841749
10y,Financial Conglomerates,39,4.964674758565964,7.694900885363827,5.500628710373949
10y,Financial Data & Stock Exchanges,98,7.2390755394684385,8.684084555107209,4.4043410103658145
10y,Footwear & Accessories,21,1.3124339487874872,7.324107812152631,1.5824173614143473
10y,"Furnishings, Fixtures & Appliances",75,2.9173531337614103,8.050715856747656,0.8559316777886514
10y,Health Information Services,12,2.5425130439293753,4.691017742909371,-0.10913392387861516
10y,Household & Personal Products,119,1.770545727347934,8.21739904545265,0.5373200828598576
10y,Information Technology Services,436,4.025094821932739,8.694589976551413,1.8851826912891707
10y,Infrastructure Operations,45,8.585584056357527,10.754064636022383,3.4767377280212974
10y,Insurance - Diversified,64,4.626778334393154,9.387843171316659,2.186846303420265
10y,Insurance - Life,60,4.314923844595496,7.003875747600073,1.6048800533497876
10y,Insurance - Property & Casualty,5,-2.154993650682093,5.178157800585983,-2.234872820235643
10y,Insurance - Reinsurance,41,7.517924142284793,9.888881415789818,1.4037289443825496
10y,Insurance Brokers,17,-5.288014393598531,10.004355137796765,3.1099169102405555
10y,Integrated Freight & Logistics,42,3.0031873007470855,8.682629292829558,0.5350438011047431
10y,Internet Content & Information,47,3.509872164010861,8.373022582527096,1.9778169080791854
10y,Internet Retail,37,-3.6777045425676946,9.48098390075351,-2.658565994295967
10y,Lodging,126,5.434474176981631,8.658731647929075,1.3476454216062224
10y,Lumber & Wood Production,32,2.96151181253743,7.209124372172365,1.4452341107218019
10y,Luxury Goods,43,4.259905900876217,8.394959221152543,6.767980920746752
10y,Marine Shipping,134,3.7377339284004574,8.263874980653952,2.2055037016121855
10y,Medical Care Facilities,139,2.2878336038932607,7.874494619280756,1.2872736813122705
10y,Medical Instruments & Supplies,52,5.521315313271099,7.831491919230558,2.3620477638553847
10y,Metal Fabrication,176,7.265019065248856,9.61731049833681,3.566760063957403
10y,Mortgage Finance,169,2.738069041534213,8.526505947694618,1.3394351471103039
10y,Oil & Gas Equipment & Services,1,8.358556929409612,7.155148747938589,-1.071237325751214
10y,Oil & Gas Integrated,32,6.278432908553821,8.18310947073296,-1.8649458292896157
10y,Oil & Gas Refining & Marketing,218,5.992594844625962,8.694478305192595,3.284021218101267
10y,Other Industrial Metals & Mining,34,8.07664024687602,8.709946112043536,3.5894449019868477
10y,Other Precious Metals & Mining,2,0.9776958188941789,6.0734677315171,-8.86884358027218
10y,Packaged Foods,199,4.118834200804824,9.17540788111911,3.2488218877259403
10y,Railroads,139,5.202045624851411,9.660118105220262,2.417322362618351
10y,Real Estate - Development,298,5.983338246453717,9.86378141008051,2.159779072404129
10y,Real Estate - Diversified,61,0.5659454068374856,7.388866955832171,1.2041736269668106
10y,Real Estate Services,42,1.440189665566013,7.712753135211797,0.8303497263898054
10y,Resorts & Casinos,2,12.658410382755733,5.254375181008999,-2.4066148491235535
10y,Restaurants,47,2.7483631632823626,8.315165753191888,0.3214268484733708
10y,Software - Application,100,7.68124033076916,8.860955077859892,-0.3793830226876995
10y,Software - Infrastructure,122,4.2618325869680875,8.568853945900278,3.1647279210714405
10y,Solar,10,-0.4270635313489464,8.883485725406022,1.576274464965714
10y,Specialty Business Services,57,4.792064133629864,10.267661021533216,5.408087740106643
10y,Specialty Chemicals,442,5.337921956178104,8.94013030900243,1.5602127207769791
10y,Specialty Industrial Machinery,586,4.644842206473535,9.410735589697408,1.3068428108679448
10y,Steel,585,7.574867870713324,9.295465881731786,3.445639643873185
10y,Telecom Services,199,2.325514132378751,11.036503079702983,-0.06660279789535511
10y,Textile Manufacturing,238,4.348088135617877,9.904333016963866,-0.2971898873381839
10y,Thermal Coal,112,6.6655100068558975,9.397906402178153,3.584725849787716
10y,Tobacco,73,7.1232142425338765,10.17100589376376,2.2051557247257634
10y,Tools & Accessories,47,4.377230311200742,8.703145832113494,0.4170022546562588
10y,Travel Services,28,13.96866053737322,9.344500701258056,3.3567263881145086
10y,Utilities - Independent Power Producers,266,5.420854953070522,11.055720701971824,3.4157299401101437
10y,Utilities - Regulated Electric,77,5.510068859007693,7.58216350051371,0.8500453104924188
10y,Utilities - Regulated Gas,118,4.771502832391323,9.777052429031013,3.1029456358251815
10y,Utilities - Renewable,90,4.555783071194144,9.065941722251818,1.5089966712388667
15y,Advertising Agencies,30,9.494946779318362,10.55337424452358,2.9672989012252153
15y,Aerospace & Defense,363,7.238351906824911,10.264813587827637,5.68296479519862
15y,Agricultural Inputs,482,4.893728096026341,8.893157827490326,2.943284266604989
15y,Airlines,17,0.09433078193613408,9.23414283124662,-3.1727455287803616
15y,Airports & Air Services,52,6.561868566405388,8.42807998282255,0.5500098693108869
15y,Aluminum,54,5.06946548164969,8.052080792952676,1.4621728748678455
15y,Apparel Manufacturing,64,4.311509455667393,8.72890561244811,1.5033545878229313
15y,Apparel Retail,40,5.37302133246936,8.212177092628755,1.1202627865576775
15y,Asset Management,197,5.8061436071336665,8.074385364234361,1.431642196930791
15y,Auto Manufacturers,172,6.046331962133479,8.526462954255788,3.809492233261795
15y,Auto Parts,805,4.6134049068472915,8.841169852644654,3.084535797921268
15y,Banks - Regional,835,5.9042098871616275,9.381224083302854,0.7807097747755807
15y,Beverages - Brewers,46,1.3718471487077795,8.111165493765455,0.15522559175004672
15y,Beverages - Non-Alcoholic,20,8.088518333176337,7.233386950155162,0.3329379713114172
15y,Beverages - Wineries & Distilleries,47,5.38281677943272,8.30114993146573,2.6961305885163727
15y,Biotechnology,56,1.4417815700549677,7.943536696895397,1.0120124174376341
15y,Broadcasting,71,-0.8908386222175739,9.125753298767139,0.9242734781052346
15y,Building Materials,171,4.326688837321638,8.256804428255727,2.122388243256368
15y,Building Products & Equipment,218,5.001963802963304,7.575356992588587,1.474496564299314
15y,Business Equipment & Supplies,6,0.955609699030887,6.907008330985707,-1.3441357803878276
15y,Capital Markets,306,6.756619811690967,9.278817461249732,2.8809451255859964
15y,Chemicals,210,6.825239704463649,8.596563227730893,2.0168183057797306
15y,Communication Equipment,314,5.759708825648153,10.503243841362885,2.950595217374937
15y,Computer Hardware,19,8.53656045818933,10.097111923141618,16.211143852149956
15y,Confectioners,157,7.3596372029753505,8.359572142738925,1.5378902627644417
15y,Conglomerates,662,5.841440514913237,9.08420215790102,1.5057878422166577
