date,value,mode
2016-02-11,1000000.0,Unknown
2016-02-12,1000000.0,Unknown
2016-02-15,1000000.0,Unknown
2016-02-16,1000000.0,Unknown
2016-02-17,1000000.0,Unknown
2016-02-18,1000000.0,Unknown
2016-02-19,1000000.0,Unknown
2016-02-22,1000000.0,Unknown
2016-02-23,1000000.0,Unknown
2016-02-24,1000000.0,Unknown
2016-02-25,1000000.0,Unknown
2016-02-26,1000000.0,Unknown
2016-02-29,1000000.0,Unknown
2016-03-01,1000000.0,Unknown
2016-03-02,1000000.0,Unknown
2016-03-03,1000000.0,Unknown
2016-03-04,1000000.0,Unknown
2016-03-08,1000000.0,Unknown
2016-03-09,1000000.0,Unknown
2016-03-10,1000000.0,Unknown
2016-03-11,1000000.0,Unknown
2016-03-14,1000000.0,Unknown
2016-03-15,1000000.0,Unknown
2016-03-16,1000000.0,Unknown
2016-03-17,1000000.0,Unknown
2016-03-18,1000000.0,Unknown
2016-03-21,1000000.0,Unknown
2016-03-22,1000000.0,Unknown
2016-03-23,1000000.0,Unknown
2016-03-28,1000000.0,Unknown
2016-03-29,1000000.0,Unknown
2016-03-30,1000000.0,Unknown
2016-03-31,1000000.0,Unknown
2016-04-01,1000000.0,Unknown
2016-04-04,1000000.0,Unknown
2016-04-05,1000000.0,Unknown
2016-04-06,1000000.0,Unknown
2016-04-07,1000000.0,Unknown
2016-04-08,1000000.0,Unknown
2016-04-11,1000000.0,Unknown
2016-04-12,1000000.0,Unknown
2016-04-13,1000000.0,Unknown
2016-04-18,1000000.0,Unknown
2016-04-20,1000000.0,Unknown
2016-04-21,1000000.0,Unknown
2016-04-22,1000000.0,Unknown
2016-04-25,1000000.0,Unknown
2016-04-26,1000000.0,Unknown
2016-04-27,1000000.0,Unknown
2016-04-28,1000000.0,Unknown
2016-04-29,1000000.0,Unknown
2016-05-02,1000000.0,Unknown
2016-05-03,1000000.0,Unknown
2016-05-04,1000000.0,Unknown
2016-05-05,1000000.0,Unknown
2016-05-06,1000000.0,Unknown
2016-05-09,1000000.0,Unknown
2016-05-10,1000000.0,Unknown
2016-05-11,1000000.0,Unknown
2016-05-12,1000000.0,Unknown
2016-05-13,1000000.0,Unknown
2016-05-16,1000000.0,Unknown
2016-05-17,1000000.0,Unknown
2016-05-18,1000000.0,Unknown
2016-05-19,1000000.0,Unknown
2016-05-20,1000000.0,Unknown
2016-05-23,1000000.0,Unknown
2016-05-24,996675.49650177,LEAP
2016-05-25,1009692.7359350586,LEAP
2016-05-26,1025717.2397497558,LEAP
2016-05-27,1025286.9270513916,LEAP
2016-05-30,1036941.2604726028,LEAP
2016-05-31,1046398.0828602981,LEAP
2016-06-01,1042367.7549641799,LEAP
2016-06-02,1055169.294743843,LEAP
2016-06-03,1049993.2874234389,LEAP
2016-06-06,1057956.1669686507,LEAP
