date,pct_strong_momentum,pct_uptrends,avg_trend_score,pct_breakouts,nifty,total_stocks,fwd_3m_nifty
2011-06-30,30.0,39.9,44.7,11.3,5647.39990234375,293,-14.1
2011-08-01,30.0,46.8,49.0,9.6,5516.7998046875,293,-4.2
2011-09-02,19.8,33.8,34.8,5.5,5040.0,293,-3.4
2011-09-30,12.3,33.8,32.9,2.7,4943.25,293,-1.9
2011-10-31,23.6,40.5,45.6,4.7,5326.60009765625,296,0.7
2011-11-30,9.7,24.0,26.9,1.7,4832.0498046875,300,9.3
2012-01-03,5.3,14.7,19.5,1.3,4765.2998046875,300,11.7
2012-01-31,21.3,36.0,50.8,7.3,5199.25,300,-2.2
2012-02-29,35.7,62.0,65.4,10.7,5385.2001953125,300,-10.0
2012-04-02,47.3,60.3,61.9,18.3,5317.89990234375,300,-0.3
2012-04-30,38.3,58.3,57.4,13.7,5248.14990234375,300,-0.9
2012-05-31,23.6,46.2,45.5,5.6,4924.25,301,6.8
2012-07-02,40.4,61.6,63.0,12.9,5278.60009765625,302,9.6
2012-07-31,36.8,56.0,57.2,13.6,5229.0,302,9.5
2012-08-31,37.6,59.4,57.4,10.6,5258.5,303,12.3
2012-10-01,62.5,80.3,79.3,24.7,5718.7998046875,304,4.9
2012-10-31,47.9,69.2,68.3,16.7,5619.7001953125,305,6.5
2012-11-30,52.9,71.6,71.4,20.3,5879.85009765625,306,-2.7
2012-12-31,53.6,75.3,73.9,19.8,5905.10009765625,308,-2.7
2013-01-31,38.3,67.5,63.8,14.0,6034.75,308,0.1
2013-02-28,12.3,42.9,42.5,4.9,5693.0498046875,308,4.0
2013-04-01,15.7,36.9,38.5,4.8,5704.39990234375,312,2.7
2013-04-30,29.4,42.5,48.5,8.0,5930.2001953125,313,-1.7
2013-05-31,28.8,37.4,45.6,11.5,5985.9501953125,313,-8.6
2013-07-01,19.4,31.2,36.1,3.5,5898.85009765625,314,-2.0
2013-07-31,14.3,25.2,28.0,4.5,5742.0,314,8.9
2013-09-02,11.5,23.6,27.6,4.1,5550.75,314,12.4
2013-09-30,21.3,33.1,41.2,5.7,5735.2998046875,314,8.3
2013-10-31,35.7,52.9,59.2,12.7,6299.14990234375,314,-4.7
2013-12-02,43.6,61.8,65.1,16.6,6217.85009765625,314,1.8
2013-12-31,53.5,75.5,74.5,18.5,6304.0,314,6.9
2014-01-31,27.9,55.2,55.2,8.9,6089.5,315,15.2
2014-02-28,40.3,61.0,62.0,18.4,6276.9501953125,315,19.1
2014-03-31,66.7,87.6,84.0,33.0,6704.2001953125,315,15.1
2014-04-30,70.5,88.3,84.9,15.9,6696.39990234375,315,16.4
2014-06-02,81.6,94.6,91.7,28.3,7362.5,315,9.8
2014-06-30,92.1,96.5,95.8,38.9,7611.35009765625,316,4.6
2014-07-31,59.1,94.0,85.6,17.6,7721.2998046875,318,8.3
2014-09-01,64.2,90.9,85.9,31.8,8027.7001953125,318,3.9
2014-09-30,64.2,85.8,82.4,18.6,7964.7998046875,318,4.0
2014-10-31,71.1,89.3,85.3,25.2,8322.2001953125,318,4.8
2014-12-01,61.0,84.0,80.0,23.3,8555.900390625,318,4.3
2014-12-31,59.7,78.0,76.7,17.3,8282.7001953125,318,4.6
2015-02-02,56.9,76.4,75.3,26.1,8797.400390625,318,-5.4
2015-03-02,55.0,72.0,72.4,23.9,8956.75,318,-9.4
2015-03-31,37.7,63.2,60.7,11.3,8491.0,318,-0.1
2015-04-30,20.8,54.1,52.8,1.6,8181.5,318,2.4
2015-06-01,32.4,57.9,58.0,10.1,8433.400390625,318,-5.7
2015-06-30,38.4,52.5,54.7,10.4,8368.5,318,-6.3
2015-07-31,47.3,62.4,64.0,19.7,8532.849609375,319,-5.5
2015-08-31,23.2,41.7,44.9,3.1,7971.2998046875,319,-2.6
2015-09-30,25.4,44.2,46.4,6.9,7948.89990234375,319,-2.6
2015-11-02,28.5,46.7,52.9,5.3,8050.7998046875,319,-7.0
2015-11-30,34.8,52.0,55.1,6.9,7935.25,319,-9.0
2015-12-31,39.7,57.2,59.1,13.1,7946.35009765625,320,-4.3
2016-02-01,19.1,38.1,39.6,4.4,7555.9501953125,320,2.3
2016-02-29,4.4,12.8,20.1,1.6,6987.0498046875,320,17.7
2016-03-31,26.2,42.5,50.6,7.8,7738.39990234375,320,7.6
2016-05-02,39.1,55.6,61.6,9.3,7805.89990234375,322,10.7
