Horizon,Rebalance,CAGR,Sharpe,Expectancy,WinRate,Whipsaw,MaxDD,DD_Days
5y,7,13.87,0.64,4.4,53.2,8.2,-39.1,504
5y,10,27.75,1.19,7.3,59.1,7.5,-33.6,405
5y,12,22.35,0.99,5.8,58.4,7.8,-30.2,405
5y,13,19.74,0.96,6.1,56.3,4.7,-37.6,405
5y,14,11.7,0.6,4.9,53.8,8.3,-40.6,405
5y,15,13.43,0.63,5.2,50.6,11.9,-41.3,503
5y,18,10.28,0.59,4.4,52.7,8.9,-32.4,405
5y,20,23.1,1.02,6.8,57.1,9.0,-31.4,405
10y,7,44.3,1.34,11.2,57.1,9.0,-26.1,477
10y,10,34.47,1.23,9.1,56.9,10.1,-23.8,355
10y,12,38.66,1.37,10.0,57.2,6.9,-21.9,454
10y,13,32.82,1.13,8.3,55.2,7.7,-30.9,503
10y,14,45.59,1.26,11.6,58.9,7.5,-28.1,478
10y,15,40.39,1.32,9.8,57.5,6.6,-26.3,283
10y,18,34.19,1.17,9.9,56.2,6.0,-29.0,424
10y,20,37.06,1.48,10.4,58.8,8.4,-17.1,426
15y,7,32.23,1.13,8.8,57.4,7.8,-36.8,405
15y,10,35.07,1.27,9.3,57.6,6.6,-34.4,469
15y,12,34.98,1.23,9.6,57.2,8.2,-33.9,401
15y,13,33.17,1.28,9.3,57.9,7.6,-23.9,294
15y,14,30.5,1.08,8.9,58.1,5.4,-30.7,410
15y,15,32.09,1.23,9.2,57.6,6.0,-30.1,473
15y,18,32.03,1.3,9.6,58.7,6.8,-31.1,405
15y,20,31.6,1.22,10.2,59.5,5.9,-34.3,503
