Period_10Y,Sector,Month,Month_Name_10Y,Avg%_10Y,Median%_10Y,StdDev%_10Y,Win%_10Y,Best%_10Y,Worst%_10Y,Alpha%_10Y,Consistency%_10Y,Score_10Y,N_Years_10Y,Period_15Y,Month_Name_15Y,Avg%_15Y,Median%_15Y,StdDev%_15Y,Win%_15Y,Best%_15Y,Worst%_15Y,Alpha%_15Y,Consistency%_15Y,Score_15Y,N_Years_15Y,Both_Positive,Both_Negative
10Y,Industrial Products,5,May,15.72,11.16,8.3,100.0,25.3,10.7,14.39,67.0,10.48,3,15Y,May,15.72,11.16,8.3,100.0,25.3,10.7,14.39,67.0,10.48,3,True,False
10Y,Electrodes & Refractories,4,Apr,13.39,11.8,21.94,60.0,51.89,-12.56,10.24,70.0,5.625,10,15Y,Apr,10.32,7.12,19.42,64.0,51.89,-12.56,8.08,79.0,5.212,14,True,False
10Y,Depositories Clearing Houses and Other Intermediaries,4,Apr,12.1,9.81,5.54,100.0,18.41,8.07,9.17,67.0,8.064,3,15Y,Apr,12.1,9.81,5.54,100.0,18.41,8.07,9.17,67.0,8.064,3,True,False
10Y,Depositories Clearing Houses and Other Intermediaries,11,Nov,11.43,11.31,12.61,67.0,24.09,-1.12,9.07,67.0,5.079,3,15Y,Nov,11.43,11.31,12.61,67.0,24.09,-1.12,9.07,67.0,5.079,3,True,False
10Y,Depositories Clearing Houses and Other Intermediaries,6,Jun,9.57,6.38,6.31,100.0,16.84,5.49,5.17,67.0,6.38,3,15Y,Jun,9.57,6.38,6.31,100.0,16.84,5.49,5.17,67.0,6.38,3,True,False
10Y,Industrial Minerals,12,Dec,9.38,7.1,10.91,80.0,28.64,-6.19,7.83,70.0,5.25,10,15Y,Dec,5.96,4.95,10.75,73.0,28.64,-11.08,5.28,67.0,2.913,15,True,False
10Y,Iron & Steel Products,4,Apr,9.0,10.48,8.54,80.0,22.18,-4.27,5.85,70.0,5.042,10,15Y,Apr,7.81,7.91,7.58,80.0,22.18,-4.27,5.82,67.0,4.163,15,True,False
10Y,Stockbroking & Allied,10,Oct,8.88,7.35,7.51,100.0,21.08,1.59,8.1,83.0,7.397,6,15Y,Oct,8.88,7.35,7.51,100.0,21.08,1.59,8.1,83.0,7.397,6,True,False
10Y,Aerospace & Defense,5,May,8.82,6.72,12.77,88.0,31.22,-8.33,8.06,62.0,4.821,8,15Y,May,8.82,6.72,12.77,88.0,31.22,-8.33,8.06,62.0,4.821,8,True,False
10Y,Stockbroking & Allied,7,Jul,8.69,8.48,12.2,80.0,26.8,-7.56,6.11,60.0,4.172,5,15Y,Jul,8.69,8.48,12.2,80.0,26.8,-7.56,6.11,60.0,4.172,5,True,False
10Y,Aerospace & Defense,4,Apr,8.66,9.44,9.11,62.0,19.32,-1.21,5.08,38.0,2.031,8,15Y,Apr,8.66,9.44,9.11,62.0,19.32,-1.21,5.08,38.0,2.031,8,True,False
10Y,Exchange and Data Platform,4,Apr,8.63,10.39,6.79,88.0,16.64,-2.73,5.05,75.0,5.666,8,15Y,Apr,8.63,10.39,6.79,88.0,16.64,-2.73,5.05,75.0,5.666,8,True,False
10Y,Consumer Electronics,12,Dec,8.5,8.21,10.21,67.0,22.74,-6.98,6.73,56.0,3.149,9,15Y,Dec,8.5,8.21,10.21,67.0,22.74,-6.98,6.73,56.0,3.149,9,True,False
10Y,Holding Company,7,Jul,8.39,8.96,9.54,80.0,21.91,-11.39,5.31,80.0,5.371,10,15Y,Jul,6.46,5.78,9.36,80.0,21.91,-11.39,4.55,67.0,3.443,15,True,False
10Y,Industrial Products,6,Jun,8.19,4.82,10.8,67.0,20.28,-0.52,3.79,67.0,3.641,3,15Y,Jun,8.19,4.82,10.8,67.0,20.28,-0.52,3.79,67.0,3.641,3,True,False
10Y,Aerospace & Defense,6,Jun,8.13,8.06,15.8,62.0,39.0,-9.73,6.2,62.0,3.177,8,15Y,Jun,8.13,8.06,15.8,62.0,39.0,-9.73,6.2,62.0,3.177,8,True,False
10Y,Industrial Products,3,Mar,8.13,6.88,5.7,100.0,14.35,3.16,5.4,67.0,5.42,3,15Y,Mar,8.13,6.88,5.7,100.0,14.35,3.16,5.4,67.0,5.42,3,True,False
10Y,Stockbroking & Allied,4,Apr,7.81,7.62,5.84,100.0,15.52,1.54,6.55,60.0,4.686,5,15Y,Apr,7.81,7.62,5.84,100.0,15.52,1.54,6.55,60.0,4.686,5,True,False
10Y,IT Enabled Services,8,Aug,7.63,6.18,8.64,71.0,23.72,-2.25,6.0,71.0,3.892,7,15Y,Aug,7.63,6.18,8.64,71.0,23.72,-2.25,6.0,71.0,3.892,7,True,False
10Y,IT Enabled Services,11,Nov,7.59,5.88,7.9,86.0,18.73,-4.63,4.7,57.0,3.716,7,15Y,Nov,7.59,5.88,7.9,86.0,18.73,-4.63,4.7,57.0,3.716,7,True,False
10Y,Consumer Electronics,4,Apr,7.34,5.17,11.28,75.0,29.87,-5.31,3.75,75.0,4.128,8,15Y,Apr,7.34,5.17,11.28,75.0,29.87,-5.31,3.75,75.0,4.128,8,True,False
10Y,Cables - Electricals,5,May,7.31,9.3,10.98,71.0,18.81,-8.9,6.44,71.0,3.73,7,15Y,May,7.31,9.3,10.98,71.0,18.81,-8.9,6.44,71.0,3.73,7,True,False
10Y,Iron & Steel Products,6,Jun,7.27,8.24,9.91,70.0,25.41,-5.52,5.67,50.0,2.543,10,15Y,Jun,4.91,4.63,9.18,67.0,25.41,-8.8,3.01,73.0,2.402,15,True,False
10Y,Cables - Electricals,6,Jun,7.02,4.3,10.7,71.0,25.13,-4.84,4.79,71.0,3.582,7,15Y,Jun,7.02,4.3,10.7,71.0,25.13,-4.84,4.79,71.0,3.582,7,True,False
10Y,IT Enabled Services,7,Jul,6.78,5.07,7.87,83.0,18.09,-1.2,3.38,67.0,3.768,6,15Y,Jul,6.78,5.07,7.87,83.0,18.09,-1.2,3.38,67.0,3.768,6,True,False
