Period,Sector,Window,Avg_2M%,Win%
10Y,Consumer Electronics,Jan-Feb,0.31,40.0
10Y,Consumer Electronics,Feb-Mar,2.99,50.0
10Y,Consumer Electronics,Mar-Apr,5.94,70.0
10Y,Consumer Electronics,Apr-May,9.91,50.0
10Y,Consumer Electronics,May-Jun,5.34,40.0
10Y,Consumer Electronics,Jun-Jul,5.34,60.0
10Y,Consumer Electronics,Jul-Aug,8.44,60.0
10Y,Consumer Electronics,Aug-Sep,11.49,60.0
10Y,Consumer Electronics,Sep-Oct,6.32,70.0
10Y,Consumer Electronics,Oct-Nov,6.7,60.0
10Y,Consumer Electronics,Nov-Dec,14.5,60.0
10Y,Iron & Steel Products,Jan-Feb,0.8,45.0
10Y,Iron & Steel Products,Feb-Mar,2.13,55.0
10Y,Iron & Steel Products,Mar-Apr,11.88,82.0
10Y,Iron & Steel Products,Apr-May,7.15,64.0
10Y,Iron & Steel Products,May-Jun,5.41,55.0
10Y,Iron & Steel Products,Jun-Jul,12.85,73.0
10Y,Iron & Steel Products,Jul-Aug,9.57,64.0
10Y,Iron & Steel Products,Aug-Sep,5.67,64.0
10Y,Iron & Steel Products,Sep-Oct,6.9,73.0
10Y,Iron & Steel Products,Oct-Nov,7.4,73.0
10Y,Iron & Steel Products,Nov-Dec,7.4,55.0
10Y,Electrodes & Refractories,Jan-Feb,-4.33,27.0
10Y,Electrodes & Refractories,Feb-Mar,1.4,45.0
10Y,Electrodes & Refractories,Mar-Apr,15.96,82.0
10Y,Electrodes & Refractories,Apr-May,14.15,73.0
10Y,Electrodes & Refractories,May-Jun,3.41,55.0
10Y,Electrodes & Refractories,Jun-Jul,9.0,73.0
10Y,Electrodes & Refractories,Jul-Aug,10.88,64.0
10Y,Electrodes & Refractories,Aug-Sep,6.67,64.0
10Y,Electrodes & Refractories,Sep-Oct,6.44,45.0
10Y,Electrodes & Refractories,Oct-Nov,7.59,64.0
10Y,Electrodes & Refractories,Nov-Dec,9.03,64.0
10Y,Aerospace & Defense,Jan-Feb,-2.46,56.0
10Y,Aerospace & Defense,Feb-Mar,-1.2,67.0
10Y,Aerospace & Defense,Mar-Apr,11.76,56.0
10Y,Aerospace & Defense,Apr-May,17.48,78.0
10Y,Aerospace & Defense,May-Jun,16.95,67.0
10Y,Aerospace & Defense,Jun-Jul,12.31,56.0
10Y,Aerospace & Defense,Jul-Aug,7.24,44.0
10Y,Aerospace & Defense,Aug-Sep,1.71,56.0
10Y,Aerospace & Defense,Sep-Oct,0.43,44.0
10Y,Aerospace & Defense,Oct-Nov,5.93,89.0
10Y,Aerospace & Defense,Nov-Dec,5.19,44.0
10Y,Industrial Minerals,Jan-Feb,1.61,27.0
10Y,Industrial Minerals,Feb-Mar,1.35,36.0
10Y,Industrial Minerals,Mar-Apr,9.26,82.0
10Y,Industrial Minerals,Apr-May,6.17,64.0
10Y,Industrial Minerals,May-Jun,2.13,55.0
10Y,Industrial Minerals,Jun-Jul,7.06,64.0
10Y,Industrial Minerals,Jul-Aug,10.26,73.0
10Y,Industrial Minerals,Aug-Sep,6.89,64.0
10Y,Industrial Minerals,Sep-Oct,6.22,73.0
10Y,Industrial Minerals,Oct-Nov,6.34,64.0
10Y,Industrial Minerals,Nov-Dec,10.7,73.0
10Y,Iron & Steel,Jan-Feb,3.04,64.0
10Y,Iron & Steel,Feb-Mar,2.53,55.0
10Y,Iron & Steel,Mar-Apr,10.52,73.0
10Y,Iron & Steel,Apr-May,6.69,73.0
10Y,Iron & Steel,May-Jun,0.25,55.0
10Y,Iron & Steel,Jun-Jul,10.52,73.0
10Y,Iron & Steel,Jul-Aug,11.95,82.0
10Y,Iron & Steel,Aug-Sep,4.75,64.0
10Y,Iron & Steel,Sep-Oct,4.15,64.0
10Y,Iron & Steel,Oct-Nov,7.11,55.0
10Y,Iron & Steel,Nov-Dec,9.67,55.0
