Period,Sector,Quarter,Avg_Ret%
10Y,Consumer Electronics,Q1,-0.32
10Y,Consumer Electronics,Q2,4.23
10Y,Consumer Electronics,Q3,4.73
10Y,Consumer Electronics,Q4,5.07
10Y,Iron & Steel Products,Q1,1.23
10Y,Iron & Steel Products,Q2,4.81
10Y,Iron & Steel Products,Q3,3.75
10Y,Iron & Steel Products,Q4,4.21
10Y,Electrodes & Refractories,Q1,-0.59
10Y,Electrodes & Refractories,Q2,5.6
10Y,Electrodes & Refractories,Q3,4.34
10Y,Electrodes & Refractories,Q4,4.44
10Y,Aerospace & Defense,Q1,0.21
10Y,Aerospace & Defense,Q2,8.54
10Y,Aerospace & Defense,Q3,1.96
10Y,Aerospace & Defense,Q4,2.33
10Y,Industrial Minerals,Q1,1.45
10Y,Industrial Minerals,Q2,2.88
10Y,Industrial Minerals,Q3,3.82
10Y,Industrial Minerals,Q4,5.24
10Y,Iron & Steel,Q1,1.27
10Y,Iron & Steel,Q2,3.34
10Y,Iron & Steel,Q3,3.98
10Y,Iron & Steel,Q4,4.61
10Y,Exchange and Data Platform,Q1,-0.91
10Y,Exchange and Data Platform,Q2,4.51
10Y,Exchange and Data Platform,Q3,4.24
10Y,Exchange and Data Platform,Q4,4.39
10Y,Cables - Electricals,Q1,-1.5
10Y,Cables - Electricals,Q2,6.39
10Y,Cables - Electricals,Q3,4.01
10Y,Cables - Electricals,Q4,2.98
10Y,Depositories Clearing Houses and Other Intermediaries,Q1,-3.52
10Y,Depositories Clearing Houses and Other Intermediaries,Q2,8.16
10Y,Depositories Clearing Houses and Other Intermediaries,Q3,3.67
10Y,Depositories Clearing Houses and Other Intermediaries,Q4,3.78
10Y,Passenger Cars & Utility Vehicles,Q1,0.46
10Y,Passenger Cars & Utility Vehicles,Q2,5.12
10Y,Passenger Cars & Utility Vehicles,Q3,3.83
10Y,Passenger Cars & Utility Vehicles,Q4,2.34
10Y,IT Enabled Services,Q1,-1.66
10Y,IT Enabled Services,Q2,2.95
10Y,IT Enabled Services,Q3,6.4
10Y,IT Enabled Services,Q4,3.82
10Y,Holding Company,Q1,-0.32
10Y,Holding Company,Q2,4.67
10Y,Holding Company,Q3,5.03
10Y,Holding Company,Q4,1.73
10Y,Residential Commercial Projects,Q1,-0.19
10Y,Residential Commercial Projects,Q2,4.17
10Y,Residential Commercial Projects,Q3,2.97
10Y,Residential Commercial Projects,Q4,4.07
10Y,Stockbroking & Allied,Q1,-1.77
10Y,Stockbroking & Allied,Q2,5.28
10Y,Stockbroking & Allied,Q3,3.86
10Y,Stockbroking & Allied,Q4,4.37
10Y,Integrated Power Utilities,Q1,1.0
10Y,Integrated Power Utilities,Q2,3.13
10Y,Integrated Power Utilities,Q3,3.18
10Y,Integrated Power Utilities,Q4,3.44
10Y,Fertilizers,Q1,0.18
10Y,Fertilizers,Q2,6.04
10Y,Fertilizers,Q3,0.31
10Y,Fertilizers,Q4,4.17
10Y,Heavy Electrical Equipment,Q1,0.78
10Y,Heavy Electrical Equipment,Q2,5.15
10Y,Heavy Electrical Equipment,Q3,1.37
10Y,Heavy Electrical Equipment,Q4,3.18
10Y,Industrial Products,Q1,-1.43
10Y,Industrial Products,Q2,9.11
10Y,Industrial Products,Q3,2.47
10Y,Industrial Products,Q4,0.69
10Y,Financial Institution,Q1,-0.48
10Y,Financial Institution,Q2,3.32
10Y,Financial Institution,Q3,2.27
10Y,Financial Institution,Q4,4.96
10Y,Compressors Pumps & Diesel Engines,Q1,1.23
10Y,Compressors Pumps & Diesel Engines,Q2,5.3
10Y,Compressors Pumps & Diesel Engines,Q3,1.83
10Y,Compressors Pumps & Diesel Engines,Q4,1.7
