Period,Sector,Quarter,Avg_Ret%
15Y,Consumer Electronics,Q1,-0.32
15Y,Consumer Electronics,Q2,4.23
15Y,Consumer Electronics,Q3,4.73
15Y,Consumer Electronics,Q4,5.07
15Y,Aerospace & Defense,Q1,0.21
15Y,Aerospace & Defense,Q2,8.54
15Y,Aerospace & Defense,Q3,1.96
15Y,Aerospace & Defense,Q4,2.33
15Y,Exchange and Data Platform,Q1,-0.91
15Y,Exchange and Data Platform,Q2,4.51
15Y,Exchange and Data Platform,Q3,4.24
15Y,Exchange and Data Platform,Q4,4.39
15Y,Cables - Electricals,Q1,-1.5
15Y,Cables - Electricals,Q2,6.39
15Y,Cables - Electricals,Q3,4.01
15Y,Cables - Electricals,Q4,2.98
15Y,Depositories Clearing Houses and Other Intermediaries,Q1,-3.52
15Y,Depositories Clearing Houses and Other Intermediaries,Q2,8.16
15Y,Depositories Clearing Houses and Other Intermediaries,Q3,3.67
15Y,Depositories Clearing Houses and Other Intermediaries,Q4,3.78
15Y,Specialty Chemicals,Q1,1.17
15Y,Specialty Chemicals,Q2,4.23
15Y,Specialty Chemicals,Q3,3.57
15Y,Specialty Chemicals,Q4,2.24
15Y,IT Enabled Services,Q1,-1.66
15Y,IT Enabled Services,Q2,2.95
15Y,IT Enabled Services,Q3,6.4
15Y,IT Enabled Services,Q4,3.82
15Y,Electrodes & Refractories,Q1,-1.13
15Y,Electrodes & Refractories,Q2,4.76
15Y,Electrodes & Refractories,Q3,2.6
15Y,Electrodes & Refractories,Q4,4.54
15Y,Tyres & Rubber Products,Q1,0.57
15Y,Tyres & Rubber Products,Q2,3.02
15Y,Tyres & Rubber Products,Q3,3.53
15Y,Tyres & Rubber Products,Q4,3.19
15Y,Plastic Products - Industrial,Q1,1.88
15Y,Plastic Products - Industrial,Q2,4.97
15Y,Plastic Products - Industrial,Q3,2.02
15Y,Plastic Products - Industrial,Q4,1.36
15Y,Holding Company,Q1,0.0
15Y,Holding Company,Q2,4.04
15Y,Holding Company,Q3,3.82
15Y,Holding Company,Q4,2.31
15Y,Stockbroking & Allied,Q1,-1.77
15Y,Stockbroking & Allied,Q2,5.28
15Y,Stockbroking & Allied,Q3,3.86
15Y,Stockbroking & Allied,Q4,4.37
15Y,Passenger Cars & Utility Vehicles,Q1,0.46
15Y,Passenger Cars & Utility Vehicles,Q2,4.38
15Y,Passenger Cars & Utility Vehicles,Q3,3.5
15Y,Passenger Cars & Utility Vehicles,Q4,1.55
15Y,Auto Components & Equipments,Q1,0.78
15Y,Auto Components & Equipments,Q2,3.6
15Y,Auto Components & Equipments,Q3,2.93
15Y,Auto Components & Equipments,Q4,2.31
15Y,Industrial Products,Q1,-1.43
15Y,Industrial Products,Q2,9.11
15Y,Industrial Products,Q3,2.47
15Y,Industrial Products,Q4,0.69
15Y,Non Banking Financial Company (NBFC),Q1,1.24
15Y,Non Banking Financial Company (NBFC),Q2,3.19
15Y,Non Banking Financial Company (NBFC),Q3,2.5
15Y,Non Banking Financial Company (NBFC),Q4,2.31
15Y,Industrial Minerals,Q1,0.26
15Y,Industrial Minerals,Q2,2.38
15Y,Industrial Minerals,Q3,2.62
15Y,Industrial Minerals,Q4,3.67
15Y,Packaged Foods,Q1,-0.07
15Y,Packaged Foods,Q2,3.77
15Y,Packaged Foods,Q3,3.41
15Y,Packaged Foods,Q4,1.63
15Y,Computers - Software & Consulting,Q1,0.16
15Y,Computers - Software & Consulting,Q2,2.63
15Y,Computers - Software & Consulting,Q3,2.66
15Y,Computers - Software & Consulting,Q4,3.3
15Y,Iron & Steel Products,Q1,0.24
15Y,Iron & Steel Products,Q2,3.85
15Y,Iron & Steel Products,Q3,1.46
15Y,Iron & Steel Products,Q4,3.07
