Sector,Strong_Months,Weak_Months,Total_Alpha,Best_Month,Worst_Month,Best_Avg,Worst_Avg
Consumer Electronics,7,1,27.9,Dec,Jan,8.5,-4.1
Aerospace & Defense,6,0,26.5,May,Feb,8.8,-4.3
Exchange and Data Platform,8,2,23.9,Apr,Feb,8.6,-4.0
Cables - Electricals,8,2,22.9,May,Mar,7.3,-2.0
Depositories Clearing Houses and Other Intermediaries,7,3,26.7,Apr,Jan,12.1,-6.7
Specialty Chemicals,7,2,21.8,Apr,Feb,8.0,-0.5
IT Enabled Services,6,2,19.5,Aug,Mar,7.6,-5.2
Electrodes & Refractories,6,3,19.9,Apr,Jan,10.3,-4.2
Tyres & Rubber Products,7,2,19.1,Apr,Feb,6.5,-2.3
Plastic Products - Industrial,7,0,18.9,May,Jan,6.0,0.6
Holding Company,6,1,18.7,Jul,Mar,6.5,-2.0
Stockbroking & Allied,5,2,19.9,Oct,Jan,8.9,-6.2
Passenger Cars & Utility Vehicles,7,1,17.7,Apr,Feb,6.1,-1.3
Auto Components & Equipments,8,0,17.1,Apr,Jan,4.6,0.5
Industrial Products,6,2,21.8,May,Jan,15.7,-6.4
Non Banking Financial Company (NBFC),7,0,15.9,Jun,Mar,4.6,0.2
Industrial Minerals,5,2,15.0,Dec,Feb,6.0,-2.6
Packaged Foods,6,2,14.4,Apr,Feb,5.8,-1.2
Computers - Software & Consulting,7,1,14.4,Jul,Mar,4.7,-0.8
Iron & Steel Products,4,1,14.0,Apr,Feb,7.8,-2.0
