Sector,Month,Month_Name,Avg_Return%
Consumer Electronics,1,Jan,-4.07
Consumer Electronics,2,Feb,4.38
Consumer Electronics,3,Mar,-1.39
Consumer Electronics,4,Apr,7.34
Consumer Electronics,5,May,2.57
Consumer Electronics,6,Jun,2.77
Consumer Electronics,7,Jul,2.57
Consumer Electronics,8,Aug,5.87
Consumer Electronics,9,Sep,5.62
Consumer Electronics,10,Oct,0.7
Consumer Electronics,11,Nov,6.0
Consumer Electronics,12,Dec,8.5
Aerospace & Defense,1,Jan,1.83
Aerospace & Defense,2,Feb,-4.29
Aerospace & Defense,3,Mar,3.1
Aerospace & Defense,4,Apr,8.66
Aerospace & Defense,5,May,8.82
Aerospace & Defense,6,Jun,8.13
Aerospace & Defense,7,Jul,4.17
Aerospace & Defense,8,Aug,3.07
Aerospace & Defense,9,Sep,-1.36
Aerospace & Defense,10,Oct,1.79
Aerospace & Defense,11,Nov,4.14
Aerospace & Defense,12,Dec,1.05
Exchange and Data Platform,1,Jan,-0.56
Exchange and Data Platform,2,Feb,-4.02
Exchange and Data Platform,3,Mar,2.2
Exchange and Data Platform,4,Apr,8.63
Exchange and Data Platform,5,May,4.0
Exchange and Data Platform,6,Jun,0.88
Exchange and Data Platform,7,Jul,5.18
Exchange and Data Platform,8,Aug,3.4
Exchange and Data Platform,9,Sep,4.12
Exchange and Data Platform,10,Oct,6.03
Exchange and Data Platform,11,Nov,4.96
Exchange and Data Platform,12,Dec,2.18
Cables - Electricals,1,Jan,-0.88
Cables - Electricals,2,Feb,-1.71
Cables - Electricals,3,Mar,-2.0
Cables - Electricals,4,Apr,4.82
Cables - Electricals,5,May,7.31
Cables - Electricals,6,Jun,7.02
Cables - Electricals,7,Jul,2.59
Cables - Electricals,8,Aug,3.82
Cables - Electricals,9,Sep,5.62
Cables - Electricals,10,Oct,0.64
Cables - Electricals,11,Nov,5.38
Cables - Electricals,12,Dec,2.92
Depositories Clearing Houses and Other Intermediaries,1,Jan,-6.68
