Period,Sector,Month,Month_Name,Avg%,Median%,StdDev%,Win%,Best%,Worst%,Alpha%,Consistency%,Score,N_Years
10Y,Consumer Electronics,1,Jan,-4.07,-9.04,11.0,33.0,14.31,-14.3,-3.41,78.0,-1.056,9
10Y,Consumer Electronics,2,Feb,4.38,-2.0,15.75,44.0,40.18,-11.36,5.93,89.0,1.731,9
10Y,Consumer Electronics,3,Mar,-1.39,2.08,12.01,62.0,7.41,-29.75,-0.6,88.0,-0.762,8
10Y,Consumer Electronics,4,Apr,7.34,5.17,11.28,75.0,29.87,-5.31,3.75,75.0,4.128,8
10Y,Consumer Electronics,5,May,2.57,-0.76,10.9,50.0,19.42,-7.87,1.81,75.0,0.965,8
10Y,Consumer Electronics,6,Jun,2.77,1.46,12.31,62.0,21.83,-10.29,0.84,50.0,0.866,8
10Y,Consumer Electronics,7,Jul,2.57,3.79,7.22,75.0,9.23,-12.1,-0.02,88.0,1.689,8
10Y,Consumer Electronics,8,Aug,5.87,8.16,8.33,75.0,15.7,-11.18,4.08,75.0,3.3,8
10Y,Consumer Electronics,9,Sep,5.62,5.75,13.42,78.0,31.24,-19.06,5.71,78.0,3.402,9
10Y,Consumer Electronics,10,Oct,0.7,-0.97,7.15,44.0,13.14,-8.87,-0.27,67.0,0.206,9
10Y,Consumer Electronics,11,Nov,6.0,5.57,9.0,67.0,24.85,-3.13,3.35,78.0,3.112,9
10Y,Consumer Electronics,12,Dec,8.5,8.21,10.21,67.0,22.74,-6.98,6.73,56.0,3.149,9
10Y,Iron & Steel Products,1,Jan,1.55,-0.15,9.96,50.0,20.21,-10.38,1.68,70.0,0.541,10
10Y,Iron & Steel Products,2,Feb,-0.75,-4.09,7.15,40.0,11.19,-7.57,0.27,80.0,-0.24,10
10Y,Iron & Steel Products,3,Mar,2.88,8.46,19.03,70.0,22.6,-42.07,2.11,80.0,1.613,10
10Y,Iron & Steel Products,4,Apr,9.0,10.48,8.54,80.0,22.18,-4.27,5.85,70.0,5.042,10
10Y,Iron & Steel Products,5,May,-1.85,-4.75,7.51,40.0,9.67,-11.56,-3.2,60.0,-0.444,10
10Y,Iron & Steel Products,6,Jun,7.27,8.24,9.91,70.0,25.41,-5.52,5.67,50.0,2.543,10
10Y,Iron & Steel Products,7,Jul,5.58,4.51,9.18,70.0,18.11,-11.53,2.5,70.0,2.734,10
10Y,Iron & Steel Products,8,Aug,3.99,0.98,12.79,60.0,35.59,-9.67,2.55,80.0,1.917,10
10Y,Iron & Steel Products,9,Sep,1.68,3.85,7.46,70.0,8.63,-16.29,1.95,90.0,1.057,10
10Y,Iron & Steel Products,10,Oct,5.23,4.1,6.97,80.0,19.73,-3.71,4.32,70.0,2.927,10
10Y,Iron & Steel Products,11,Nov,2.18,0.21,7.58,50.0,14.78,-7.3,0.26,60.0,0.653,10
10Y,Iron & Steel Products,12,Dec,5.22,4.94,6.98,80.0,22.52,-2.84,3.68,80.0,3.341,10
10Y,Electrodes & Refractories,1,Jan,-3.16,-3.68,11.4,30.0,17.15,-23.85,-3.02,60.0,-0.569,10
10Y,Electrodes & Refractories,2,Feb,-1.17,-4.81,17.17,30.0,38.43,-17.15,-0.16,90.0,-0.316,10
10Y,Electrodes & Refractories,3,Mar,2.57,4.5,19.12,80.0,28.78,-45.16,1.8,80.0,1.645,10
10Y,Electrodes & Refractories,4,Apr,13.39,11.8,21.94,60.0,51.89,-12.56,10.24,70.0,5.625,10
10Y,Electrodes & Refractories,5,May,0.76,-3.08,10.22,40.0,22.06,-12.21,-0.59,70.0,0.212,10
10Y,Electrodes & Refractories,6,Jun,2.65,-0.62,12.73,50.0,25.5,-12.13,1.06,70.0,0.928,10
10Y,Electrodes & Refractories,7,Jul,6.35,7.54,12.98,70.0,25.56,-17.66,3.27,60.0,2.665,10
10Y,Electrodes & Refractories,8,Aug,4.53,3.5,10.08,60.0,22.52,-11.77,3.09,70.0,1.902,10
10Y,Electrodes & Refractories,9,Sep,2.14,2.4,11.16,60.0,24.41,-17.77,2.41,80.0,1.027,10
10Y,Electrodes & Refractories,10,Oct,4.3,0.15,15.77,50.0,43.17,-8.43,3.39,90.0,1.935,10
10Y,Electrodes & Refractories,11,Nov,3.29,4.4,10.97,60.0,24.67,-12.59,1.38,70.0,1.383,10
10Y,Electrodes & Refractories,12,Dec,5.74,8.57,9.91,70.0,18.39,-11.41,4.19,60.0,2.41,10
10Y,Aerospace & Defense,1,Jan,1.83,2.7,5.33,75.0,7.1,-7.19,3.17,75.0,1.031,8
10Y,Aerospace & Defense,2,Feb,-4.29,-2.31,11.34,50.0,7.37,-26.48,-3.16,75.0,-1.61,8
10Y,Aerospace & Defense,3,Mar,3.1,4.54,15.49,62.0,30.48,-23.22,3.89,75.0,1.451,8
10Y,Aerospace & Defense,4,Apr,8.66,9.44,9.11,62.0,19.32,-1.21,5.08,38.0,2.031,8
10Y,Aerospace & Defense,5,May,8.82,6.72,12.77,88.0,31.22,-8.33,8.06,62.0,4.821,8
10Y,Aerospace & Defense,6,Jun,8.13,8.06,15.8,62.0,39.0,-9.73,6.2,62.0,3.177,8
10Y,Aerospace & Defense,7,Jul,4.17,7.62,10.35,75.0,14.78,-13.52,1.58,62.0,1.956,8
10Y,Aerospace & Defense,8,Aug,3.07,1.46,9.99,50.0,16.83,-9.62,1.28,75.0,1.149,8
10Y,Aerospace & Defense,9,Sep,-1.36,-0.89,10.22,50.0,14.41,-19.36,-1.43,75.0,-0.51,8
10Y,Aerospace & Defense,10,Oct,1.79,2.83,7.75,62.0,12.36,-10.26,1.39,50.0,0.559,8
10Y,Aerospace & Defense,11,Nov,4.14,2.8,6.71,62.0,14.79,-3.34,1.02,62.0,1.617,8
10Y,Aerospace & Defense,12,Dec,1.05,0.73,7.75,50.0,14.96,-7.36,-0.57,75.0,0.395,8
10Y,Industrial Minerals,1,Jan,3.0,-0.76,10.75,40.0,24.63,-8.99,3.14,60.0,0.72,10
10Y,Industrial Minerals,2,Feb,-1.39,0.02,10.92,50.0,18.56,-17.72,-0.38,70.0,-0.488,10
10Y,Industrial Minerals,3,Mar,2.75,1.12,14.38,70.0,18.6,-29.18,1.97,80.0,1.538,10
10Y,Industrial Minerals,4,Apr,6.52,7.65,6.91,70.0,17.36,-1.9,3.36,50.0,2.28,10
10Y,Industrial Minerals,5,May,-0.35,-1.58,11.39,40.0,16.82,-17.2,-1.69,60.0,-0.084,10
