ticker,pnl,reason,entry_date,exit_date
MAHSEAMLES.NS,-8.812895862829635,Trail,2025-01-01,2025-01-09
IRB.NS,-11.135374370661197,Trail,2025-01-01,2025-01-10
J&KBANK.NS,-9.023979151312899,Trail,2025-01-01,2025-01-10
CERA.NS,-9.951030991790804,Trail,2025-01-01,2025-01-10
HUDCO.NS,-11.575769272252401,Trail,2025-01-02,2025-01-10
SAMMAANCAP.NS,-8.03488366098473,Trail,2025-01-02,2025-01-10
RCF.NS,-13.280076762985399,Trail,2025-01-01,2025-01-13
GRAPHITE.NS,-12.233575908165527,Trail,2025-01-01,2025-01-13
PNBHOUSING.NS,-10.868839888354136,Trail,2025-01-01,2025-01-13
CONCORDBIO.NS,-1.3123991625416929,Trail,2025-01-01,2025-01-22
GLAND.NS,-8.333100568508495,Trail,2025-01-10,2025-01-22
DEVYANI.NS,-3.608626631710242,Trail,2025-01-13,2025-01-24
GRANULES.NS,-10.132017732485805,Trail,2025-01-09,2025-01-27
LATENTVIEW.NS,-10.086704625340866,Trail,2025-01-10,2025-01-27
BLUESTARCO.NS,-9.287210438370291,Trail,2025-01-10,2025-01-27
SAMMAANCAP.NS,-4.28829947219534,Trail,2025-01-10,2025-01-27
EIHOTEL.NS,-13.389266948853514,Trail,2025-01-10,2025-01-27
UTIAMC.NS,-6.1233103247169325,Trail,2025-01-13,2025-01-27
DEEPAKFERT.NS,-0.5809453417398023,Trail,2025-01-27,2025-01-30
BAJAJHLDNG.NS,18.325128187234256,Target,2025-01-13,2025-02-03
IRFC.NS,-2.7295904524651253,Trail,2025-01-24,2025-02-03
SBFC.NS,-8.180099958413722,Trail,2025-01-22,2025-02-10
CONCORDBIO.NS,0.5022284315563427,Trail,2025-01-22,2025-02-11
SUMICHEM.NS,-2.6687770077125945,Trail,2025-01-27,2025-02-11
LEMONTREE.NS,-4.277879643816797,Trail,2025-01-30,2025-02-11
DEVYANI.NS,-8.134689065358936,Trail,2025-02-03,2025-02-11
MANAPPURAM.NS,3.7731637217954423,Trail,2025-01-27,2025-02-12
LTF.NS,-0.8618929685620944,Trail,2025-01-27,2025-02-13
LTIM.NS,-3.062071279006918,Trail,2025-01-27,2025-02-14
CONCORDBIO.NS,-20.594028415693653,Trail,2025-02-11,2025-02-14
MANAPPURAM.NS,-6.932400674633171,Trail,2025-02-12,2025-02-14
ECLERX.NS,-6.6197676155565075,Trail,2025-02-03,2025-02-17
MANAPPURAM.NS,15.312942130699092,Target,2025-02-14,2025-02-20
IEX.NS,-8.425726277911732,Trail,2025-02-11,2025-02-27
