Horizon,Variant,CAGR%,MaxDD%,Sharpe,Trades,WinRate%,AvgPnL%,MA50_Exits,TSL_Exits,MA50_AvgPnL%,TSL_AvgPnL%,MaxConsecLoss
1Y,TSL-8%,6.5,-14.9,0.44,87,40.2,1.0,21,66,-2.2,2.0,11
1Y,TSL-10%,6.1,-14.8,0.41,76,32.9,1.2,28,48,-0.1,1.9,7
1Y,TSL-12%,2.7,-15.5,0.25,69,33.3,0.8,39,30,-3.1,5.9,12
1Y,TSL-15%,11.7,-17.0,0.63,57,35.1,2.4,44,13,-1.1,14.4,11
1Y,TSL-20%,10.3,-18.6,0.57,52,30.8,1.4,49,3,0.8,11.1,6
1Y,TSL-25%,7.3,-17.6,0.44,51,31.4,1.1,50,1,0.1,51.4,6
1Y,Cyclic,6.8,-14.8,0.44,60,35.0,1.6,40,20,-0.5,5.7,11
3Y,TSL-8%,12.8,-34.9,0.72,288,36.1,2.0,47,241,-2.4,2.9,22
3Y,TSL-10%,7.1,-37.7,0.44,254,31.5,1.8,75,179,0.8,2.2,24
3Y,TSL-12%,1.8,-43.4,0.2,222,32.0,1.1,103,119,-1.7,3.4,23
3Y,TSL-15%,8.8,-37.7,0.51,184,35.3,2.7,119,65,2.0,4.0,14
3Y,TSL-20%,20.3,-36.0,0.94,151,38.4,4.8,140,11,4.9,3.5,12
3Y,TSL-25%,19.0,-32.5,0.89,148,38.5,4.8,144,4,4.9,-1.3,12
3Y,Cyclic,18.9,-38.5,0.94,177,35.6,4.8,116,61,5.4,3.7,18
5Y,TSL-8%,44.4,-23.4,1.87,506,41.5,4.5,65,441,-2.0,5.4,16
5Y,TSL-10%,44.7,-32.5,1.79,420,44.0,5.4,99,321,0.8,6.9,13
5Y,TSL-12%,45.6,-36.5,1.79,352,46.0,6.5,138,214,1.2,9.9,13
5Y,TSL-15%,38.6,-30.8,1.57,285,47.4,7.0,173,112,4.1,11.3,9
5Y,TSL-20%,41.9,-38.4,1.57,252,47.6,8.8,212,40,6.1,23.3,13
5Y,TSL-25%,38.2,-34.3,1.47,235,46.4,8.5,218,17,8.1,13.6,10
5Y,Cyclic,48.2,-36.5,1.84,308,45.5,8.0,167,141,6.5,9.9,14
10Y,TSL-8%,27.1,-40.0,1.38,943,37.9,3.6,154,789,-1.4,4.6,18
10Y,TSL-10%,27.8,-36.9,1.36,783,40.2,4.3,235,548,-0.4,6.4,17
10Y,TSL-12%,30.0,-34.6,1.41,663,41.2,5.6,290,373,1.2,9.0,21
10Y,TSL-15%,29.2,-44.8,1.32,559,42.2,6.6,365,194,2.4,14.7,20
10Y,TSL-20%,31.0,-44.9,1.36,497,42.3,8.0,434,63,6.7,16.9,22
10Y,TSL-25%,30.2,-45.7,1.33,471,42.7,8.3,444,27,8.1,10.8,20
10Y,Cyclic,28.4,-38.0,1.34,602,40.4,6.0,325,277,6.0,6.2,20
15Y,TSL-8%,31.5,-40.2,1.56,1377,40.2,4.0,263,1114,-1.6,5.3,16
15Y,TSL-10%,35.6,-31.4,1.65,1119,42.4,5.4,368,751,0.6,7.7,16
15Y,TSL-12%,35.7,-38.1,1.64,960,43.5,6.5,478,482,1.9,11.1,18
15Y,TSL-15%,36.4,-30.6,1.62,825,42.9,7.8,575,250,4.6,15.2,14
15Y,TSL-20%,37.8,-37.8,1.62,736,43.9,9.3,643,93,7.3,22.7,23
15Y,TSL-25%,36.4,-39.2,1.55,713,43.3,9.4,674,39,8.7,21.4,17
15Y,Cyclic,36.9,-36.4,1.65,911,44.0,7.0,529,382,3.7,11.4,17
