ticker,name,stock_low,stock_peak,total_move,low_date,peak_date,first_signal_date,signal_price,signal_ias,gain_signal_to_peak,days_before_peak,signal_rs21,signal_rs63,signal_liq5,signal_liq_from_low,days_from_low_to_sig,imminent_date,imminent_price,imminent_gain
STLTECH.NS,Sterlite Tech,60.4,167.6,177.5,2025-05-02,2026-02-23,2025-06-12,85.6,90.0,95.8,256.0,25.1,-10.4,69.3,18.6,41.0,2025-06-12,85.6,95.8
TITAGARH.NS,Titagarh Rail,674.3,1856.6,175.3,2025-03-03,2024-06-28,2024-10-04,1118.8,46.9,65.9,-98.0,-21.0,-40.3,161.2,2.8,-150.0,2024-10-14,1119.3,65.9
GRSE.NS,Garden Reach Ship,1205.9,3468.3,187.6,2025-03-03,2025-06-23,2024-08-22,1727.3,50.0,100.8,305.0,-29.6,37.0,300.3,2.0,-193.0,2024-09-19,1679.2,106.6
COCHINSHIP.NS,Cochin Shipyard,1209.1,2826.8,133.8,2025-02-17,2024-07-11,2024-09-02,1827.5,50.0,54.7,-53.0,-29.3,-17.1,527.6,3.5,-168.0,2024-09-09,1797.1,57.3
JSWENERGY.NS,JSW Energy,429.8,788.9,83.6,2025-02-17,2024-09-23,2025-01-31,506.6,44.2,55.7,-130.0,-17.8,-22.2,474.5,5.3,-17.0,2025-02-05,491.9,60.4
GPIL.NS,Gallantt Ispat,150.8,283.7,88.2,2025-03-03,2025-10-31,2024-06-11,207.9,100.0,36.5,507.0,10.2,34.7,83.0,4.2,-265.0,2024-06-11,207.9,36.5
MAZDOCK.NS,Mazagon Dock,1574.4,3728.0,136.8,2024-06-12,2025-05-29,2026-01-20,2325.1,50.0,60.3,-236.0,-0.3,-15.3,177.7,17774.4,587.0,2026-02-02,2419.9,54.1
IRFC.NS,Indian Railway FC,103.2,212.3,105.6,2026-02-26,2024-07-12,2025-01-14,133.6,40.8,58.9,-186.0,-8.5,-2.2,296.8,1.7,-408.0,2025-03-07,121.6,74.5
BEL.NS,Bharat Electronics,242.7,453.0,86.7,2025-02-18,2026-01-28,NO_SIGNAL,,,,,,,,,,NO_IMMINENT,,
KAYNES.NS,Kaynes Technology,3333.0,7597.5,127.9,2026-01-27,2025-01-01,2025-01-28,4661.4,55.0,63.0,-27.0,-32.3,-7.1,960.8,4.7,-364.0,2025-02-21,4367.7,73.9
APARINDS.NS,Apar Industries,4788.9,11597.3,142.2,2025-04-09,2025-01-07,2025-01-28,7131.5,50.0,62.6,-21.0,-25.3,-17.1,234.9,6.8,-71.0,2025-03-19,5768.2,101.1
PNBHOUSING.NS,PNB Housing Finance,753.6,1131.3,50.1,2024-07-23,2024-09-13,NO_SIGNAL,,,,,,,,,,NO_IMMINENT,,
