Regime,Trend,Volume,Avg_Return,Count,Horizon
Mild_Bull,0-20,Big_Drop,21.71,22,90d
Recovery,20-40,Jump,19.29,27,90d
Strong_Bear,0-20,Drop,17.85,61,90d
Strong_Bear,0-20,Jump,16.9,67,90d
Recovery,20-40,Flat,15.01,194,90d
Strong_Bull,60-80,Big_Drop,14.03,48,90d
Strong_Bear,80-100,Drop,13.84,30,90d
Strong_Bear,0-20,Flat,13.74,467,90d
Mild_Bull,0-20,Jump,13.22,44,90d
Recovery,0-20,Flat,11.63,205,90d
Strong_Bear,0-20,Jump,55.09,67,180d
Recovery,20-40,Jump,45.66,27,180d
Strong_Bear,0-20,Drop,44.76,61,180d
Strong_Bear,0-20,Flat,37.16,467,180d
Strong_Bear,0-20,Big_Drop,37.0,28,180d
Recovery,20-40,Flat,33.91,194,180d
Strong_Bear,20-40,Flat,29.35,133,180d
Recovery,40-60,Flat,26.37,146,180d
Strong_Bull,60-80,Big_Drop,24.1,48,180d
Strong_Bull,80-100,Spike,23.17,82,180d
Strong_Bear,0-20,Jump,86.84,67,270d
Strong_Bear,0-20,Big_Drop,67.29,28,270d
Strong_Bear,0-20,Drop,65.15,61,270d
Recovery,20-40,Jump,58.54,27,270d
Strong_Bear,0-20,Flat,57.47,467,270d
Recovery,20-40,Flat,46.42,194,270d
Strong_Bear,20-40,Flat,43.6,133,270d
Recovery,40-60,Flat,43.32,146,270d
Mild_Bull,0-20,Big_Drop,42.79,22,270d
Mild_Bull,0-20,Jump,41.48,44,270d
Strong_Bear,0-20,Jump,79.97,67,1yr
Strong_Bear,0-20,Drop,59.48,61,1yr
Strong_Bear,0-20,Big_Drop,58.47,28,1yr
Recovery,20-40,Jump,58.13,27,1yr
Strong_Bear,0-20,Flat,52.68,467,1yr
Recovery,20-40,Flat,46.33,194,1yr
Strong_Bear,20-40,Flat,43.12,133,1yr
Mild_Bull,0-20,Jump,41.44,44,1yr
Recovery,40-60,Flat,39.74,146,1yr
Mild_Bull,0-20,Big_Drop,38.87,22,1yr
Strong_Bear,60-80,Drop,157.49,29,3yr
Strong_Bear,0-20,Big_Drop,151.95,28,3yr
Strong_Bear,0-20,Jump,146.31,67,3yr
Strong_Bear,80-100,Drop,144.91,30,3yr
Mild_Bull,0-20,Big_Drop,133.06,22,3yr
Strong_Bull,80-100,Big_Drop,127.9,83,3yr
Strong_Bull,60-80,Big_Drop,120.51,48,3yr
Strong_Bear,0-20,Drop,120.17,61,3yr
Mild_Bull,60-80,Big_Drop,118.78,37,3yr
Strong_Bull,80-100,Spike,118.03,82,3yr
