regime,trend_bucket,vol_state,Avg_Return,Win_Rate,Count,Avg_MAE,Avg_MFE
Mild_Bull,0-20,Big_Drop,38.87,54.55,22,-19.26,68.06
Mild_Bull,0-20,Drop,15.33,48.72,39,-23.92,36.71
Mild_Bull,0-20,Flat,19.61,65.82,275,-23.83,40.94
Mild_Bull,0-20,Jump,41.44,81.82,44,-23.34,57.26
Mild_Bull,0-20,Spike,22.98,61.54,13,-24.76,42.71
Mild_Bull,20-40,Big_Drop,27.85,83.33,12,-17.49,59.16
Mild_Bull,20-40,Drop,14.15,72.73,33,-18.84,32.74
Mild_Bull,20-40,Flat,11.24,60.68,234,-21.97,33.68
Mild_Bull,20-40,Jump,20.28,66.67,33,-21.91,44.26
Mild_Bull,20-40,Spike,47.05,66.67,6,-22.24,65.98
Mild_Bull,40-60,Big_Drop,31.04,66.67,3,-36.59,43.55
Mild_Bull,40-60,Drop,6.58,44.44,9,-18.32,26.97
Mild_Bull,40-60,Flat,14.28,74.29,35,-17.42,31.75
Mild_Bull,40-60,Jump,21.1,66.67,3,-15.69,47.61
Mild_Bull,60-80,Big_Drop,23.36,62.16,37,-18.95,49.95
Mild_Bull,60-80,Drop,19.18,71.74,92,-16.95,42.86
Mild_Bull,60-80,Flat,16.76,66.34,413,-17.43,37.68
Mild_Bull,60-80,Jump,1.87,53.85,13,-20.62,26.13
Mild_Bull,60-80,Spike,42.4,66.67,6,-17.37,66.89
Mild_Bull,80-100,Big_Drop,26.51,65.0,20,-24.2,48.07
Mild_Bull,80-100,Drop,26.58,75.0,76,-15.98,44.58
Mild_Bull,80-100,Flat,19.74,71.63,416,-15.97,38.85
Mild_Bull,80-100,Jump,23.12,66.67,33,-16.24,40.66
Mild_Bull,80-100,Spike,17.54,50.0,18,-16.69,44.21
Recovery,0-20,Big_Drop,0.44,33.33,6,-41.71,20.97
Recovery,0-20,Drop,35.96,63.64,33,-24.23,56.77
Recovery,0-20,Flat,35.07,61.46,205,-21.85,55.83
Recovery,0-20,Jump,23.0,78.26,23,-20.02,50.5
Recovery,0-20,Spike,65.06,100.0,7,-11.5,83.36
Recovery,20-40,Big_Drop,107.7,80.0,5,-32.47,128.06
Recovery,20-40,Drop,32.81,72.09,43,-19.51,47.92
Recovery,20-40,Flat,46.33,74.23,194,-18.51,66.33
