Regime,Avg_Return,Std,Count,Avg_MAE,Avg_MFE,Horizon,Win_Rate
Mild_Bull,7.62,20.7,1885,-12.65,20.13,90d,63.24
Recovery,9.66,28.53,1522,-12.48,23.63,90d,61.83
Strong_Bear,11.32,33.02,1281,-14.82,27.62,90d,64.01
Strong_Bull,6.58,21.42,4080,-12.25,20.55,90d,60.44
Mild_Bull,11.94,30.73,1885,-17.09,31.3,180d,63.93
Recovery,21.51,46.15,1522,-16.57,39.21,180d,66.49
Strong_Bear,29.27,51.75,1281,-17.38,46.98,180d,73.93
Strong_Bull,14.08,31.24,4080,-15.34,32.09,180d,64.66
Mild_Bull,20.91,39.79,1885,-19.38,42.08,270d,69.12
Recovery,33.27,59.27,1522,-18.25,54.08,270d,72.67
Strong_Bear,46.38,72.04,1281,-18.49,65.51,270d,77.91
Strong_Bull,19.7,41.2,4080,-18.17,42.69,270d,65.88
Mild_Bull,18.96,38.38,1885,-19.11,39.87,1yr,67.11
Recovery,32.46,57.58,1522,-17.56,50.96,1yr,72.8
Strong_Bear,42.83,66.74,1281,-18.15,62.2,1yr,77.99
Strong_Bull,18.12,39.79,4080,-17.78,40.67,1yr,64.98
Mild_Bull,79.18,99.94,1885,-25.09,118.59,3yr,82.55
Recovery,94.72,116.65,1522,-22.8,134.35,3yr,86.79
Strong_Bear,107.28,134.25,1281,-21.79,155.13,3yr,89.31
Strong_Bull,73.07,108.86,4080,-25.49,109.38,3yr,78.68
