Sector,Avg_Return,Count,Avg_MAE,Horizon
Auto,10.21,871,-11.38,90d
Banking,7.95,871,-12.33,90d
Consumer,8.66,870,-9.25,90d
Defense,8.27,427,-15.1,90d
Energy,5.38,870,-12.0,90d
IT_Services,9.34,870,-10.63,90d
Industrials,8.82,873,-12.74,90d
Metals,9.04,830,-16.44,90d
Pharma,7.69,871,-10.57,90d
Realty,7.27,761,-15.83,90d
Telecom,5.02,654,-16.75,90d
Auto,22.35,871,-14.02,180d
Banking,17.16,871,-15.44,180d
Consumer,17.93,870,-11.42,180d
Defense,16.58,427,-19.65,180d
Energy,10.46,870,-15.37,180d
IT_Services,21.09,870,-13.39,180d
Industrials,19.36,873,-16.11,180d
Metals,21.41,830,-21.71,180d
Pharma,16.02,871,-13.04,180d
Realty,14.61,761,-20.26,180d
Telecom,9.04,654,-22.03,180d
Auto,34.21,871,-15.79,270d
Banking,24.66,871,-17.44,270d
Consumer,28.38,870,-12.6,270d
Defense,28.64,427,-23.27,270d
Energy,16.04,870,-17.52,270d
IT_Services,30.64,870,-14.99,270d
Industrials,30.42,873,-18.26,270d
Metals,33.08,830,-25.6,270d
Pharma,25.35,871,-14.45,270d
Realty,21.44,761,-23.04,270d
Telecom,13.19,654,-25.53,270d
Auto,31.96,871,-15.47,1yr
Banking,23.05,871,-17.1,1yr
Consumer,26.3,870,-12.46,1yr
Defense,26.05,427,-22.6,1yr
Energy,15.01,870,-17.08,1yr
IT_Services,28.81,870,-14.73,1yr
Industrials,28.32,873,-17.88,1yr
Metals,30.68,830,-24.89,1yr
Pharma,23.33,871,-14.19,1yr
Realty,19.81,761,-22.53,1yr
Telecom,12.72,654,-24.87,1yr
Auto,115.59,871,-20.92,3yr
Banking,64.18,871,-21.72,3yr
Consumer,96.02,870,-14.82,3yr
Defense,165.67,427,-35.29,3yr
Energy,56.83,870,-23.82,3yr
IT_Services,81.22,870,-17.87,3yr
Industrials,93.02,873,-24.42,3yr
Metals,69.37,830,-36.81,3yr
Pharma,81.46,871,-18.66,3yr
Realty,79.39,761,-28.36,3yr
Telecom,42.55,654,-34.88,3yr
