Date,Equity,Cash,Holdings
2026-02-11,998723.1825324097,360314.44873724366,15
2026-02-11,998723.1825324097,360314.44873724366,15
2026-02-11,1003858.2492133179,360314.44873724366,15
2026-02-11,1003858.2492133179,360314.44873724366,15
2026-02-12,1007097.9040900269,360314.44873724366,15
2026-02-12,1007097.9040900269,360314.44873724366,15
2026-02-13,994283.6054342652,331651.4867819214,15
2026-02-17,987303.8980214234,288891.30469866947,15
2026-02-17,987851.0713612671,288891.30469866947,15
2026-02-17,990388.0772206421,288891.30469866947,15
2026-02-18,990344.3077199097,288891.30469866947,15
2026-02-18,995051.8847157593,288891.30469866947,15
2026-02-20,985356.3077809449,288891.30469866947,15
