Ticker,Action,Date,Price,PnL,PnL%,Reason
APARINDS.NS,BUY,2026-02-20,10776.0,0,0,Composite RS: +36.4
HINDCOPPER.NS,BUY,2026-02-20,564.0,0,0,Composite RS: +33.8
SCHNEIDER.NS,BUY,2026-02-20,882.25,0,0,Composite RS: +32.8
GVT&D.NS,BUY,2026-02-20,3702.8,0,0,Composite RS: +30.5
POWERINDIA.NS,BUY,2026-02-20,24163.0,0,0,Composite RS: +28.4
FORCEMOT.NS,BUY,2026-02-20,24475.0,0,0,Composite RS: +27.9
BHARATFORG.NS,BUY,2026-02-20,1816.7,0,0,Composite RS: +26.7
VTL.NS,BUY,2026-02-20,529.15,0,0,Composite RS: +26.1
AMBER.NS,BUY,2026-02-20,7829.5,0,0,Composite RS: +24.5
KIRLOSENG.NS,BUY,2026-02-20,1398.5,0,0,Composite RS: +23.7
HINDCOPPER.NS,SELL,2026-03-04,546.8,-3237.97,-3.05,Trend Break (< MA50)
STLTECH.NS,BUY,2026-03-05,173.53,0,0,Composite RS: +51.1
KRN.NS,BUY,2026-03-05,953.6,0,0,Composite RS: +31.0
POWERINDIA.NS,BUY,2026-03-05,25305.0,0,0,Composite RS: +30.9
SAILIFE.NS,BUY,2026-03-05,1069.2,0,0,Composite RS: +30.5
KIRLOSENG.NS,BUY,2026-03-05,1468.0,0,0,Composite RS: +28.7
NATIONALUM.NS,BUY,2026-03-05,395.95,0,0,Composite RS: +28.1
TEJASNET.NS,BUY,2026-03-05,492.4,0,0,Composite RS: +27.1
FINCABLES.NS,BUY,2026-03-05,918.0,0,0,Composite RS: +25.8
SANSERA.NS,BUY,2026-03-05,2233.7,0,0,Composite RS: +25.1
DATAPATTNS.NS,BUY,2026-03-05,3359.2,0,0,Composite RS: +25.0
DYNAMATECH.NS,BUY,2026-03-05,10690.0,0,0,Composite RS: +24.9
BANDHANBNK.NS,BUY,2026-03-05,185.03,0,0,Composite RS: +23.5
GVT&D.NS,BUY,2026-03-05,3824.4,0,0,Composite RS: +23.0
AMBER.NS,BUY,2026-03-05,7825.5,0,0,Composite RS: +21.6
GESHIP.NS,BUY,2026-03-05,1389.4,0,0,Composite RS: +21.2
TEJASNET.NS,SELL,2026-03-13,424.45,-9287.85,-13.8,Trailing Stop (-12% [CAUTION])
SANSERA.NS,SELL,2026-03-13,1953.4,-8242.0,-12.55,Trend Break (< MA50)
DYNAMATECH.NS,SELL,2026-03-13,9080.0,-9768.96,-15.06,Trend Break (< MA50)
AMBER.NS,SELL,2026-03-13,6446.0,-11139.14,-17.63,Trend Break (< MA50)
FINCABLES.NS,SELL,2026-03-16,845.0,-5377.68,-7.95,Trailing Stop (-12% [CAUTION])
BANDHANBNK.NS,SELL,2026-03-16,162.54,-8190.62,-12.15,Trailing Stop (-12% [CAUTION])
STLTECH.NS,SELL,2026-03-17,176.16,874.63,1.52,Trailing Stop (-12% [CAUTION])
KIRLOSENG.NS,SELL,2026-03-23,1287.7,-8229.4,-12.28,Trend Break (< MA50)
NATIONALUM.NS,SELL,2026-03-23,349.75,-7879.12,-11.67,Trend Break (< MA50)
DATAPATTNS.NS,SELL,2026-03-23,3072.6,-5562.16,-8.53,Trailing Stop (-12% [CAUTION])
AETHER.NS,BUY,2026-03-24,1224.65,0,0,Composite RS: +43.4
ACUTAAS.NS,BUY,2026-03-24,2435.3,0,0,Composite RS: +36.2
ENTERO.NS,BUY,2026-03-24,1226.0,0,0,Composite RS: +30.5
LINDEINDIA.NS,BUY,2026-03-24,7393.5,0,0,Composite RS: +25.9
ACI.NS,BUY,2026-03-24,607.3,0,0,Composite RS: +22.0
TEJASNET.NS,BUY,2026-03-24,420.75,0,0,Composite RS: +21.7
BELRISE.NS,BUY,2026-03-24,193.66,0,0,Composite RS: +19.8
EMCURE.NS,BUY,2026-03-24,1539.7,0,0,Composite RS: +19.1
PREMIERENE.NS,BUY,2026-03-24,889.35,0,0,Composite RS: +18.7
VTL.NS,BUY,2026-03-24,534.6,0,0,Composite RS: +18.6
ACUTAAS.NS,SELL,2026-04-02,2110.2,-7903.69,-13.35,Trailing Stop (-12% [CAUTION])
GESHIP.NS,SELL,2026-04-13,1335.3,-2668.22,-3.89,Trend Break (< MA50)
STLTECH.NS,BUY,2026-04-16,256.35,0,0,Composite RS: +90.7
GALLANTT.NS,BUY,2026-04-16,927.1,0,0,Composite RS: +63.6
SAILIFE.NS,SELL,2026-04-20,959.4,-6926.56,-10.27,Trend Break (< MA50)
TEJASNET.NS,SELL,2026-04-23,402.15,-2794.22,-4.42,Trend Break (< MA50)
HFCL.NS,BUY,2026-05-06,141.46,0,0,Composite RS: +90.7
MTARTECH.NS,BUY,2026-05-06,6286.5,0,0,Composite RS: +81.6
KRN.NS,SELL,2026-05-13,1140.2,12718.05,19.57,Trailing Stop (-12% [CAUTION])
ACI.NS,SELL,2026-05-13,560.0,-4842.0,-7.79,Trend Break (< MA50)
GALLANTT.NS,SELL,2026-05-13,797.6,-8652.28,-13.97,Trailing Stop (-12% [CAUTION])
AETHER.NS,SELL,2026-05-14,1106.3,-5907.57,-9.66,Trend Break (< MA50)
ENTERO.NS,SELL,2026-05-14,1165.9,-3059.16,-4.9,Trend Break (< MA50)
LINDEINDIA.NS,SELL,2026-05-22,7222.0,-1487.55,-2.32,Trend Break (< MA50)
SPARC.NS,BUY,2026-05-25,232.99,0,0,Composite RS: +71.3
BALAMINES.NS,BUY,2026-05-25,1920.9,0,0,Composite RS: +60.1
AVALON.NS,BUY,2026-05-25,1511.2,0,0,Composite RS: +44.1
SUNFLAG.NS,BUY,2026-05-25,388.45,0,0,Composite RS: +43.5
BHEL.NS,BUY,2026-05-25,419.4,0,0,Composite RS: +39.7
MTARTECH.NS,SELL,2026-06-01,7069.5,6919.75,12.46,Trailing Stop (-12% [CAUTION])
SPARC.NS,SELL,2026-06-01,196.37,-9438.25,-15.72,Trailing Stop (-12% [CAUTION])
SUNFLAG.NS,SELL,2026-06-08,350.25,-5990.68,-9.83,Trailing Stop (-12% [CAUTION])
POWERINDIA.NS,SELL,2026-06-10,33265.0,15786.94,31.46,Trailing Stop (-12% [CAUTION])
HFCL.NS,SELL,2026-06-10,169.11,11334.39,19.55,Trailing Stop (-12% [CAUTION])
STLTECH.NS,SELL,2026-06-11,568.4,74930.09,121.73,Trailing Stop (-12% [CAUTION])
BHEL.NS,SELL,2026-06-11,370.65,-7027.76,-11.62,Trailing Stop (-12% [CAUTION])
OLAELEC.NS,BUY,2026-06-12,45.74,0,0,Composite RS: +50.3
PARAS.NS,BUY,2026-06-12,1097.15,0,0,Composite RS: +46.1
AEGISLOG.NS,BUY,2026-06-12,944.4,0,0,Composite RS: +45.9
ORCHPHARMA.NS,BUY,2026-06-12,917.1,0,0,Composite RS: +44.7
SYRMA.NS,BUY,2026-06-12,1266.7,0,0,Composite RS: +38.9
IFCI.NS,BUY,2026-06-12,84.57,0,0,Composite RS: +38.8
APARINDS.NS,BUY,2026-06-12,15221.0,0,0,Composite RS: +36.6
SHILPAMED.NS,BUY,2026-06-12,546.75,0,0,Composite RS: +36.0
PARAS.NS,SELL,2026-06-25,1233.75,8316.21,12.45,Trailing Stop (-12% [CAUTION])
IFCI.NS,SELL,2026-06-25,77.0,-6356.85,-8.95,Trailing Stop (-12% [CAUTION])
PREMIERENE.NS,SELL,2026-06-29,1029.3,9376.62,15.74,Trend Break (< MA50)
BALAMINES.NS,SELL,2026-06-29,1892.2,-1007.02,-1.49,Trailing Stop (-12% [CAUTION])
APARINDS.NS,SELL,2026-07-01,14598.0,-2608.78,-4.09,Trailing Stop (-12% [CAUTION])
GVT&D.NS,SELL,2026-07-02,4822.8,16808.82,26.11,Trailing Stop (-12% [CAUTION])
CEMPRO.NS,BUY,2026-07-02,1431.4,0.0,0.0,Composite RS: +84.3
CUPID.NS,BUY,2026-07-02,192.06,0.0,0.0,Composite RS: +68.3
BLUSPRING.NS,BUY,2026-07-02,119.84,0.0,0.0,Composite RS: +67.4
GOLDTECH.NS,BUY,2026-07-02,67.86,0.0,0.0,Composite RS: +64.0
BLISSGVS.NS,BUY,2026-07-02,527.1,0.0,0.0,Composite RS: +56.8
ASTRAMICRO.NS,BUY,2026-07-02,1795.7,0.0,0.0,Composite RS: +54.8
BELRISE.NS,SELL,2026-07-06,222.3,8825.16,14.79,Trend Break (< MA50)
BLUSPRING.NS,SELL,2026-07-07,106.87,-5352.6,-10.82,Trailing Stop (-12% [CAUTION])
GOLDTECH.NS,SELL,2026-07-07,58.19,-7016.84,-14.25,Trailing Stop (-12% [CAUTION])
OLAELEC.NS,SELL,2026-07-10,40.41,-8175.75,-11.65,Trend Break (< MA50)
AEGISLOG.NS,SELL,2026-07-14,1222.5,20122.81,29.45,Trailing Stop (-12% [CAUTION])
