signal_date,ticker,name,sector,signal_price,current_price,jump_pct,vol_mult,pead_action,return_since_signal,return_5d,return_21d,days_held,status
2026-05-18,GLAND.NS,Gland Pharma Limited,Pharma & Healthcare,2124.0,2462.3,13.69,21.5,🟡 Neutral (Priced-In),15.93,,,46,CLOSED
2026-05-18,GESHIP.NS,The Great Eastern Shipping Company Limited,Infrastructure,1702.1,1440.4,10.97,7.3,🟡 Neutral (Priced-In),-15.38,,,46,CLOSED
2026-05-19,PURVA.NS,Puravankara Limited,Real Estate,242.8,216.23,13.97,36.0,🟢 Buy (Drifter),-10.94,,,45,CLOSED
2026-05-19,SPARC.NS,Sun Pharma Advanced Research Company Limited,Pharma & Healthcare,171.3,237.5,5.57,3.6,🟡 Neutral (Priced-In),38.65,,,45,CLOSED
2026-05-19,GNFC.NS,Gujarat Narmada Valley Fertilizers & Chemicals Limited,Chemicals,543.0,529.2,4.6,9.3,🟡 Neutral (Priced-In),-2.54,,,45,CLOSED
2026-05-19,JKPAPER.NS,JK Paper Limited,Cement & Materials,387.6,341.65,4.39,4.5,Unknown,-11.86,,,45,CLOSED
2026-05-19,GESHIP.NS,The Great Eastern Shipping Company Limited,Infrastructure,1787.0,1440.4,5.33,3.8,🟡 Neutral (Priced-In),-19.4,,,45,CLOSED
2026-05-19,ANGELONE.NS,Angel One Limited,Financial Services,319.4,352.25,5.08,3.2,🟢 Buy (Drifter),10.28,,,45,CLOSED
2026-05-19,SUPRIYA.NS,Supriya Lifescience Limited,Pharma & Healthcare,714.3,1009.3,4.44,2.7,🟡 Neutral (Priced-In),41.3,,,45,CLOSED
2026-05-19,ENTERO.NS,Entero Healthcare Solutions Limited,Pharma & Healthcare,1240.1,1212.4,4.05,2.7,🟡 Neutral (Priced-In),-2.23,,,45,CLOSED
2026-06-03,IFCI.NS,IFCI Limited,Financial Services,80.4,76.59,12.3,3.0,🟢 Buy (Drifter),-4.74,,,30,CLOSED
2026-06-03,OLAELEC.NS,OLAELEC.NS,Auto,43.7,45.02,9.8,3.3,🟡 Neutral (Priced-In),3.02,,,30,CLOSED
2026-06-03,RHIM.NS,RHI Magnesita India Limited,Capital Goods,377.5,387.7,9.5,2.7,🟢 Buy (Drifter),2.7,,,30,CLOSED
2026-06-03,CARTRADE.NS,CarTrade Tech Limited,IT & Technology,1961.7,2699.6,9.3,2.7,🟢 Buy (Drifter),37.62,,,30,CLOSED
2026-06-03,LXCHEM.NS,Laxmi Organic Industries Limited,Chemicals,164.6,155.44,9.2,2.3,🟡 Neutral (Priced-In),-5.57,,,30,CLOSED
2026-06-03,KPRMILL.NS,K.P.R. Mill Limited,Textiles,1085.8,1191.6,8.7,3.0,🟡 Neutral (Priced-In),9.74,,,30,CLOSED
2026-06-03,BORORENEW.NS,Borosil Renewables Limited,Capital Goods,544.6,621.7,8.6,3.0,🟢 Buy (Drifter),14.16,,,30,CLOSED
2026-06-03,RRKABEL.NS,R R Kabel Limited,Capital Goods,2155.9,2381.7,6.5,3.0,🟢 Buy (Drifter),10.47,,,30,CLOSED
2026-06-03,ATHERENERG.NS,Ather Energy Limited,Auto,1022.0,1130.0,6.4,2.7,🟡 Neutral (Priced-In),10.57,,,30,CLOSED
2026-06-03,TEJASNET.NS,Tejas Networks Limited,Telecom,569.2,607.1,5.9,2.3,🟡 Neutral (Priced-In),6.66,,,30,CLOSED
2026-06-03,WOCKPHARMA.NS,Wockhardt Limited,Pharma & Healthcare,2073.9,1962.7,5.5,2.3,🟡 Neutral (Priced-In),-5.36,,,30,CLOSED
2026-06-03,BALAMINES.NS,Balaji Amines Limited,Chemicals,2122.2,2194.2,5.3,3.0,🟡 Neutral (Priced-In),3.39,,,30,CLOSED
2026-06-03,HFCL.NS,HFCL Limited,Telecom,199.4,214.48,5.0,3.0,🟡 Neutral (Priced-In),7.56,,,30,CLOSED
2026-06-03,RELINFRA.NS,Reliance Infrastructure Limited,Power & Utilities,74.2,73.61,5.0,2.7,🟢 Buy (Drifter),-0.8,,,30,CLOSED
2026-06-03,STLTECH.NS,Sterlite Technologies Limited,Telecom,620.6,590.75,5.0,3.3,🟡 Neutral (Priced-In),-4.81,,,30,CLOSED
2026-06-03,IDEA.NS,Vodafone Idea Limited,Telecom,14.9,14.25,4.9,3.3,🟡 Neutral (Priced-In),-4.36,,,30,CLOSED
2026-06-03,MRPL.NS,Mangalore Refinery and Petrochemicals Limited,Oil & Gas,154.2,148.13,4.9,3.0,🟡 Neutral (Priced-In),-3.94,,,30,CLOSED
2026-06-03,ABDL.NS,ABDL.NS,Consumer Goods,572.2,655.15,4.7,3.0,🟢 Buy (Drifter),14.5,,,30,CLOSED
2026-06-03,J&KBANK.NS,Jammu and Kashmir Bank Limited,Banking,148.6,156.2,4.7,3.0,🟡 Neutral (Priced-In),5.11,,,30,CLOSED
2026-06-03,THANGAMAYL.NS,Thangamayil Jewellery Limited,Consumer Durables,4795.0,5945.5,4.5,2.3,🟡 Neutral (Priced-In),23.99,,,30,CLOSED
2026-06-03,VIPIND.NS,V.I.P. Industries Limited,Consumer Durables,332.5,303.65,4.5,3.0,🟡 Neutral (Priced-In),-8.68,,,30,CLOSED
2026-06-03,CHENNPETRO.NS,Chennai Petroleum Corporation Limited,Oil & Gas,1189.8,1125.8,4.2,2.3,🟡 Neutral (Priced-In),-5.38,,,30,CLOSED
2026-06-03,TDPOWERSYS.NS,TD Power Systems Limited,Capital Goods,1286.3,1193.3,4.2,2.7,🟢 Buy (Drifter),-7.23,,,30,CLOSED
2026-06-03,IIFL.NS,IIFL Finance Limited,Financial Services,498.8,495.65,4.0,2.3,🟢 Buy (Drifter),-0.63,,,30,CLOSED
2026-06-03,JINDALSAW.NS,Jindal Saw Limited,Metals & Mining,250.9,260.25,4.0,2.7,🟢 Buy (Drifter),3.73,,,30,CLOSED
2026-06-04,MSTCLTD.NS,MSTC Limited,Capital Goods,531.8,715.8,19.1,3.0,🟢 Buy (Drifter),34.6,,,29,CLOSED
