date,strong_momentum,total_uptrends,avg_trend_score,breakout_alerts
2024-03-13,0.0,2.0,16.6,2.1
2024-03-14,0.0,6.4,22.4,6.5
2024-03-15,0.0,5.6,22.3,6.1
2024-03-18,0.0,6.4,22.9,6.8
2024-03-19,0.0,4.5,20.1,4.8
2024-03-20,0.0,4.5,20.1,4.7
2024-03-21,0.0,7.4,24.3,8.2
2024-03-22,0.0,10.3,26.4,10.8
2024-03-26,0.0,11.5,26.6,12.0
2024-03-27,0.0,12.1,27.9,12.4
2024-03-28,0.0,14.2,29.8,14.8
2024-04-01,0.0,17.5,35.5,19.1
2024-04-02,0.0,22.7,38.2,23.9
2024-04-03,0.0,25.1,40.7,26.3
2024-04-04,0.0,25.4,41.6,26.0
2024-04-05,0.0,26.8,42.7,27.0
2024-04-08,0.0,25.4,42.2,25.5
2024-04-09,0.0,24.5,41.4,24.5
2024-04-10,0.0,24.9,42.7,25.2
2024-04-12,0.0,22.3,40.7,22.4
2024-04-15,0.0,14.6,35.8,14.7
2024-04-16,0.0,17.1,37.0,17.4
2024-04-18,0.0,16.8,35.8,17.0
2024-04-19,0.0,17.4,35.9,17.6
2024-04-22,0.0,23.5,39.0,23.6
2024-04-23,0.0,24.7,41.0,24.9
2024-04-24,0.0,25.6,43.0,25.8
2024-04-25,0.0,27.1,44.4,27.5
2024-04-26,0.0,27.4,44.3,27.5
2024-04-29,0.0,27.5,45.1,27.8
2024-04-30,0.0,27.0,44.8,27.5
2024-05-02,0.0,29.4,45.3,29.5
2024-05-03,0.0,26.8,43.8,26.8
2024-05-06,0.0,20.2,40.5,20.2
2024-05-07,0.0,10.1,36.5,10.1
2024-05-08,0.0,16.4,38.0,16.4
2024-05-09,0.0,7.0,32.0,7.0
2024-05-10,0.0,10.7,34.1,10.9
2024-05-13,0.0,11.1,34.1,11.3
2024-05-14,0.0,16.7,37.9,16.7
2024-05-15,0.0,19.4,39.3,19.4
2024-05-16,0.0,22.7,40.7,22.7
2024-05-17,0.0,25.4,42.7,25.5
2024-05-21,0.0,24.9,43.2,24.9
2024-05-22,0.0,25.2,43.4,25.2
2024-05-23,0.0,24.8,43.6,24.9
2024-05-24,0.0,23.0,42.3,23.3
2024-05-27,0.0,20.8,42.1,20.8
2024-05-28,0.0,16.3,39.6,16.3
2024-05-29,0.0,16.6,38.9,16.9
2024-05-30,0.0,11.9,35.3,11.9
2024-05-31,0.0,15.2,35.9,15.2
2024-06-03,0.0,23.3,40.0,23.5
2024-06-04,0.0,3.1,25.2,3.1
2024-06-05,0.0,10.0,32.7,10.3
2024-06-06,0.0,15.2,38.0,15.5
2024-06-07,0.0,23.2,42.9,23.3
2024-06-10,0.0,24.0,45.2,24.0
2024-06-11,0.0,27.0,46.8,27.0
2024-06-12,0.0,29.5,48.2,29.6
2024-06-13,0.0,32.7,49.3,32.7
2024-06-14,0.0,34.5,50.3,34.5
2024-06-18,0.0,35.6,50.8,35.9
2024-06-19,0.0,28.3,48.9,28.3
