Company Name,Ticker,Sector
MMTC Limited,MMTC,Trading & Distributors
Rail Vikas Nigam Limited,RVNL,Civil Construction
Indian Railway Finance Corporation Limited,IRFC,Financial Institution
Hindustan Copper Limited,HINDCOPPER,Copper
Gujarat Mineral Development Corporation Limited,GMDCLTD,Industrial Minerals
Railtel Corporation Of India Limited,RAILTEL,Other Telecom Services
Karur Vysya Bank Limited,KARURVYSYA,Private Sector Bank
NBCC (India) Limited,NBCC,Civil Construction
TITAGARH RAIL SYSTEMS LIMITED,TITAGARH,Railway Wagons
Craftsman Automation Limited,CRAFTSMAN,Auto Components & Equipments
Ircon International Limited,IRCON,Civil Construction
Indian Railway Catering And Tourism Corporation Limited,IRCTC,Tour Travel Related Services
RITES Limited,RITES,Civil Construction
Leela Palaces Hotels & Resorts Limited,THELEELA,Hotels & Resorts
Aster DM Healthcare Limited,ASTERDM,Hospital
National Aluminium Company Limited,NATIONALUM,Aluminium
Shipping Corporation Of India Limited,SCI,Shipping
Castrol India Limited,CASTROLIND,Lubricants
Housing & Urban Development Corporation Limited,HUDCO,Financial Institution
Dalmia Bharat Limited,DALBHARAT,Cement & Cement Products
Asahi India Glass Limited,ASAHIINDIA,Auto Components & Equipments
The New India Assurance Company Limited,NIACL,General Insurance
Ola Electric Mobility Limited,OLAELEC,2/3 Wheelers
PTC Industries Limited,PTCIL,Other Industrial Products
Titan Company Limited,TITAN,Gems Jewellery And Watches
Sonata Software Limited,SONATSOFTW,Computers - Software & Consulting
Container Corporation of India Limited,CONCOR,Logistics Solution Provider
Gillette India Limited,GILLETTE,Personal Care
Multi Commodity Exchange of India Limited,MCX,Exchange and Data Platform
Engineers India Limited,ENGINERSIN,Civil Construction
International Gemmological Institute (India) Limited,IGIL,Diversified Commercial Services
Linde India Limited,LINDEINDIA,Industrial Gases
Indian Renewable Energy Development Agency Limited,IREDA,Financial Institution
Hindustan Zinc Limited,HINDZINC,Zinc
Graphite India Limited,GRAPHITE,Electrodes & Refractories
Garden Reach Shipbuilders & Engineers Limited,GRSE,Aerospace & Defense
Adani Energy Solutions Limited,ADANIENSOL,Power Distribution
HBL Engineering Limited,HBLENGINE,Other Industrial Products
HEG Limited,HEG,Electrodes & Refractories
APL Apollo Tubes Limited,APLAPOLLO,Iron & Steel Products
The India Cements Limited,INDIACEM,Cement & Cement Products
Onesource Specialty Pharma Limited,ONESOURCE,Pharmaceuticals
ITC Hotels Limited,ITCHOTELS,Hotels & Resorts
Fertilizers and Chemicals Travancore Limited,FACT,Fertilizers
IPCA Laboratories Limited,IPCALAB,Pharmaceuticals
Torrent Power Limited,TORNTPOWER,Integrated Power Utilities
Deepak Nitrite Limited,DEEPAKNTR,Specialty Chemicals
Abbott India Limited,ABBOTINDIA,Pharmaceuticals
NMDC Limited,NMDC,Industrial Minerals
Jupiter Wagons Limited,JWL,Railway Wagons
SHREE CEMENT LIMITED,SHREECEM,Cement & Cement Products
Varun Beverages Limited,VBL,Other Beverages
Metropolis Healthcare Limited,METROPOLIS,Healthcare Service Provider
Marico Limited,MARICO,Edible Oil
Bikaji Foods International Limited,BIKAJI,Packaged Foods
Ambuja Cements Limited,AMBUJACEM,Cement & Cement Products
Siemens Energy India Limited,ENRIN,Heavy Electrical Equipment
EIH Limited,EIHOTEL,Hotels & Resorts
Adani Total Gas Limited,ATGL,LPG/CNG/PNG/LNG Supplier
IDFC First Bank Limited,IDFCFIRSTB,Private Sector Bank
Schaeffler India Limited,SCHAEFFLER,Auto Components & Equipments
Hindalco Industries Limited,HINDALCO,Aluminium
Emcure Pharmaceuticals Limited,EMCURE,Pharmaceuticals
BEML Limited,BEML,Construction Vehicles
Mahindra & Mahindra Financial Services Limited,M&MFIN,Non Banking Financial Company (NBFC)
Poonawalla Fincorp Limited,POONAWALLA,Non Banking Financial Company (NBFC)
Nuvoco Vistas Corporation Limited,NUVOCO,Cement & Cement Products
Bharat Heavy Electricals Limited,BHEL,Heavy Electrical Equipment
Sumitomo Chemical India Limited,SUMICHEM,Pesticides & Agrochemicals
Nestle India Limited,NESTLEIND,Packaged Foods
SAGILITY LIMITED,SAGILITY,IT Enabled Services
Akums Drugs and Pharmaceuticals Limited,AKUMS,Pharmaceuticals
Choice International Limited,CHOICEIN,Holding Company
Oberoi Realty Limited,OBEROIRLTY,Residential Commercial Projects
IDBI Bank Limited,IDBI,Private Sector Bank
Neuland Laboratories Limited,NEULANDLAB,Pharmaceuticals
Power Finance Corporation Limited,PFC,Financial Institution
Bharti Hexacom Limited,BHARTIHEXA,Telecom - Cellular & Fixed line services
Pidilite Industries Limited,PIDILITIND,Specialty Chemicals
RHI MAGNESITA INDIA LIMITED,RHIM,Electrodes & Refractories
Kfin Technologies Limited,KFINTECH,Depositories Clearing Houses and Other Intermediaries
REC Limited,RECLTD,Financial Institution
Kalyan Jewellers India Limited,KALYANKJIL,Gems Jewellery And Watches
Afcons Infrastructure Limited,AFCONS,Civil Construction
EID Parry India Limited,EIDPARRY,Other Food Products
