ticker,name,sector,sub_industry
XOM,Exxon Mobil,Energy,Integrated Oil & Gas
CVX,Chevron,Energy,Integrated Oil & Gas
COP,ConocoPhillips,Energy,Oil & Gas Exploration & Production
EOG,EOG Resources,Energy,Oil & Gas Exploration & Production
SLB,Schlumberger,Energy,Oil & Gas Equipment & Services
MPC,Marathon Petroleum,Energy,Oil & Gas Refining & Marketing
PSX,Phillips 66,Energy,Oil & Gas Refining & Marketing
VLO,Valero Energy,Energy,Oil & Gas Refining & Marketing
OXY,Occidental Petroleum,Energy,Oil & Gas Exploration & Production
PXD,Pioneer Natural Resources,Energy,Oil & Gas Exploration & Production
HAL,Halliburton,Energy,Oil & Gas Equipment & Services
HES,Hess,Energy,Oil & Gas Exploration & Production
DVN,Devon Energy,Energy,Oil & Gas Exploration & Production
FANG,Diamondback Energy,Energy,Oil & Gas Exploration & Production
BKR,Baker Hughes,Energy,Oil & Gas Equipment & Services
TRGP,Targa Resources,Energy,Oil & Gas Storage & Transportation
WMB,Williams Companies,Energy,Oil & Gas Storage & Transportation
KMI,Kinder Morgan,Energy,Oil & Gas Storage & Transportation
OKE,ONEOK,Energy,Oil & Gas Storage & Transportation
LIN,Linde,Materials,Industrial Gases
APD,Air Products & Chemicals,Materials,Industrial Gases
ECL,Ecolab,Materials,Specialty Chemicals
SHW,Sherwin-Williams,Materials,Specialty Chemicals
FCX,Freeport-McMoRan,Materials,Copper
NEM,Newmont,Materials,Gold
NUE,Nucor,Materials,Steel
ALB,Albemarle,Materials,Specialty Chemicals
PPG,PPG Industries,Materials,Specialty Chemicals
VMC,Vulcan Materials,Materials,Construction Materials
MLM,Martin Marietta,Materials,Construction Materials
IP,International Paper,Materials,Paper & Forest Products
PKG,Packaging Corp of America,Materials,Paper & Forest Products
CE,Celanese,Materials,Commodity Chemicals
DD,DuPont,Materials,Specialty Chemicals
EMN,Eastman Chemical,Materials,Specialty Chemicals
FMC,FMC Corp,Materials,Fertilizers & Agricultural Chemicals
IFF,International Flavors & Fragrances,Materials,Specialty Chemicals
MOS,The Mosaic Co,Materials,Fertilizers & Agricultural Chemicals
