record_date,sub_industry,rs_momentum,top_components
2026-02-27,Aerospace & Defense,-1.07,"DATAPATTNS.NS, BEL.NS, GRSE.NS"
2026-02-27,Auto,4.98,"BHARATFORG.NS, FORCEMOT.NS, ASHOKLEY.NS"
2026-02-27,Automobile and Auto Components,8.79,"JAMNAAUTO.NS, CIEINDIA.NS, BELRISE.NS"
2026-02-27,Banking,8.87,"MAHABANK.NS, BANDHANBNK.NS, KARURVYSYA.NS"
2026-02-27,Capital Goods,6.53,"KRN.NS, APARINDS.NS, POWERINDIA.NS"
2026-02-27,Cement & Materials,-1.77,"GRASIM.NS, JKCEMENT.NS, KAJARIACER.NS"
2026-02-27,Chemicals,0.02,"AARTIIND.NS, LINDEINDIA.NS, FINEORG.NS"
2026-02-27,Construction,-5.76,"ISGEC.NS, CEIGALL.NS, GRINFRA.NS"
2026-02-27,Construction Materials,1.17,"RAMCOCEM.NS, ULTRACEMCO.NS, BIRLACORPN.NS"
2026-02-27,Consumer Durables,-0.42,"AMBER.NS, VOLTAS.NS, PGEL.NS"
2026-02-27,Consumer Goods,1.51,"GODREJAGRO.NS, BALRAMCHIN.NS, HONASA.NS"
2026-02-27,Consumer Services,-2.64,"EASEMYTRIP.NS, EMIL.NS, PARKHOTELS.NS"
2026-02-27,Diversified,1.21,"3MINDIA.NS, REDINGTON.NS, IGIL.NS"
2026-02-27,Fast Moving Consumer Goods,5.05,"AVANTIFEED.NS, TRIVENI.NS, GAEL.NS"
2026-02-27,Financial Services,-0.88,"UNIONBANK.NS, ABSLAMC.NS, SHRIRAMFIN.NS"
2026-02-27,Forest Materials,8.35,JKPAPER.NS
2026-02-27,Healthcare,1.64,"ACUTAAS.NS, TORNTPHARM.NS, WOCKPHARMA.NS"
2026-02-27,Hospitality,-4.03,"THELEELA.NS, BLS.NS, INDHOTEL.NS"
2026-02-27,IT & Technology,-14.63,"NETWEB.NS, BSOFT.NS, INDIAMART.NS"
2026-02-27,Information Technology,-11.98,"DATAMATICS.NS, AURIONPRO.NS, WIPRO.NS"
2026-02-27,Infrastructure,1.79,"ENGINERSIN.NS, SCI.NS, GESHIP.NS"
2026-02-27,Insurance,3.72,"MFSL.NS, ICICIPRULI.NS, SBILIFE.NS"
2026-02-27,Media,6.91,"SUNTV.NS, PVRINOX.NS, SAREGAMA.NS"
2026-02-27,Media Entertainment & Publication,-0.71,ZEEL.NS
2026-02-27,Metals & Mining,6.92,"APLAPOLLO.NS, TATASTEEL.NS, SARDAEN.NS"
2026-02-27,Oil & Gas,5.35,"IOC.NS, MRPL.NS, PETRONET.NS"
2026-02-27,Oil Gas & Consumable Fuels,3.04,GULFOILLUB.NS
2026-02-27,Other,-2.42,"MTARTECH.NS, SHARDACROP.NS, LUMAXTECH.NS"
2026-02-27,Pharma & Healthcare,3.33,"NATCOPHARM.NS, SAILIFE.NS, KIMS.NS"
2026-02-27,Power,5.07,"TORNTPOWER.NS, GMRP&UI.NS, KPIGREEN.NS"
2026-02-27,Power & Utilities,5.53,"POWERGRID.NS, NTPC.NS, NAVA.NS"
2026-02-27,Real Estate,-2.12,"SIGNATURE.NS, ANANTRAJ.NS, OBEROIRLTY.NS"
2026-02-27,Realty,-9.62,"EMBDL.NS, GANESHHOU.NS"
2026-02-27,Retail,-3.82,"NYKAA.NS, DEVYANI.NS, DMART.NS"
2026-02-27,Services,-8.29,"HEMIPROP.NS, GATEWAY.NS, GPPL.NS"
2026-02-27,Telecom,0.44,"TEJASNET.NS, INDUSTOWER.NS, HFCL.NS"
2026-02-27,Telecommunication,6.91,IDEA.NS
2026-02-27,Textiles,0.66,"VTL.NS, ARVIND.NS, GANECOS.NS"
2026-02-27,Utilities,-14.15,EIEL.NS
