Ticker,Name,Sub_Industry,Cycle,CMP,Off_52W_High,Off_52W_Low,Off_MA50,MA50,Off_MA200,MA200,RS5,RS21,RS63,CompRS,RS21_Delta5,Liq5Cr,LiqFromLow,VolQuality,Shock_Ratio,IAS,IAS_Vel,IAS_Lfl,IAS_Price,IAS_RS63,Tier,V21_CRS_Gap,V21_MA50_Gap,Date
ANANTRAJ.NS,ANANTRAJ,Realty,LONG,552.2,-24.9,36.1,11.9,493.4,0.1,551.5,11.4,10.8,10.9,10.933,9.51,242.8,50.0,0.58,0.601,100.0,35.0,30,20.0,15.0,ALERT,0.0,0.0,2026-06-02
COFORGE.NS,COFORGE,IT - Software,LONG,1519.5,-23.0,41.5,19.7,1269.1,-2.2,1553.7,8.6,34.6,34.5,31.942,15.51,643.5,50.0,0.92,0.634,100.0,35.0,30,20.0,15.0,ALERT,0.0,0.0,2026-06-02
CARTRADE.NS,CARTRADE,IT - Services,MID,1795.0,-45.1,18.8,1.8,1762.8,-23.2,2337.0,2.6,12.7,8.7,10.099,7.68,115.7,3.2,0.6,0.544,100.0,35.0,30,20.0,15.0,ALERT,0.0,0.0,2026-06-02
IFBIND.NS,IFBIND,Consumer Durables,SHORT,1317.8,-32.6,47.4,20.1,1097.4,-5.8,1398.8,27.5,17.5,26.8,22.215,26.4,120.1,42.2,0.95,0.337,100.0,35.0,30,20.0,15.0,ALERT,0.0,0.0,2026-06-02
HEXT.NS,HEXT,IT - Software,LONG,549.7,-36.6,37.6,17.6,467.4,-11.7,622.2,10.9,27.2,27.7,25.798,11.85,36.2,5.6,0.81,0.645,100.0,35.0,30,20.0,15.0,ALERT,0.0,0.0,2026-06-02
REDINGTON.NS,REDINGTON,Commercial Services & Supplies,MID,238.8,-26.0,19.4,9.2,218.6,-6.0,254.0,8.1,10.3,5.5,8.172,7.05,238.3,50.0,0.97,0.682,100.0,35.0,30,20.0,15.0,ALERT,0.0,0.0,2026-06-02
LATENTVIEW.NS,LATENTVIEW,IT - Software,LONG,325.3,-35.2,30.3,9.1,298.3,-17.1,392.2,4.8,13.7,5.4,9.479,6.39,39.2,50.0,0.8,0.567,100.0,35.0,30,20.0,15.0,ALERT,0.0,0.0,2026-06-02
ZENTEC.NS,ZENTEC,Aerospace & Defense,LONG,1672.4,-24.9,36.2,7.1,1561.1,16.4,1437.3,6.1,12.1,31.1,19.105,18.16,115.9,50.0,0.69,0.698,100.0,35.0,30,20.0,15.0,ALERT,0.0,0.0,2026-06-02
SAREGAMA.NS,SAREGAMA,Entertainment,SHORT,457.6,-20.2,47.1,27.4,359.1,17.1,390.6,17.3,35.2,46.7,38.018,24.39,242.3,50.0,1.0,0.453,100.0,35.0,30,20.0,15.0,ALERT,0.0,0.0,2026-06-02
ZEEL.NS,ZEEL,Media,SHORT,94.3,-35.7,37.9,11.6,84.5,-1.1,95.3,15.7,6.5,15.8,11.144,15.21,535.0,50.0,0.9,0.491,100.0,35.0,30,20.0,15.0,ALERT,0.0,0.0,2026-06-02
TATAELXSI.NS,TATAELXSI,IT - Software,LONG,4530.3,-31.7,13.9,6.2,4267.8,-9.6,5013.2,6.3,11.0,8.4,9.514,6.8,142.7,50.0,0.58,0.632,98.6,35.0,30,18.6,15.0,ALERT,0.0,0.0,2026-06-02
HCLTECH.NS,HCLTECH,IT - Software,LONG,1243.5,-26.7,10.6,-1.5,1262.4,-13.5,1438.0,8.8,6.2,0.2,4.056,10.87,651.4,50.0,1.0,0.367,94.2,35.0,30,14.2,15.0,ALERT,0.0,1.5,2026-06-02
BSOFT.NS,BSOFT,IT - Software,LONG,344.8,-25.9,11.4,-2.3,352.9,-9.7,381.8,8.1,-3.2,-2.3,-1.684,8.84,105.7,50.0,0.92,0.626,90.2,35.0,30,15.2,10.0,ALERT,168.42,2.3,2026-06-02
SAFARI.NS,SAFARI,Consumer Durables,SHORT,1629.0,-34.6,19.1,8.2,1505.4,-16.9,1959.8,9.8,17.5,-5.4,7.56,15.71,51.9,10.6,0.94,0.664,90.0,35.0,30,20.0,5.0,ALERT,0.0,0.0,2026-06-02
ZENSARTECH.NS,ZENSARTECH,IT - Software,LONG,520.0,-39.9,7.2,-2.1,530.9,-22.5,670.6,7.7,3.3,3.6,3.892,11.9,65.3,7.1,0.86,0.365,89.6,35.0,30,9.6,15.0,ALERT,0.0,2.1,2026-06-02
KFINTECH.NS,KFINTECH,Capital Markets,SHORT,858.8,-35.9,6.3,-4.2,896.2,-15.5,1016.5,4.4,2.0,-4.2,-0.227,14.16,75.0,50.0,0.82,0.688,83.3,35.0,30,8.3,10.0,ALERT,22.72,4.2,2026-06-02
SUNTV.NS,SUNTV,Media,SHORT,517.9,-20.6,6.4,-9.8,574.3,-8.2,564.0,6.8,-7.4,-7.2,-5.919,11.11,38.8,50.0,0.8,0.459,78.5,35.0,30,8.5,5.0,READY,591.87,9.8,2026-06-02
ALKYLAMINE.NS,ALKYLAMINE,Chemicals & Petrochemicals,SHORT,1778.7,-25.8,44.4,16.2,1530.3,5.5,1685.8,4.6,15.2,27.2,18.931,1.8,74.0,50.0,0.91,0.0,77.6,12.6,30,20.0,15.0,READY,0.0,0.0,2026-06-02
HCC.NS,HCC,Industrial Manufacturing,LONG,23.4,-35.6,70.6,18.4,19.8,6.2,22.0,8.5,7.4,39.3,20.294,0.74,114.8,50.0,0.61,0.0,70.2,5.2,30,20.0,15.0,READY,0.0,0.0,2026-06-02
KPITTECH.NS,KPITTECH,IT - Software,LONG,809.2,-42.7,28.1,11.4,726.5,-20.3,1014.8,4.9,7.9,9.9,8.4,0.47,139.3,50.0,0.69,0.0,68.3,3.3,30,20.0,15.0,READY,0.0,0.0,2026-06-02
