date,avg_trend_score,strong_momentum,total_uptrends,breakout_alerts,nifty_price,fwd_return_21d,fwd_return_30d,fwd_return_60d,fwd_return_90d,score_bin,score_change
2025-07-29,49.0,42,92,12,24821.099609375,0.64,-1.29,-0.75,4.61,45-55 (Neutral),
2025-07-30,41.0,22,50,5,24855.05078125,0.79,-1.72,-0.89,4.35,35-45 (Weak),-8.0
2025-07-31,42.0,37,50,11,24768.349609375,1.27,-0.58,-0.54,5.19,35-45 (Weak),1.0
2025-08-01,41.0,28,50,9,24565.349609375,1.24,0.24,0.19,5.34,35-45 (Weak),-1.0
2025-08-02,45.0,52,65,7,24722.75,0.99,-0.4,0.46,4.04,35-45 (Weak),4.0
2025-08-03,58.0,76,135,20,24722.75,0.99,-0.58,0.69,4.21,55-65 (Bullish),13.0
2025-08-04,33.0,20,50,7,24722.75,0.99,-0.03,0.69,4.21,0-35 (Bearish),-25.0
2025-08-05,30.0,20,50,10,24649.55078125,0.25,0.34,1.74,4.52,0-35 (Bearish),-3.0
2025-08-06,43.0,23,62,5,24574.19921875,-0.3,0.68,2.05,4.16,35-45 (Weak),13.0
2025-08-07,30.0,20,50,5,24596.150390625,-0.39,0.72,1.96,3.71,0-35 (Bearish),-13.0
2025-08-08,44.0,23,50,5,24363.30078125,0.26,1.68,3.06,4.71,35-45 (Weak),14.0
2025-08-09,31.0,20,50,5,24585.05078125,0.16,0.77,1.88,3.69,0-35 (Bearish),-13.0
2025-08-10,44.0,44,50,5,24585.05078125,0.16,1.15,2.43,4.02,35-45 (Weak),13.0
2025-08-11,31.0,20,50,5,24585.05078125,0.16,1.58,2.85,4.02,0-35 (Bearish),-13.0
2025-08-12,43.0,25,51,5,24487.400390625,0.38,2.12,3.02,4.44,35-45 (Weak),12.0
2025-08-13,32.0,20,50,5,24619.349609375,0.39,2.01,2.47,4.37,0-35 (Bearish),-11.0
2025-08-14,38.0,20,50,7,24631.30078125,0.42,1.78,2.42,5.05,35-45 (Weak),6.0
2025-08-15,35.0,20,50,5,24876.94921875,-0.55,0.77,1.08,4.03,0-35 (Bearish),-3.0
2025-08-16,36.0,20,50,5,24876.94921875,-0.42,0.77,1.8,4.15,35-45 (Weak),1.0
2025-08-17,32.0,20,55,5,24876.94921875,-0.42,1.46,2.85,4.57,0-35 (Bearish),-4.0
2025-08-18,43.0,42,88,10,24876.94921875,-0.42,1.82,3.35,4.57,35-45 (Weak),11.0
2025-08-19,53.0,66,75,6,24980.650390625,-0.45,1.77,3.45,4.13,45-55 (Neutral),10.0
2025-08-20,60.0,78,132,7,25050.55078125,-0.31,1.1,3.16,3.43,55-65 (Bullish),7.0
2025-08-21,54.0,64,90,5,25083.75,-0.31,0.47,3.03,3.86,45-55 (Neutral),-6.0
2025-08-22,47.0,29,50,11,24870.099609375,0.98,1.34,4.01,5.32,45-55 (Neutral),-7.0
2025-08-23,54.0,62,82,17,24967.75,0.41,0.94,3.7,4.41,45-55 (Neutral),7.0
2025-08-24,55.0,61,99,7,24967.75,0.41,0.81,3.7,3.97,45-55 (Neutral),1.0
2025-08-25,48.0,27,50,10,24967.75,0.41,0.36,3.31,3.97,45-55 (Neutral),-7.0
2025-08-26,38.0,24,50,11,24712.05078125,2.13,0.72,5.07,5.05,35-45 (Weak),-10.0
2025-08-27,30.0,20,52,5,24500.900390625,3.38,0.63,5.98,5.65,0-35 (Bearish),-8.0
2025-08-28,32.0,20,50,5,24500.900390625,3.77,0.55,5.98,6.96,0-35 (Bearish),2.0
2025-08-29,34.0,20,50,9,24426.849609375,3.69,0.85,6.18,7.32,0-35 (Bearish),2.0
2025-08-30,31.0,20,50,5,24625.05078125,2.34,0.04,5.8,6.41,0-35 (Bearish),-3.0
2025-08-31,40.0,20,50,5,24625.05078125,2.34,-0.06,5.09,6.3,35-45 (Weak),9.0
2025-09-01,43.0,20,50,10,24625.05078125,2.34,0.86,4.46,6.3,35-45 (Weak),3.0
2025-09-02,32.0,20,50,5,24579.599609375,2.4,1.28,4.82,6.49,0-35 (Bearish),-11.0
2025-09-03,41.0,20,50,5,24715.05078125,1.38,0.73,4.24,5.33,35-45 (Weak),9.0
2025-09-04,42.0,23,50,12,24734.30078125,0.63,1.39,4.16,5.06,35-45 (Weak),1.0
2025-09-05,54.0,79,105,18,24741.0,-0.35,1.36,3.46,5.23,45-55 (Neutral),12.0
2025-09-06,58.0,82,98,19,24773.150390625,-0.56,1.23,2.97,5.7,55-65 (Bullish),4.0
2025-09-07,52.0,49,90,5,24773.150390625,-0.56,1.35,2.97,4.79,45-55 (Neutral),-6.0
2025-09-08,53.0,49,79,16,24773.150390625,-0.56,1.1,2.9,4.79,45-55 (Neutral),1.0
2025-09-09,57.0,85,133,8,24868.599609375,-1.04,1.26,2.84,4.39,55-65 (Bullish),4.0
2025-09-10,51.0,61,65,13,24973.099609375,-0.55,1.25,2.41,3.47,45-55 (Neutral),-6.0
2025-09-11,59.0,67,95,11,25005.5,-0.44,0.89,2.27,3.01,55-65 (Bullish),8.0
2025-09-12,57.0,62,92,10,25114.0,-0.88,0.45,2.31,3.12,55-65 (Bullish),-2.0
2025-09-13,55.0,61,70,9,25069.19921875,0.03,0.63,3.22,3.9,45-55 (Neutral),-2.0
2025-09-14,53.0,62,117,10,25069.19921875,0.03,0.3,3.23,3.82,45-55 (Neutral),-2.0
2025-09-15,63.0,90,122,8,25069.19921875,0.03,1.01,3.35,3.82,55-65 (Bullish),10.0
2025-09-16,62.0,88,118,16,25239.099609375,-0.52,1.37,3.07,3.12,55-65 (Bullish),-1.0
2025-09-17,53.0,52,97,16,25330.25,-1.12,1.5,2.7,2.09,45-55 (Neutral),-9.0
2025-09-18,61.0,73,113,11,25423.599609375,-0.95,1.65,2.32,1.55,55-65 (Bullish),8.0
2025-09-19,74.0,140,192,22,25327.05078125,-0.16,2.04,2.3,1.93,65+ (Strong Bull),13.0
2025-09-20,71.0,100,125,20,25202.349609375,0.1,2.54,3.37,3.03,65+ (Strong Bull),-3.0
2025-09-21,73.0,125,160,23,25202.349609375,0.1,2.64,3.93,3.85,65+ (Strong Bull),2.0
2025-09-22,74.0,114,183,17,25202.349609375,0.1,2.73,3.44,3.85,65+ (Strong Bull),1.0
2025-09-23,72.0,119,163,18,25169.5,-0.1,2.87,3.14,3.98,65+ (Strong Bull),-2.0
2025-09-24,72.0,123,184,14,25056.900390625,1.06,2.95,3.6,4.47,65+ (Strong Bull),0.0
2025-09-25,51.0,36,50,11,24890.849609375,2.79,4.32,4.29,5.03,45-55 (Neutral),-21.0
2025-09-26,44.0,26,66,5,24654.69921875,4.28,5.32,4.99,5.63,35-45 (Weak),-7.0
2025-09-27,54.0,58,105,14,24634.900390625,4.9,5.4,6.37,5.71,45-55 (Neutral),10.0
2025-09-28,40.0,20,50,10,24634.900390625,4.9,5.28,6.42,5.31,35-45 (Weak),-14.0
2025-09-29,58.0,60,65,10,24634.900390625,4.9,5.76,6.37,5.31,55-65 (Bullish),18.0
2025-09-30,53.0,68,124,9,24611.099609375,5.11,5.15,6.36,5.41,45-55 (Neutral),-5.0
2025-10-01,45.0,27,54,5,24836.30078125,4.25,3.57,5.39,4.44,35-45 (Weak),-8.0
2025-10-02,42.0,20,50,5,24894.25,4.01,3.49,5.15,4.96,35-45 (Weak),-3.0
2025-10-03,50.0,64,117,15,24894.25,3.62,3.49,4.57,5.03,45-55 (Neutral),8.0
2025-10-04,54.0,66,109,13,25077.650390625,3.54,2.73,3.62,4.99,45-55 (Neutral),4.0
2025-10-05,61.0,64,90,7,25077.650390625,3.54,2.07,3.81,4.68,55-65 (Bullish),7.0
2025-10-06,72.0,115,145,20,25077.650390625,3.54,1.72,4.42,4.68,65+ (Strong Bull),11.0
2025-10-07,69.0,122,208,22,25108.30078125,3.3,1.6,3.39,4.55,65+ (Strong Bull),-3.0
2025-10-08,61.0,87,122,20,25046.150390625,4.02,1.78,3.65,4.52,55-65 (Bullish),-8.0
2025-10-09,73.0,136,190,26,25181.80078125,2.76,1.56,3.09,3.81,65+ (Strong Bull),12.0
2025-10-10,66.0,108,140,23,25285.349609375,1.73,1.14,2.19,2.34,65+ (Strong Bull),-7.0
2025-10-11,73.0,132,175,19,25227.349609375,2.12,1.38,2.1,1.81,65+ (Strong Bull),7.0
2025-10-12,72.0,123,168,19,25227.349609375,2.12,1.85,2.66,2.23,65+ (Strong Bull),-1.0
2025-10-13,72.0,116,191,13,25227.349609375,2.12,2.57,3.25,2.23,65+ (Strong Bull),0.0
2025-10-14,68.0,114,160,16,25145.5,1.8,2.92,3.51,2.56,65+ (Strong Bull),-4.0
2025-10-15,73.0,138,183,28,25323.55078125,0.74,2.32,2.78,1.61,65+ (Strong Bull),5.0
2025-10-16,69.0,101,141,22,25585.30078125,-0.3,1.67,1.73,0.31,65+ (Strong Bull),-4.0
2025-10-17,68.0,93,122,13,25709.849609375,-0.85,1.18,0.58,-0.06,65+ (Strong Bull),-1.0
2025-10-18,69.0,93,166,9,25843.150390625,-1.04,0.66,-0.1,-0.58,65+ (Strong Bull),1.0
2025-10-19,73.0,127,179,20,25843.150390625,-1.04,0.26,-0.11,-1.0,65+ (Strong Bull),4.0
2025-10-20,67.0,103,163,11,25843.150390625,-1.04,0.81,0.48,-1.0,65+ (Strong Bull),-6.0
2025-10-21,65.0,80,121,7,25868.599609375,-0.67,1.25,1.17,-1.09,55-65 (Bullish),-2.0
2025-10-22,72.0,131,197,17,25891.400390625,-0.06,0.68,1.09,-2.54,65+ (Strong Bull),7.0
2025-10-23,73.0,124,163,18,25891.400390625,-0.05,0.26,1.09,-2.83,65+ (Strong Bull),1.0
2025-10-24,64.0,79,108,7,25795.150390625,0.45,0.64,1.48,-1.96,55-65 (Bullish),-9.0
2025-10-25,69.0,98,157,19,25966.05078125,0.18,-0.03,0.68,-3.53,65+ (Strong Bull),5.0
2025-10-26,69.0,117,189,22,25966.05078125,0.18,-0.31,0.29,-3.04,65+ (Strong Bull),0.0
2025-10-27,64.0,96,117,11,25966.05078125,0.18,0.92,0.29,-3.04,55-65 (Bullish),-5.0
2025-10-28,68.0,104,158,10,25936.19921875,-0.1,1.08,0.02,-2.93,65+ (Strong Bull),4.0
2025-10-29,69.0,118,161,13,26053.900390625,-0.0,0.57,-0.43,-3.37,65+ (Strong Bull),1.0
2025-10-30,70.0,129,210,15,25877.849609375,1.21,1.15,0.25,-2.07,65+ (Strong Bull),1.0
2025-10-31,60.0,99,127,14,25722.099609375,1.35,1.76,0.84,-1.18,55-65 (Bullish),-10.0
2025-11-01,68.0,98,176,22,25763.349609375,0.76,1.6,1.42,-1.72,65+ (Strong Bull),8.0
2025-11-02,63.0,71,126,18,25763.349609375,0.76,1.04,1.49,-2.62,55-65 (Bullish),-5.0
2025-11-03,67.0,87,131,15,25763.349609375,0.76,0.86,2.19,-2.62,65+ (Strong Bull),4.0
2025-11-04,65.0,88,135,9,25597.650390625,1.12,1.7,2.55,-1.99,55-65 (Bullish),-2.0
2025-11-05,61.0,85,154,10,25509.69921875,2.73,2.65,2.9,0.85,55-65 (Bullish),-4.0
2025-11-06,60.0,97,128,15,25509.69921875,2.77,1.77,2.9,0.93,55-65 (Bullish),-1.0
2025-11-07,51.0,59,75,15,25492.30078125,2.79,1.84,2.69,,45-55 (Neutral),-9.0
2025-11-08,52.0,71,116,10,25574.349609375,2.35,1.51,2.21,,45-55 (Neutral),1.0
2025-11-09,51.0,69,130,6,25574.349609375,2.35,1.04,1.18,,45-55 (Neutral),-1.0
2025-11-10,55.0,52,98,10,25574.349609375,2.35,0.72,0.43,,45-55 (Neutral),4.0
2025-11-11,63.0,78,121,11,25694.94921875,1.31,0.79,0.37,,55-65 (Bullish),8.0
2025-11-12,62.0,104,155,21,25875.80078125,0.43,0.66,-0.33,,55-65 (Bullish),-1.0
2025-11-13,61.0,73,131,5,25879.150390625,0.6,0.57,-0.34,,55-65 (Bullish),-1.0
2025-11-14,72.0,132,215,24,25910.05078125,1.07,0.45,-0.69,,65+ (Strong Bull),11.0
2025-11-15,64.0,107,133,17,26013.44921875,-0.2,0.05,-1.34,,55-65 (Bullish),-8.0
