date,avg_trend_score,strong_momentum,total_uptrends,breakout_alerts,Nifty 50_30d,Nifty 50_60d,Nifty 50_90d,Nifty 50_180d,Nifty 50_270d,Nifty Midcap 50_30d,Nifty Midcap 50_60d,Nifty Midcap 50_90d,Nifty Midcap 50_180d,Nifty Midcap 50_270d,Nifty Bank_30d,Nifty Bank_60d,Nifty Bank_90d,Nifty Bank_180d,Nifty Bank_270d,Nifty IT_30d,Nifty IT_60d,Nifty IT_90d,Nifty IT_180d,Nifty IT_270d,Nifty Pharma_30d,Nifty Pharma_60d,Nifty Pharma_90d,Nifty Pharma_180d,Nifty Pharma_270d,Nifty Auto_30d,Nifty Auto_60d,Nifty Auto_90d,Nifty Auto_180d,Nifty Auto_270d,Nifty FMCG_30d,Nifty FMCG_60d,Nifty FMCG_90d,Nifty FMCG_180d,Nifty FMCG_270d,Nifty Metal_30d,Nifty Metal_60d,Nifty Metal_90d,Nifty Metal_180d,Nifty Metal_270d,Nifty Realty_30d,Nifty Realty_60d,Nifty Realty_90d,Nifty Realty_180d,Nifty Realty_270d,Nifty Energy_30d,Nifty Energy_60d,Nifty Energy_90d,Nifty Energy_180d,Nifty Energy_270d,Nifty Infra_30d,Nifty Infra_60d,Nifty Infra_90d,Nifty Infra_180d,Nifty Infra_270d,Nifty PSE_30d,Nifty PSE_60d,Nifty PSE_90d,Nifty PSE_180d,Nifty PSE_270d,score_bin
2025-07-29,49.0,42,92,12,-1.29,-0.75,4.61,1.43,,-2.14,0.68,3.31,-1.01,,-4.27,-3.13,3.37,5.31,,0.33,-4.75,2.14,9.03,,-5.48,-6.92,-3.3,-5.57,,5.42,10.67,14.13,11.16,,1.31,0.1,2.8,-6.45,,-2.12,5.46,11.24,25.72,,-4.75,-5.59,3.04,-18.04,,-4.88,-0.96,1.04,-5.98,,-2.2,-0.59,4.68,-1.34,,-5.69,-0.06,1.8,-0.49,,40-55 (Weak)
2025-07-30,41.0,22,50,5,-1.72,-0.89,4.35,1.29,,-2.51,0.59,2.7,-1.1,,-4.44,-3.01,3.67,5.44,,-0.85,-5.04,1.07,8.69,,-5.5,-6.93,-3.57,-5.57,,5.12,11.33,14.33,11.83,,2.04,-0.14,1.98,-6.67,,-2.61,5.57,12.73,25.85,,-5.11,-4.67,2.94,-17.25,,-5.03,-1.0,0.67,-6.01,,-3.04,-1.08,4.31,-1.83,,-5.91,-0.07,1.07,-0.51,,40-55 (Weak)
2025-07-31,42.0,37,50,11,-0.58,-0.54,5.19,1.64,,-0.63,1.1,4.68,-0.6,,-3.5,-2.68,4.33,5.8,,1.24,-4.56,2.23,9.25,,-4.36,-5.69,-1.49,-4.32,,8.47,11.75,13.92,12.25,,0.65,-1.55,1.44,-8.0,,0.21,6.87,16.07,27.4,,-3.57,-4.12,4.18,-16.76,,-2.74,-0.13,3.51,-5.19,,-1.31,-0.16,6.57,-0.91,,-3.27,0.93,3.8,0.5,,40-55 (Weak)
2025-08-01,41.0,28,50,9,0.24,0.19,5.34,3.16,,0.72,2.5,5.88,3.04,,-2.9,-1.77,4.34,7.16,,3.15,-2.87,3.63,11.76,,-1.06,-2.53,1.3,-1.24,,9.61,13.38,14.6,14.21,,-0.04,-2.64,0.26,-9.27,,2.23,10.28,17.87,33.0,,-1.82,-3.19,6.11,-13.93,,-2.1,0.32,4.31,-0.58,,-0.25,0.42,7.12,1.27,,-1.8,2.76,5.39,6.73,,40-55 (Weak)
2025-08-02,45.0,52,65,7,-0.4,0.46,4.04,2.82,,-0.37,1.75,4.34,2.23,,-2.91,-0.49,3.88,7.8,,1.53,-3.69,1.45,9.17,,-1.69,-1.9,0.1,-2.66,,7.87,12.53,12.71,11.64,,0.06,-1.84,0.12,-10.0,,-0.24,8.2,13.77,33.77,,-3.54,-3.83,3.89,-14.86,,-2.2,0.74,3.87,1.18,,-1.23,-0.39,5.6,1.13,,-2.72,2.08,4.51,6.6,,40-55 (Weak)
2025-08-03,58.0,76,135,20,-0.58,0.69,4.21,2.42,,0.15,2.15,5.33,1.38,,-3.52,-0.05,4.46,7.18,,1.52,-3.56,1.28,8.05,,-1.96,-1.79,1.3,-1.98,,7.56,12.47,12.84,12.46,,1.19,-1.73,0.03,-8.77,,0.61,10.18,14.2,26.8,,-2.84,-3.94,6.21,-14.15,,-1.24,1.3,4.36,0.61,,-1.05,0.16,5.9,1.05,,-1.59,3.11,4.83,5.64,,55-70 (Bullish)
2025-08-04,33.0,20,50,7,-0.03,0.69,4.21,1.48,,0.82,2.15,5.33,0.23,,-2.79,-0.05,4.46,5.39,,0.77,-3.56,1.28,8.15,,-0.88,-1.79,1.3,-2.73,,8.36,12.47,12.84,12.45,,1.48,-1.73,0.03,-9.83,,3.74,10.18,14.2,23.95,,-2.46,-3.94,6.21,-14.7,,-0.85,1.3,4.36,-0.89,,-0.81,0.16,5.9,0.74,,-1.29,3.11,4.83,4.37,,<40 (Bearish)
2025-08-05,30.0,20,50,10,0.34,1.74,4.52,1.78,,0.58,2.74,5.57,0.47,,-2.32,1.35,4.95,5.89,,0.31,-0.89,1.77,8.68,,-0.25,-0.87,2.15,-1.91,,8.87,12.48,12.42,12.03,,2.46,-1.21,0.75,-9.17,,3.0,9.1,14.1,23.84,,-2.76,-2.84,6.7,-14.3,,-1.8,1.3,4.38,-0.86,,-1.17,0.81,6.08,0.91,,-2.36,3.08,4.88,4.42,,<40 (Bearish)
2025-08-06,43.0,23,62,5,0.68,2.05,4.16,2.09,,1.37,3.64,6.03,1.35,,-2.34,1.25,4.36,5.79,,0.61,0.86,2.46,10.6,,1.86,1.19,3.77,0.12,,10.83,13.09,12.05,12.63,,1.92,-0.31,1.06,-8.34,,4.12,9.54,12.91,24.33,,-2.42,-1.35,7.49,-12.99,,-1.11,1.98,4.6,-0.2,,-0.7,1.08,5.91,1.18,,-1.87,3.49,4.15,4.85,,40-55 (Weak)
2025-08-07,30.0,20,50,5,0.72,1.96,3.71,4.6,,1.55,3.39,4.46,3.79,,-2.4,1.05,3.66,8.14,,-1.2,-0.01,1.76,11.19,,0.83,0.44,2.61,2.38,,14.2,12.81,11.84,15.51,,1.58,-0.44,0.75,-8.12,,4.37,9.4,10.43,27.74,,-1.84,-1.22,6.0,-8.7,,-0.93,2.18,3.54,3.02,,-0.27,1.33,5.48,4.51,,-1.39,3.97,2.87,7.25,,<40 (Bearish)
2025-08-08,44.0,23,50,5,1.68,3.06,4.71,5.94,,2.83,4.82,5.78,5.81,,-1.49,2.24,4.63,9.74,,-0.26,0.9,2.73,5.63,,2.16,2.21,3.96,3.49,,15.82,14.73,13.43,18.64,,2.31,-0.25,1.48,-7.14,,6.24,11.04,12.41,31.85,,0.27,2.01,8.29,-5.7,,-0.29,3.13,4.21,5.82,,1.04,3.05,6.87,7.59,,-1.27,4.2,3.0,9.12,,40-55 (Weak)
2025-08-09,31.0,20,50,5,0.77,1.88,3.69,,,1.63,2.8,4.65,,,-2.38,0.91,4.26,,,-0.68,1.99,1.66,,,1.21,0.48,2.62,,,14.61,11.8,12.88,,,1.56,-1.48,0.23,,,5.69,10.24,13.4,,,-1.56,-1.68,6.29,,,-0.92,1.37,3.41,,,-0.07,1.27,4.64,,,-1.73,2.55,3.09,,,<40 (Bearish)
2025-08-10,44.0,44,50,5,1.15,2.43,4.02,,,1.78,3.37,5.05,,,-2.33,1.23,4.37,,,2.06,3.14,3.31,,,2.07,1.53,3.59,,,14.58,12.07,13.22,,,2.15,-1.09,0.04,,,5.87,12.63,14.03,,,-1.85,-0.95,6.04,,,-1.04,1.83,3.79,,,-0.13,1.95,4.94,,,-1.93,3.24,3.42,,,40-55 (Weak)
2025-08-11,31.0,20,50,5,1.58,2.85,4.02,,,2.22,3.63,5.05,,,-1.76,1.98,4.37,,,4.75,3.08,3.31,,,2.39,2.84,3.59,,,13.11,12.63,13.22,,,2.8,-0.62,0.04,,,6.14,11.6,14.03,,,-0.74,0.7,6.04,,,-0.25,2.26,3.79,,,0.17,2.29,4.94,,,-0.8,3.62,3.42,,,<40 (Bearish)
2025-08-12,43.0,25,51,5,2.12,3.02,4.44,,,2.64,3.54,5.14,,,-0.68,2.87,5.26,,,3.83,1.89,2.92,,,2.16,2.08,2.88,,,12.11,11.91,12.59,,,3.5,-1.02,0.55,,,6.1,10.7,13.6,,,-0.01,1.46,6.82,,,0.25,1.57,3.4,,,0.78,2.25,5.0,,,0.1,2.98,3.34,,,40-55 (Weak)
2025-08-13,32.0,20,50,5,2.01,2.47,4.37,,,2.36,2.92,4.66,,,-0.67,2.62,5.36,,,4.09,1.84,4.1,,,0.95,0.34,1.08,,,11.38,10.68,12.54,,,2.81,-0.97,0.93,,,5.75,9.32,12.98,,,-0.19,1.21,6.38,,,0.58,1.58,3.83,,,0.53,1.65,5.19,,,0.08,2.24,3.5,,,<40 (Bearish)
2025-08-14,38.0,20,50,7,1.78,2.42,5.05,,,3.14,3.09,4.96,,,-0.82,2.32,5.3,,,3.07,1.43,5.81,,,0.21,0.24,1.99,,,10.95,10.69,13.96,,,3.47,-0.33,1.6,,,7.32,10.86,14.39,,,2.99,1.98,6.66,,,1.91,2.38,5.28,,,1.18,2.04,6.32,,,1.1,2.96,4.3,,,<40 (Bearish)
2025-08-15,35.0,20,50,5,0.77,1.08,4.03,,,1.79,1.2,3.64,,,-1.52,1.37,4.75,,,3.66,1.67,5.9,,,0.26,-0.46,2.46,,,6.5,6.02,8.98,,,2.25,-1.97,-0.11,,,5.36,7.77,12.79,,,0.8,-1.12,4.84,,,1.87,1.7,4.94,,,0.51,0.92,6.07,,,1.48,2.41,4.29,,,<40 (Bearish)
2025-08-16,36.0,20,50,5,0.77,1.8,4.15,,,1.79,2.54,3.54,,,-1.52,1.91,4.99,,,3.66,2.21,4.81,,,0.26,-0.38,3.07,,,6.5,6.29,8.41,,,2.25,-1.0,0.46,,,5.36,8.85,11.79,,,0.8,1.89,4.75,,,1.87,2.43,5.16,,,0.51,1.94,6.27,,,1.48,3.71,4.59,,,<40 (Bearish)
2025-08-17,32.0,20,55,5,1.46,2.85,4.57,,,2.38,3.05,4.09,,,-1.05,3.03,5.79,,,4.55,2.59,5.02,,,0.56,-0.17,3.28,,,8.04,7.65,9.33,,,1.98,0.99,0.67,,,6.24,9.58,11.81,,,1.88,3.82,5.22,,,2.78,2.86,5.68,,,1.54,2.81,6.63,,,2.36,4.02,5.2,,,<40 (Bearish)
