ticker,marketCap,sector
MMTC.NS,97572003840,Industrials
RITES.NS,108409798656,Industrials
CASTROLIND.NS,185351634944,Energy
CRAFTSMAN.NS,187230552064,Consumer Cyclical
KARURVYSYA.NS,306659852288,Financial Services
RVNL.NS,669478813696,Industrials
SCI.NS,105284550656,Industrials
NBCC.NS,281744998400,Industrials
NATIONALUM.NS,689319968768,Basic Materials
HUDCO.NS,394654580736,Financial Services
THELEELA.NS,148293992448,Consumer Cyclical
GMDCLTD.NS,195459547136,Energy
ASTERDM.NS,279326654464,Healthcare
IRCON.NS,148055982080,Industrials
IRFC.NS,1515946770432,Financial Services
HINDCOPPER.NS,593643307008,Basic Materials
IRCTC.NS,497879973888,Consumer Cyclical
ASAHIINDIA.NS,245571371008,Consumer Cyclical
TITAGARH.NS,106964631552,Industrials
DALBHARAT.NS,401964892160,Basic Materials
RAILTEL.NS,107450171392,Communication Services
NIACL.NS,246119743488,Financial Services
TITAN.NS,3675915550720,Consumer Cyclical
OLAELEC.NS,134965518336,Consumer Cyclical
MCX.NS,647305691136,Financial Services
PTCIL.NS,265608003584,Industrials
ENGINERSIN.NS,99448094720,Industrials
IREDA.NS,370144313344,Financial Services
GILLETTE.NS,283458797568,Consumer Defensive
HINDZINC.NS,2701035044864,Basic Materials
SONATSOFTW.NS,87559782400,Technology
GRSE.NS,288993247232,Industrials
HEG.NS,104544133120,Industrials
IGIL.NS,141489078272,Basic Materials
APLAPOLLO.NS,603778187264,Basic Materials
INDIACEM.NS,215571972096,Basic Materials
ADANIENSOL.NS,1189242732544,Utilities
HBLENGINE.NS,221451042816,Industrials
LINDEINDIA.NS,509360013312,Basic Materials
GRAPHITE.NS,124600246272,Industrials
ITCHOTELS.NS,387102507008,Consumer Cyclical
IPCALAB.NS,358104694784,Healthcare
CONCOR.NS,401486905344,Industrials
DEEPAKNTR.NS,221788717056,Basic Materials
ABBOTINDIA.NS,575856115712,Healthcare
ONESOURCE.NS,139115741184,Healthcare
TORNTPOWER.NS,709244223488,Utilities
NMDC.NS,755041239040,Basic Materials
VBL.NS,1504646791168,Consumer Defensive
BIKAJI.NS,164802297856,Consumer Defensive
FACT.NS,518531121152,Basic Materials
ENRIN.NS,927551520768,Utilities
JWL.NS,131523239936,Industrials
METROPOLIS.NS,98273361920,Healthcare
MARICO.NS,949952184320,Consumer Defensive
EIHOTEL.NS,207871049728,Consumer Cyclical
SHREECEM.NS,986808451072,Basic Materials
EMCURE.NS,290974892032,Healthcare
AMBUJACEM.NS,1327245557760,Basic Materials
POONAWALLA.NS,339892731904,Financial Services
IDFCFIRSTB.NS,732011954176,Financial Services
BHEL.NS,949723922432,Industrials
SCHAEFFLER.NS,600768774144,Consumer Cyclical
HINDALCO.NS,2157507903488,Basic Materials
BEML.NS,146990661632,Industrials
NESTLEIND.NS,2512979230720,Consumer Defensive
ATGL.NS,604005400576,Utilities
SAGILITY.NS,225218723840,Healthcare
M&MFIN.NS,514106949632,Financial Services
SUMICHEM.NS,214033678336,Basic Materials
NUVOCO.NS,124593930240,Basic Materials
AKUMS.NS,68972150784,Healthcare
OBEROIRLTY.NS,561849499648,Real Estate
CHOICEIN.NS,174733901824,Financial Services
RHIM.NS,91965407232,Industrials
PFC.NS,1368222203904,Financial Services
IDBI.NS,1173846228992,Financial Services
NEULANDLAB.NS,173788545024,Healthcare
KALYANKJIL.NS,400052944896,Consumer Cyclical
KFINTECH.NS,175369699328,Technology
AFCONS.NS,126444355584,Industrials
EIDPARRY.NS,162311864320,Basic Materials
BHARTIHEXA.NS,805650038784,Communication Services
PIDILITIND.NS,1486167867392,Basic Materials
KIRLOSENG.NS,178667765760,Industrials
GODREJCP.NS,1182563696640,Consumer Defensive
SWANCORP.NS,133250531328,Industrials
RECLTD.NS,1004979159040,Financial Services
WOCKPHARMA.NS,228870225920,Healthcare
GLAND.NS,311340204032,Healthcare
FINPIPE.NS,110183538688,Industrials
BAYERCROP.NS,201878044672,Basic Materials
JUBLPHARMA.NS,153802391552,Healthcare
FORCEMOT.NS,264434401280,Consumer Cyclical
RCF.NS,75261296640,Basic Materials
NYKAA.NS,718620393472,Consumer Cyclical
GODFRYPHLP.NS,318935891968,Consumer Defensive
CIPLA.NS,1071682551808,Healthcare
HYUNDAI.NS,1779302531072,Consumer Cyclical
GUJGASLTD.NS,285957259264,Utilities
NTPC.NS,3561100935168,Utilities
MGL.NS,106403414016,Utilities
TATACOMM.NS,445226975232,Communication Services
GRANULES.NS,141414875136,Healthcare
VEDL.NS,2688039780352,Basic Materials
THERMAX.NS,332301631488,Industrials
CGCL.NS,165249941504,Financial Services
UNITDSPR.NS,987883569152,Consumer Defensive
VIJAYA.NS,100838793216,Healthcare
DELHIVERY.NS,335459614720,Industrials
SAREGAMA.NS,62722760704,Communication Services
KPRMILL.NS,340600586240,Consumer Cyclical
VTL.NS,142189068288,Consumer Cyclical
INDHOTEL.NS,976688054272,Consumer Cyclical
NHPC.NS,788334313472,Utilities
PIIND.NS,478790582272,Basic Materials
ONGC.NS,3358305812480,Energy
SAIL.NS,649690284032,Basic Materials
NSLNISP.NS,121119997952,Basic Materials
MAZDOCK.NS,980616806400,Industrials
COCHINSHIP.NS,395309711360,Industrials
BLUEDART.NS,135403454464,Industrials
COHANCE.NS,140306497536,Healthcare
DATAPATTNS.NS,146599624704,Industrials
GSPL.NS,169121136640,Utilities
JSWSTEEL.NS,3000322752512,Basic Materials
ADANIENT.NS,2880354910208,Energy
SYRMA.NS,163738271744,Technology
MAHSCOOTER.NS,153900777472,Financial Services
JYOTHYLAB.NS,89324929024,Consumer Defensive
IFCI.NS,156209741824,Financial Services
GODREJIND.NS,339617153024,Industrials
TMPV.NS,1382531334144,Consumer Cyclical
SYNGENE.NS,189867884544,Healthcare
PFIZER.NS,217004359680,Healthcare
GPIL.NS,168770404352,Basic Materials
KAJARIACER.NS,144890003456,Industrials
CANBK.NS,1337921110016,Financial Services
