Ticker,Strategy
APLAPOLLO.NS,DNA3-V2.1
SHRIRAMFIN.NS,DNA3-V2.1
MCX.NS,DNA3-V2.1
VEDL.NS,DNA3-V2.1
HINDZINC.NS,DNA3-V2.1
KARURVYSYA.NS,DNA3-V2.1
MOTHERSON.NS,DNA3-V2.1
HINDALCO.NS,DNA3-V2.1
NATIONALUM.NS,DNA3-V2.1
HINDCOPPER.NS,DNA3-V2.1
M&MFIN.NS,DNA3-V2.1
JKTYRE.NS,DNA3-V2.1
KIRLOSENG.NS,DNA3-V2.1
ASHOKLEY.NS,DNA3-V2.1
FORCEMOT.NS,DNA3-V2.1
KEI.NS,Early Momentum
GVT&D.NS,Early Momentum
ABB.NS,Early Momentum
IFCI.NS,Early Momentum
AARTIIND.NS,Early Momentum
LINDEINDIA.NS,Early Momentum
NTPC.NS,Early Momentum
JINDALSTEL.NS,Early Momentum
JINDALSAW.NS,Early Momentum
SUNTV.NS,Early Momentum
ABSLAMC.NS,Early Momentum
POWERGRID.NS,Early Momentum
PFC.NS,Early Momentum
MRPL.NS,Early Momentum
PGEL.NS,Early Momentum
