archetype,trend_min,trend_max,quality_min,value_min,growth_min,coverage,return_pct,alpha,sharpe,win_rate,max_dd,trades,score,rank
Baseline,35,60,0,0,0,33.33,16.79,4.82,3.19,30.0,-9.15,122,0.5591,1
Baseline,35,60,0,0,5,18.33,16.79,4.82,3.19,30.0,-9.15,122,0.5591,2
Baseline,35,60,0,5,0,18.33,16.79,4.82,3.19,30.0,-9.15,122,0.5591,3
GARP,35,60,0,5,5,10.08,16.79,4.82,3.19,30.0,-9.15,122,0.5591,4
Baseline,35,60,5,0,0,20.0,16.79,4.82,3.19,30.0,-9.15,122,0.5591,5
Balanced,35,60,5,5,0,11.0,16.79,4.82,3.19,30.0,-9.15,122,0.5591,6
Balanced,35,60,5,0,5,11.0,16.79,4.82,3.19,30.0,-9.15,122,0.5591,7
GARP,35,60,5,5,5,6.05,16.79,4.82,3.19,30.0,-9.15,122,0.5591,8
Balanced,45,60,5,0,5,6.6,8.63,-3.34,1.94,33.0,-6.9,87,0.4517,9
GARP,45,60,0,5,5,6.05,8.63,-3.34,1.94,33.0,-6.9,87,0.4517,10
Baseline,45,60,0,5,0,11.0,8.63,-3.34,1.94,33.0,-6.9,87,0.4517,11
Baseline,45,60,0,0,5,11.0,8.63,-3.34,1.94,33.0,-6.9,87,0.4517,12
Baseline,45,60,0,0,0,20.0,8.63,-3.34,1.94,33.0,-6.9,87,0.4517,13
Balanced,45,60,5,5,0,6.6,8.63,-3.34,1.94,33.0,-6.9,87,0.4517,14
Baseline,45,60,5,0,0,12.0,8.63,-3.34,1.94,33.0,-6.9,87,0.4517,15
Baseline,35,90,5,0,0,44.0,5.49,-6.47,1.37,35.0,-5.04,88,0.3381,16
Baseline,35,90,0,0,5,40.33,5.49,-6.47,1.37,35.0,-5.04,88,0.3381,17
Baseline,35,90,0,5,0,40.33,5.49,-6.47,1.37,35.0,-5.04,88,0.3381,18
GARP,35,90,0,5,5,22.18,5.49,-6.47,1.37,35.0,-5.04,88,0.3381,19
Baseline,35,90,0,0,0,73.33,5.49,-6.47,1.37,35.0,-5.04,88,0.3381,20
GARP,35,90,5,5,5,13.31,5.49,-6.47,1.37,35.0,-5.04,88,0.3381,21
Momentum,55,90,5,0,0,28.0,5.49,-6.47,1.37,35.0,-5.04,88,0.3381,22
Momentum,55,90,0,0,5,25.67,5.49,-6.47,1.37,35.0,-5.04,88,0.3381,23
GARP,55,90,0,5,5,14.12,5.49,-6.47,1.37,35.0,-5.04,88,0.3381,24
