ticker,name,sector,return_12mo,rally_start_date,quality,value,growth,momentum,overall,score_at_rally_start,max_drawdown_pct,drawdown_peak_date,drawdown_trough_date,avg_volume_before,avg_volume_during,volume_increase_pct,volume_spike_days,max_volume_spike,consolidation_periods,max_consolidation_days,total_consolidation_days,consolidation_pct_of_rally,trailing_10_triggers,trailing_10_captured,trailing_15_triggers,trailing_15_captured,trailing_20_triggers,trailing_20_captured,early_return_pct,early_volatility,early_max_drawdown,early_avg_daily_range,early_days,mid_return_pct,mid_volatility,mid_max_drawdown,mid_avg_daily_range,mid_days,late_return_pct,late_volatility,late_max_drawdown,late_avg_daily_range,late_days
FORCEMOT.NS,Force Motors Limited,Auto,213.6,2024-07-29,10.0,6.3,9.2,9.8,8.8,,-34.39,2024-07-30,2024-10-25,23259,84228,262.1,200,53.2,0,0,0,0.0,247,-2.8,211,-8.5,165,-14.3,-22.7,54.4,-34.4,3.83,92,171.4,56.3,-17.4,4.66,184,15.9,39.5,-22.9,3.84,92
HINDCOPPER.NS,Hindustan Copper Limited,Metals & Mining,129.2,2024-08-26,8.5,3.8,10.0,10.0,8.1,,-46.15,2024-10-01,2025-04-07,9228795,9827383,6.5,35,21.2,0,0,0,0.0,242,-5.2,226,-10.2,190,-17.3,-24.8,36.1,-29.2,3.56,87,-1.2,42.1,-25.2,3.76,174,131.6,55.4,-14.0,4.2,88
ATHERENERG.NS,Ather Energy Limited,Auto,113.9,2025-07-14,1.5,0.0,,2.8,,65.0,-18.3,2025-10-21,2025-11-10,1630162,3302651,102.6,44,17.2,0,0,0,0.0,33,93.9,13,84.3,0,never_triggered,25.1,55.5,-5.9,4.69,32,59.5,56.2,-18.3,5.69,64,-8.8,45.3,-16.1,4.38,33
LTF.NS,L&T Finance Limited,Financial Services,108.0,2024-09-12,3.0,4.8,4.4,4.0,4.0,,-30.42,2024-10-01,2025-01-13,8469787,7030878,-17.0,12,8.3,1,7,7,2.1,139,-3.4,121,-9.5,102,-15.9,-24.9,33.4,-30.4,3.1,84,83.1,30.3,-13.5,3.0,168,21.8,31.6,-9.9,2.65,84
MCX.NS,Multi Commodity Exchange of India Limited,Financial Services,101.3,2024-12-02,9.7,1.5,10.0,10.0,7.8,,-34.67,2024-12-06,2025-03-10,2773561,2626752,-5.3,16,5.0,0,0,0,0.0,130,-2.6,74,-8.1,35,-12.9,-28.5,44.2,-34.7,3.88,70,75.5,37.6,-18.1,3.18,141,47.2,33.2,-5.6,2.86,71
ABCAPITAL.NS,Aditya Birla Capital Limited,Financial Services,101.1,2024-09-12,0.5,4.5,0.9,8.0,3.5,,-37.07,2024-10-01,2025-02-25,6193675,5041098,-18.6,19,5.1,1,6,6,1.8,144,-2.1,130,-8.0,92,-14.9,-23.0,30.6,-30.7,2.91,84,66.3,34.8,-15.1,3.03,168,26.3,24.9,-5.4,2.45,84
RBLBANK.NS,RBL Bank Limited,Banking,98.0,2025-01-30,,6.1,0.8,7.3,,,-11.64,2025-02-05,2025-02-18,8795501,10352436,17.7,27,11.6,0,0,0,0.0,1,-7.1,0,never_triggered,0,never_triggered,23.3,46.1,-11.6,3.86,60,62.1,34.7,-6.8,3.34,120,-1.9,21.0,-9.7,2.37,60
SHRIRAMFIN.NS,Shriram Finance Limited,Financial Services,92.8,2024-12-10,5.0,5.0,5.3,8.7,6.0,,-21.24,2024-12-11,2025-01-27,7161406,6723115,-6.1,17,4.9,1,6,6,2.2,94,-9.7,31,-16.5,3,-18.9,-1.7,38.1,-21.2,3.66,69,0.3,34.4,-18.8,2.81,138,47.5,24.6,-4.6,2.38,69
LAURUSLABS.NS,Laurus Labs Limited,Pharma & Healthcare,87.1,2024-08-21,7.9,4.4,10.0,7.0,7.3,,-18.69,2025-02-07,2025-02-21,2296161,2361777,2.9,27,10.2,1,5,5,1.4,31,0.2,7,15.1,0,never_triggered,28.6,30.0,-15.0,3.04,88,53.0,38.9,-18.7,3.32,176,21.9,25.4,-10.7,2.4,88
NATIONALUM.NS,National Aluminium Company Limited,Metals & Mining,86.1,2024-09-16,10.0,6.9,9.1,10.0,9.0,,-42.12,2024-11-22,2025-04-11,17113623,13739618,-19.7,20,6.3,1,6,6,1.8,204,17.3,178,15.8,150,8.6,8.3,43.5,-24.2,3.88,83,13.3,38.5,-30.5,3.19,167,79.9,35.5,-5.4,2.68,84
