ticker,name,sector,return_12mo,rally_start_date,score_at_rally_start,score_at_1mo,score_at_3mo,score_at_6mo,score_current,score_velocity,quality,value,growth,momentum,overall,strong_momentum_hit,strong_momentum_first,quality_price_hit,quality_price_first,breakout_hit,breakout_first,turnaround_hit,turnaround_first
FORCEMOT.NS,Force Motors Limited,Auto,213.6,2024-10-30,,,,98.0,100,0.23,10.0,6.3,9.2,9.8,8.8,True,plus_6mo,True,plus_6mo,False,,False,
HINDCOPPER.NS,Hindustan Copper Limited,Metals & Mining,129.2,2024-09-16,,,,,100,0.0,8.5,3.8,10.0,10.0,8.1,True,current,False,,True,current,False,
ATHERENERG.NS,Ather Energy Limited,Auto,113.9,2025-07-14,65.0,65.0,53.0,25.0,26,-6.36,1.5,0.0,,2.8,,False,,False,,True,rally_start,False,
LTF.NS,L&T Finance Limited,Financial Services,108.0,2025-01-27,,,80.0,100.0,74,-0.69,3.0,4.8,4.4,4.0,4.0,True,plus_3mo,False,,True,plus_6mo,False,
MCX.NS,Multi Commodity Exchange of India Limited,Financial Services,101.3,2024-12-02,,,,100.0,100,0.0,9.7,1.5,10.0,10.0,7.8,True,plus_6mo,False,,True,current,False,
ABCAPITAL.NS,Aditya Birla Capital Limited,Financial Services,101.1,2025-03-19,,,100.0,100.0,100,0.0,0.5,4.5,0.9,8.0,3.5,True,plus_3mo,False,,True,plus_3mo,True,plus_3mo
RBLBANK.NS,RBL Bank Limited,Banking,98.0,2025-01-30,,,74.0,100.0,100,3.01,,6.1,0.8,7.3,,True,plus_3mo,False,,False,,False,
SHRIRAMFIN.NS,Shriram Finance Limited,Financial Services,92.8,2024-12-10,,,,100.0,100,0.0,5.0,5.0,5.3,8.7,6.0,True,plus_6mo,False,,True,plus_6mo,False,
LAURUSLABS.NS,Laurus Labs Limited,Pharma & Healthcare,87.1,2024-10-10,,,,,100,0.0,7.9,4.4,10.0,7.0,7.3,True,current,False,,True,current,False,
NATIONALUM.NS,National Aluminium Company Limited,Metals & Mining,86.1,2024-09-16,,,,,100,0.0,10.0,6.9,9.1,10.0,9.0,True,current,True,current,True,current,False,
MUTHOOTFIN.NS,Muthoot Finance Limited,Financial Services,86.1,2024-10-10,,,,,100,0.0,6.8,5.7,10.0,8.3,7.7,True,current,False,,True,current,False,
ASHOKLEY.NS,Ashok Leyland Limited,Auto,83.0,2024-11-22,,,,82.0,100,2.27,7.2,3.7,5.2,10.0,6.5,True,plus_6mo,False,,True,current,False,
GMDCLTD.NS,Gujarat Mineral Development Corporation Limited,Metals & Mining,79.3,2024-10-28,,,,43.0,99,6.39,6.7,6.6,5.7,8.1,6.8,True,current,True,plus_6mo,False,,False,
AIIL.NS,Authum Investment & Infrastructure Limited,Financial Services,77.6,2024-12-09,,,,100.0,43,-7.74,5.9,4.1,1.0,9.3,5.1,True,plus_6mo,False,,True,plus_6mo,False,
CRAFTSMAN.NS,Craftsman Automation Limited,Auto,67.3,2024-12-24,,,,73.0,100,3.93,3.4,3.0,8.5,9.0,6.0,True,plus_6mo,False,,True,current,False,
UNIONBANK.NS,Union Bank of India,Banking,66.0,2024-11-25,,,,100.0,100,0.0,,6.0,2.7,10.0,,True,plus_6mo,False,,True,plus_6mo,False,
INDIANB.NS,Indian Bank,Banking,63.1,2024-10-28,,,,80.0,100,2.28,,7.3,6.6,8.2,,True,plus_6mo,False,,False,,False,
TVSMOTOR.NS,TVS Motor Company Limited,Auto,61.6,2024-10-08,,,,,100,0.0,8.7,3.4,10.0,4.9,6.7,True,current,False,,False,,False,
AUBANK.NS,AU Small Finance Bank Limited,Banking,61.3,2025-01-15,,,,100.0,42,-9.46,,2.6,4.1,6.1,,True,plus_6mo,False,,True,plus_6mo,False,
MANAPPURAM.NS,Manappuram Finance Limited,Financial Services,61.3,2024-12-04,,,,100.0,100,0.0,0.6,3.6,0.0,6.3,2.6,True,plus_6mo,False,,True,plus_6mo,True,plus_6mo
CUB.NS,City Union Bank Limited,Banking,60.2,2024-10-22,,,,,100,0.0,10.0,5.9,7.0,6.5,7.3,True,current,False,,False,,False,
NAVINFLUOR.NS,Navin Fluorine International Limited,Chemicals,60.1,2024-09-27,,,,,100,0.0,10.0,4.5,9.5,8.2,8.0,True,current,False,,True,current,False,
IIFL.NS,IIFL Finance Limited,Financial Services,58.0,2025-04-15,,75.0,100.0,99.0,100,3.07,1.2,6.4,,7.8,,True,plus_1mo,False,,False,,False,
CANBK.NS,Canara Bank,Banking,57.8,2024-12-03,,,,97.0,100,0.4,,7.4,6.7,8.3,,True,plus_6mo,False,,True,plus_6mo,False,
ANANDRATHI.NS,Anand Rathi Wealth Limited,Financial Services,57.0,2024-10-31,,,,10.0,100,10.38,7.6,1.9,9.9,5.0,6.1,True,current,False,,False,,False,
