ticker,name,sector,return_6mo,rally_start_date,quality,value,growth,momentum,overall,score_at_rally_start,score_at_1mo,score_at_3mo,score_current,trend_entries,trend_exits,super_uptrend_entries,avg_trend_duration_days,max_trend_duration_days,time_in_trend_pct,max_drawdown_pct,drawdown_peak_date,drawdown_trough_date,recovery_days,recovered,avg_volume_before,avg_volume_during,volume_increase_pct,volume_spike_days,max_volume_spike,volume_breakout_days,volume_breakout_accuracy,avg_gain_after_breakout,sideways_periods,total_sideways_days,sideways_pct_of_period,max_sideways_streak,avg_sideways_length,trailing_10_triggers,trailing_10_captured,trailing_15_triggers,trailing_15_captured,trailing_20_triggers,trailing_20_captured,early_return_pct,early_volatility,early_max_drawdown,early_avg_daily_range,early_days,mid_return_pct,mid_volatility,mid_max_drawdown,mid_avg_daily_range,mid_days,late_return_pct,late_volatility,late_max_drawdown,late_avg_daily_range,late_days
HINDCOPPER.NS,Hindustan Copper Limited,Metals & Mining,110.3,2025-05-12,8.5,3.8,10.0,10.0,8.1,,,20.0,100.0,2,1,3,52.0,95,80.8,-18.98,2025-07-02,2025-08-29,18.0,True,4960019,14517495,192.7,64,39.4,64,62.7,3.55,1,8,4.6,8,8.0,37,10.3,14,5.3,0,never_triggered,17.6,33.2,-7.1,3.39,43,27.2,45.9,-16.7,3.57,88,67.7,55.4,-7.9,4.18,44
ATHERENERG.NS,Ather Energy Limited,Auto,91.9,2025-07-14,1.5,0.0,,2.6,,65.0,65.0,53.0,25.0,2,2,0,60.0,105,92.3,-18.3,2025-10-21,2025-11-10,,False,1630162,3281781,101.3,44,17.2,44,65.9,2.6,0,0,0.0,0,0.0,34,93.9,14,84.3,0,never_triggered,25.1,55.5,-5.9,4.69,32,57.5,55.9,-18.3,5.66,65,-8.0,44.9,-16.5,4.35,33
NATIONALUM.NS,National Aluminium Company Limited,Metals & Mining,91.9,2025-05-14,10.0,7.0,9.1,10.0,9.0,,,18.0,,2,1,1,50.0,95,76.9,-9.15,2025-07-24,2025-08-01,32.0,True,16927889,10854899,-35.9,4,4.3,4,50.0,0.88,5,36,20.8,11,7.2,0,never_triggered,0,never_triggered,0,never_triggered,9.4,23.8,-5.1,2.61,43,42.3,31.6,-9.2,2.48,86,,36.0,-5.4,2.77,44
NETWEB.NS,Netweb Technologies India Limited,IT & Technology,68.3,2025-05-05,4.5,2.0,9.3,4.8,5.2,,,65.0,93.0,1,0,2,115.0,115,88.5,-30.64,2025-10-08,2026-01-02,,False,289408,1617784,459.0,98,48.3,98,48.4,2.07,0,0,0.0,0,0.0,78,12.6,53,126.5,49,106.0,13.7,42.6,-14.9,4.24,45,94.2,71.2,-24.3,5.63,90,-4.5,39.5,-12.1,3.95,45
VEDL.NS,Vedanta Limited,Metals & Mining,54.4,2024-12-05,7.7,5.0,3.5,10.0,6.6,,,,,2,1,3,58.0,105,88.5,-27.71,2024-12-12,2025-04-09,198.0,True,10536052,9814628,-6.8,14,4.3,14,53.8,1.26,6,44,15.7,10,7.3,156,-0.8,54,-6.9,15,-11.8,-4.5,36.5,-23.0,3.26,70,11.4,29.7,-21.6,2.46,140,,25.9,-6.5,2.31,70
ASHOKLEY.NS,Ashok Leyland Limited,Auto,50.8,2025-01-01,7.2,3.8,5.2,7.8,6.0,,,,100.0,1,0,2,130.0,130,100.0,-16.93,2025-01-02,2025-03-12,64.0,True,16553316,14766465,-10.8,16,5.5,16,31.2,-0.59,9,83,31.7,23,9.2,48,-5.5,7,-11.5,0,never_triggered,-5.8,39.4,-16.9,3.23,65,34.4,26.4,-8.7,2.3,131,37.0,26.7,-3.2,2.33,66
SHRIRAMFIN.NS,Shriram Finance Limited,Financial Services,50.5,2024-12-10,5.0,4.8,5.3,10.0,6.3,,,,100.0,3,2,3,35.0,75,80.8,-21.24,2024-12-11,2025-01-27,51.0,True,6859620,6726386,-1.9,17,5.1,17,76.5,2.7,6,39,14.1,8,6.5,94,-9.7,31,-16.5,3,-18.9,-1.7,38.1,-21.2,3.66,69,0.3,34.4,-18.8,2.81,138,52.3,24.9,-4.6,2.4,70
HBLENGINE.NS,HBLENGINE.NS,Capital Goods,47.4,2025-04-11,7.6,5.5,9.2,3.3,6.4,,,,,1,1,1,60.0,60,46.2,-30.58,2025-11-10,2025-12-17,,False,2826685,2601911,-8.0,16,12.2,16,62.5,2.06,0,0,0.0,0,0.0,51,-4.7,35,86.1,22,75.4,15.5,45.8,-11.8,3.72,48,73.1,40.9,-12.2,3.59,96,,50.5,-30.6,4.21,49
HINDZINC.NS,Hindustan Zinc Limited,Metals & Mining,47.1,2025-03-17,9.5,5.7,5.2,9.9,7.6,,,,100.0,2,1,2,45.0,85,69.2,-20.67,2025-06-10,2025-08-01,133.0,True,1909068,5893323,208.7,87,74.4,87,52.4,0.57,5,48,22.9,16,9.6,85,-6.6,49,2.5,2,-2.7,7.7,40.1,-13.3,3.27,52,4.7,29.8,-20.7,2.41,105,35.7,35.9,-8.3,2.57,53
MCX.NS,Multi Commodity Exchange of India Limited,Financial Services,47.1,2025-04-11,9.7,1.5,10.0,10.0,7.8,,,,100.0,1,0,3,130.0,130,100.0,-18.13,2025-07-01,2025-08-29,46.0,True,2093092,2897249,38.4,31,6.6,31,73.3,2.84,3,16,8.3,6,5.3,43,47.9,12,41.4,0,never_triggered,48.6,41.6,-9.7,3.45,48,14.2,33.4,-18.1,2.81,96,30.3,31.6,-5.4,2.8,49
