Metric,3mo,6mo,12mo
Avg Return,21.8%,36.6%,69.9%
Avg Max Drawdown,-16.3%,-19.1%,-29.7%
Avg Recovery Days,57.1 days,73.3 days,109.6 days
Avg Volume Increase,28.6%,33.6%,17.8%
Avg Volume Breakout Days,23.3,27.3,37.5
Vol Breakout Accuracy,57.4%,58.9%,60.3%
Avg Sideways %,24.2%,21.4%,14.2%
Avg Trend Entries,1.1,1.3,1.9
Avg Trend Exits,0.2,0.4,1.1
Super Uptrend Entries,1.2,2.2,3.3
Time in Trend,89.5%,91.3%,76.1%
Avg Trend Duration,60.2 days,106.9 days,126.9 days
Early Phase Return,13.7%,10.7%,4.3%
Mid Phase Return,16.8%,32.0%,38.9%
Late Phase Return,13.1%,14.2%,24.9%
Trailing 10% Triggers,31.7,49.0,135.2
Trailing 15% Triggers,11.9,22.5,90.3
Trailing 20% Triggers,2.1,10.2,61.9
Avg Quality Score,6.4,6.6,6.1
Avg Value Score,5.0,4.6,4.6
Avg Growth Score,6.5,6.8,6.8
Avg Momentum Score,8.1,7.2,6.8
